¿En que barrio resides y que harías para mejorarlo?,Duración
"Nuevo príncipe,   falta acciones para  basuras sacadas frente a su casa, policía atienda alto volumen de equipos de sonido",08:56
La Paz  espacios para capacitación  de niños jóvenes y adolescentes para que ocupen el tiempo libre,03:24
Sajonia seguridad y normalizar tarifas de servicios publicos,02:14
Aguaclara  Pavimentar toda la carrilera,01:14
,00:29
Casas huertas  no tenemos ningún parque para la familia las chatarrerías generan plagas y la ladrillera contaminación   deben ser reubicados,06:06
,02:55
portales del rio  yo mejoraría la seguridad en el barrio,03:43
Corregimiento Nariño,01:42
El victoria  Apoyo a los emprendimientos,03:24
Trinidad  -   seguridad,01:19
ALVERNIA. Mejorar la presencia de las entidades oficiales. Aprovechar los parques para actividades culturales y restaurarlos.,07:45
Más seguridad y controlar tanto consumidor de estupefacientes en los parques también controlar a los dueños de los perros que hacen popo y n,04:18
,01:51
"Príncipe, El parque del príncipe ya es obsoleto, se podría crear unos reductores de velocidad en este para evitar los piques que se realizan",03:16
"Urbanización la villa , el consumo de drogas",02:14
"La villa.   Normas claras de convivencia  0 ruido, levantar popo de mascotas",02:17
Las Delicias.  Respeto a las normas de tránsito.,05:54
LA SEGURIDAD...TODO TULUA ESTA EN MANOS DE LA DELINCUENCIA,01:43
Nuevo principe... Nadie socializa con nadie,01:44
El Palmar. Planes y programas para la ocupación del tiempo libre en los jóvenes,01:38
Barrio AVE Cali,01:58
El lago.,03:49
"El popular, y que le cambiaría la casona",03:52
"San Pedro Claver. Más presencia de la policía, mucho habitante de calle y robos en las casas",03:54
Tomas uribe hay muchos chirretes locos en las calles,02:08
Senderos de villa Liliana,01:12
Portal de San Felipe  Más seguridad  Que haya control de equinos,01:17
"Barrio la santa Cruz, mejoraría el ruido los vecinos no respetan ponen el equipo a todo volumen y no limpian el popo de las mascotas",02:17
"La seguridad del barrio Popular. Colocar cámaras en la casa,para observar y grabar los incidentes qué ocurran.",05:22
Fatima k en el parque de la flia coloquen aparatos para k podamos hacer ejercicios los mayores,03:22
Ya vamos vo en veteda,04:39
"Barrio Rubén cruz Vélez, mejoramiento de caseta comunal y la atención al usuario en el hospitalito Rubén cruz",06:18
Nuevo farfán cambiaría la limpieza,01:27
Cuidado con el humedal del lago chillicotte. Más protección a la fauna y flora,02:24
Santa Isabel,01:21
En mi Barrio Céspedes aparte del caos total que representa la Cra 30 han crecido demasiado talleres de autos y motos en la calle y andenes.,10:48
,02:35
"Villa del sur ! Pues mi cuadra es bien , solo uno que otro vecino ruidoso ( y bastante ) los fines de semana ! De resto todo excelente!",03:42
Aguaclara. Mejoraría la vía de la carrilera,00:54
Bolivar,01:00
Corregimiento de Nariño tantas cosas que hay para hacer por este lugar los jóvenes son más los metidos en las drogas,03:04
Villa campestre,03:08
,01:35
Escobar,02:36
Pavimento,02:16
"Panamericano. La iluminación es poca, falta señalización y preeencia de la autoridad. Aún se hace piques de motos por este lugar",02:10
Miraflores  Limpieza en los alrededores del Colegio Gimnasio (llevan basuras),08:03
Villa  margarita parque mas iluminados para así no tener delincuentes escondidos,04:12
La bulla de los vecinos,02:24
"Más luz,espacios para ventas y seguridad",04:21
Iluminación y mayor entretenimiento en los parques.,03:00
Programas de formación y capacitación,01:07
Señalizar las vias,04:20
Salesianos,01:03
"En la esperanza, generaría espacios de sano esparcimiento para la población",03:54
Fatima reparar calles,01:41
Jazmin Tendría que sacar del barrio varios focos de  personas que nos están quitando la tranquilidad,05:19
Yo vivo en el barrio Rubén Cruz Vélez que hubiera mas espacios de recreación para los jóvenes y niños compartieran en familia,05:48
Las nieves,01:19
"El condor dos, mejoraria las luminarias, pavimentar la calle 13 c y traer juegos nuevos al parque",01:39
LA SEGURIDAD,02:36
Barrio jasmin la cra40 lago este.mas control del ambiente redes de cloacas sr vrn respuestas  al ambiente rstudio para mejorar su calidad am,13:03
Victoria,01:02
La maeina,01:16
"Barrio Popular, actividades en el parque para que sean ocupafos de nuevo por los niños y las familias",01:33
Vivo en el barrio el  paraiso . ser un veedor y terminar de darle un mejor aspecto a la cancha de futbol. Embellecerla.,03:50
,02:21
Equipamiento para trabajo fisico.iluminacion y seguridad.,06:06
Máquinas e instructores de guia.,04:18
"La Villa , limpieza , camaras en buen estado",03:20
Más presencia de las autoridades  de policía o militares  Barrio santa cruz,04:30
Equipos biosaludables.iluminación y seguridad.,03:17
Fátima,08:33
"Las Acacias, más vigilancia para el lago y que la policía ambiental permanezca en el CAI para controlar y proteger este humedal",07:38
"Sajonia, intervenir el lago chilicote.",02:37
"Alameda 1,y trataría de hacer campañas para que no tienen tanta basura en la transversal 12,también hay mucho perrito abandonado en la calle",03:02
Bosques de Maracaibo nos falta parques para nuestros niños seguridad y las vias,02:02
,00:30
Seguridad.en más iluminación y mejores implementos de máquinas biosaludables y control policial.,09:50
Que quiten los antejardines que algunos habitantes de este sector colocaron en las zonas peatonales,02:56
"Alvernia, estimular el trabajo en comunidad el los parques",00:51
Jazmín y mejoraría el tránsito vehicular,01:11
"El barrio Horizonte y me gustaría que nos apoyarán con el arreglo de parque el horizonte,se que toda la comunidad de alrededor nos apoyarían",07:00
En el barrio el bosque  que recibamos el apoyo de entidades competentes para la seguridad,02:12
Vivo en villa liliana me gustaría mejorar los parques ya q contamos con los espacios de zona verde pero faltan juegos para los pequeños,02:44
Peñaranda,02:24
,02:01
"MARACAIBO  Grupos de apoyo, capacitaciones.",01:21
Barrio playas más cultura ciudadana,03:48
Farfán más rampas,01:35
Corregimiento de Bocas de Tulua,01:39
La carrera 30....Las calles les falta pavimentación y orden sobre esa carrera tan principal de la ciudad,01:34
Urbanización el Dorado. Más colaboración de los vecinos para el bienestar del barrio,07:32
"Marandua, mejoraría las calles tienen huecos",04:08
"El Bosque, campañas educativas y programas sociales.",00:51
San Vicente  Mejoraría que tengan control con los habitantes de calle que no hagan sus necesidades en los andenes,02:37
"Centro/Salesianos- Mejorar las luminarias, públicas desplazar la mendicidad y habitantes de calle",19:46
"Popular, seguridad",01:02
Las Américas - más unión entre vecinos,01:11
Villa del sur..más brigadas de salud y cine al  parque.,02:25
"La iluminación, lla pavimentación de las carreteras y la seguridad",01:17
Lomitas,01:26
Victoria,02:47
"Fátima, poner cámaras y alarmas comunitarias y mas iluminación",02:27
"Villacampestre,  arreglar las calles",01:28
"Bosques de Maracaibo, la junta de acción comunal tiene el barrio un poco desamparado, está sucio y con basura",01:17
"Saman del norte, mejorar el acceso en las vias y un reordenamiento vial, es uno de los barrios con mayor accidentalidad del municipio",02:53
"La herradura,  más iluminacion",01:15
"Albernia, camaras de vigilancia",02:22
,00:36
,01:40
,01:05
,00:35
,01:18
,00:49
,00:50
,01:13
,00:43
,02:54
,08:29
,05:25
,02:50
,04:25
,02:30
Ciudadela parque Central (Moreno Tafurt). Instalación de puestos de salud.,37:41
,02:25
,01:52
,02:51
,00:49
,05:47
,01:27
,03:24
,02:10
,01:24
,02:49
,01:46
,01:08
,00:49
,01:22
,00:43
,02:05
,00:42
,01:41
,01:39
,00:37
,00:38
,00:47
,00:49
,00:33
,00:29
,00:38
,03:46
,00:53
,01:14
,00:30
,01:26
,02:39
,01:04
,02:56
,00:54
,01:55
,03:50
,00:44
,03:30
,01:28
,02:38
,00:27
,01:31
,00:34
,01:40
,02:03
,01:18
,01:07
,00:59
,01:13
,01:15
,02:13
,02:17
,00:47
,01:04
,03:36
,00:55
,01:04
,04:54
,01:11
,00:38
,09:44
,02:36
,00:55
,01:33
,01:00
,00:38
,01:03
,02:14
,01:33
,02:45
,00:52
,01:11
,03:31
,01:36
,00:36
,10:40
,03:55
,01:36
,02:21
,00:29
,01:13
,02:08
,00:55
,00:35
,00:30
,00:47
,13:33
,00:55
,01:25
,05:05
,03:38
,03:57
,01:48
,01:59
,01:02
,02:22
,04:27
,02:32
,03:45
,01:28
,01:17
,03:06
,00:54
,00:50
,00:40
,00:58
,01:53
,02:14
,00:54
,03:05
,02:07
,02:36
,01:34
,00:58
,00:34
,01:31
,03:41
,01:04
,01:11
,01:38
,03:14
,03:49
,01:07
,02:45
,02:26
,03:16
,00:44
,01:41
,01:09
,02:05
,21:59
,02:21
,01:03
,01:04
,00:40
,01:15
,01:08
,05:01
,02:45
,01:04
,00:45
,00:47
,01:25
,00:48
,02:47
,01:06
,01:25
,02:44
,05:15
,01:37
,01:45
,01:09
,00:37
,07:36
,00:54
,02:06
,03:15
,02:20
,01:06
,00:57
,00:49
,02:11
,15:38
,00:48
,00:32
,00:42
,02:57
,03:45
,02:14
,01:49
,02:44
,02:01
,04:01
,05:16
,01:47
,02:11
,01:12
,01:06
,00:59
,02:36
,01:22
,01:35
,02:01
,03:39
,00:52
,02:44
,02:37
,00:42
,03:46
,02:03
,00:53
,02:21
,00:51
,03:46
,03:17
,01:58
,02:26
,01:43
,01:52
,03:53
,03:57
,01:31
,02:07
,00:48
,01:04
,00:46
,00:42
,01:29
,00:46
,00:11
