"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Veces que se compartió","Visitas al perfil",Respuestas,Navegación,"Clics en el enlace",Seguimientos,"Toques en stickers"
18108162526402794,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/25/2024 09:07",,"Historia de Instagram",,Total,329,322,0,1,0,450,,,
17964405965788488,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",@supergiroscentrodelvalle,60,"07/25/2024 08:07",,"Historia de Instagram",,Total,333,333,0,1,0,464,,,
18055804219662041,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Es hoy!✅ @gisecalero16 @bibliotecatulua @secre.bienestarsocialtulua @tuluaculturacol_",15,"07/25/2024 08:07",,"Historia de Instagram",,Total,399,375,0,,0,472,,,
18362893072097528,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/25/2024 08:07",,"Historia de Instagram",,Total,360,360,0,4,0,507,,,
18038241700827399,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@gustavovelezr @josemartinhincapi @policiavalledelcauca ¡Reunión de Coordinación y Seguridad! El alcalde, Gustavo Vélez. durante la tarde de este miércoles, convocó reunión con el Ejército Nacional, el Batallón de Alta Montaña, Gaula Militar y la Policía Nacional, con el fin de fortalecer la seguridad de nuestro municipio. 

 ¡Continuamos trabajando por una Tuluá más segura para todos!",15,"07/24/2024 17:07",,"Historia de Instagram",,Total,1726,1582,1,,1,561,,,
18032214290152756,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@tuluaculturacol_ @bibliotecatulua @secre.bienestarsocialtulua @gisecalero16 @dnofuturo_",15,"07/24/2024 13:07",,"Historia de Instagram",,Total,549,500,0,1,0,538,,,
17891888879983455,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Atención Tulueños👀",15,"07/24/2024 07:07",,"Historia de Instagram",,Total,350,350,0,1,0,558,,,
18019271903376390,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Aprovecha esta Jornada! ¡Te esperamos!💪🏼",15,"07/24/2024 07:07",,"Historia de Instagram",,Total,414,413,1,2,0,549,,,
18103634419414596,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/24/2024 07:07",,"Historia de Instagram",,Total,339,339,0,,0,494,,,
17890013205064629,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,45,"07/24/2024 07:07",,"Historia de Instagram",,Total,341,341,0,,0,494,,,
17896567808960627,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡No dejes pasar esta oportunidad!",15,"07/24/2024 07:07",,"Historia de Instagram",,Total,355,355,0,,0,513,,,
18034309475040358,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/24/2024 07:07",,"Historia de Instagram",,Total,362,362,0,,0,513,,,
17994017663505953,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,60,"07/24/2024 07:07",,"Historia de Instagram",,Total,374,374,0,,0,504,,,
18014616764404742,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/24/2024 07:07",,"Historia de Instagram",,Total,392,392,0,1,0,510,,,
18036861827019469,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",@secre.bienestarsocialtulua,15,"07/24/2024 06:07",,"Historia de Instagram",,Total,438,426,0,,0,554,,,
18039053257943511,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/23/2024 15:07",,"Historia de Instagram",,Total,454,445,0,4,1,716,,,
17850359472249719,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",@supergiroscentrodelvalle,60,"07/23/2024 13:07",,"Historia de Instagram",,Total,467,464,1,1,0,710,,,
17870635641140819,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@gustavovelezr @catastrovalle ¡Continuamos avanzando con la Actualización Catastral en nuestro municipio! El alcalde, Gustavo Vélez, se encuentra reunido con la gerente de la Unidad Administrativa Especial de Catastro Valle del Cauca, la abogada Lía Patricia Pérez Carmona, hablando sobre el tema de la identificación e incorporación de cambios que se presenten en los predios de nuestro municipio, logrando así que Tuluá esté más organizado #ParaserFelices",15,"07/23/2024 09:07",,"Historia de Instagram",,Total,590,589,2,,2,712,,,
18010738376307786,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/23/2024 08:07",,"Historia de Instagram",,Total,468,468,0,1,0,660,,,
17984126417700826,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/23/2024 07:07",,"Historia de Instagram",,Total,476,476,0,,1,661,,,
18018126344522274,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Martes de",15,"07/23/2024 06:07",,"Historia de Instagram",,Total,513,513,0,1,0,666,,,
18019639805138120,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@alexa__cardona1974 @karolberon25 @santiagoguzmanp @soymafevictoria @josemartinhincapi @central_de_transportes_tulua_ @bibliotecatulua @secre.bienestarsocialtulua @gisecalero16 @tuluaculturacol_ @imdertulua",29,"07/22/2024 14:07",,"Historia de Instagram",,Total,497,494,0,1,0,577,,,
18025939013469830,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/22/2024 13:07",,"Historia de Instagram",,Total,522,515,0,1,0,618,,,
18245204881268386,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡No dejes pasar la fecha límite! @karolberon25 @secre.bienestarsocialtulua",15,"07/22/2024 08:07",,"Historia de Instagram",,Total,515,490,0,1,0,555,,,
18051693514774255,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","DENUNCIA AHORA ¡Hazte escuchar! 👂💪🏼 @gustavovelezr @secre.bienestarsocialtulua @imdertulua  @tuluaculturacol_ @central_de_transportes_tulua_ @bibliotecatulua @karolberon25 @gisecalero16",15,"07/22/2024 08:07",,"Historia de Instagram",,Total,1194,1031,0,,0,564,,,
18013461362526148,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,45,"07/22/2024 08:07",,"Historia de Instagram",,Total,500,500,0,,0,572,,,
18038754994985096,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/22/2024 08:07",,"Historia de Instagram",,Total,506,506,2,,0,568,,,
18020044364518569,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/22/2024 08:07",,"Historia de Instagram",,Total,621,587,0,,0,600,,,
18057163144642569,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/22/2024 08:07",,"Historia de Instagram",,Total,529,529,0,,0,622,,,
18022610084363878,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/22/2024 08:07",,"Historia de Instagram",,Total,560,560,1,,1,645,6,,
18035595308087426,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Desde la Secretaría de Salud, se lleva a cabo reunión con representantes de la Nueva EPS para trabajar en conjunto por la mejora del servicio de salud en el municipio, el fortalecimiento las ESES municipales, revisión de PQRS e informe de gestión de la EPS en Tuluá.",15,"07/22/2024 07:07",,"Historia de Instagram",,Total,730,730,0,3,0,773,,,
18005109368358045,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/20/2024 05:07",,"Historia de Instagram",,Total,1001,932,1,,0,750,,,
18013082552259616,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/20/2024 05:07",,"Historia de Instagram",,Total,1585,1341,0,2,0,759,,,
18050617681787253,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/19/2024 15:07",,"Historia de Instagram",,Total,524,524,0,1,0,609,,,
18214637935303415,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Plazo hasta mañana 20 de julio",15,"07/19/2024 14:07",,"Historia de Instagram",,Total,534,529,0,,0,588,,,
18040494364794027,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/19/2024 14:07",,"Historia de Instagram",,Total,1633,1410,0,,0,604,3,,
18040034959803189,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Desde la Secretaría de Educación, se llevó a cabo la jornada de entrenamiento para docentes de las diferentes Instituciones Educativas del municipio para el manejo de App See Learning Insights, que servirá como herramienta digital para docentes y estudiantes que brinda la posibilidad de contar con datos en tiempo real en relación al entendimiento de los estudiantes sobre este programa.",11,"07/19/2024 13:07",,"Historia de Instagram",,Total,572,571,0,1,0,598,,,
17880556125035477,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",@supergiroscentrodelvalle,60,"07/19/2024 08:07",,"Historia de Instagram",,Total,543,529,4,2,0,566,,,
18034000442025692,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Te esperamos!😎 ¡Este fin de semana vive esta gran jornada deportiva!✅💪🏼 @imdertulua",15,"07/19/2024 07:07",,"Historia de Instagram",,Total,1089,923,3,2,1,563,,1,
17974194962608783,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@infitulua @karolberon25 @secre.bienestarsocialtulua @soymafevictoria @julianrestrepo16 @tuluaculturacol_ @gisecalero16  @santiagoguzmanp @maryelena_23 @central_de_transportes_tulua_ @emtulua @bibliotecatulua @fernandapasmin @hospitalrubencruzvelez @josemartinhincapi @imdertulua @pachogirontulua",15,"07/19/2024 07:07",,"Historia de Instagram",,Total,565,526,1,2,0,572,5,,
18037396810848242,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@secre.bienestarsocialtulua @karolberon25",47,"07/19/2024 06:07",,"Historia de Instagram",,Total,511,485,0,,0,541,,,
17880371091096178,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡No dejes pasar la fecha! @secre.bienestarsocialtulua @karolberon25",15,"07/19/2024 06:07",,"Historia de Instagram",,Total,558,503,0,,0,582,,,
18270347470175088,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,16,"07/19/2024 06:07",,"Historia de Instagram",,Total,485,484,1,,0,545,,,
18046287718867799,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,8,"07/19/2024 06:07",,"Historia de Instagram",,Total,476,476,0,,0,551,,,
18041852527937157,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Viernes de… MERCADO CAMPESINO! ¡No te lo pierdas!😎",15,"07/19/2024 06:07",,"Historia de Instagram",,Total,515,511,0,1,0,571,,,
17895729048032338,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@gustavovelezr @julianrestrepo16 @soymafevictoria @infitulua",12,"07/18/2024 16:07",,"Historia de Instagram",,Total,1310,1168,1,1,0,524,,,
18039598576797898,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@gisecalero16 @tuluaculturacol_",15,"07/18/2024 15:07",,"Historia de Instagram",,Total,708,642,0,,0,591,,,
18055408333661423,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","El alcalde, Gustavo Vélez, participó del Consejo Directivo de la @ucevacol, en el cual, de manera periódica, se realiza la revisión de los informes financieros y de gestión desde la rectoría de esta institución, informes de decanaturas y aprobación de acuerdos de asignación de los programas. @gustavovelezr  @juancarlosurriagof",15,"07/18/2024 13:07",,"Historia de Instagram",,Total,1193,1093,1,,1,576,,,
17945161418731003,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@josemartinhincapi @soymafevictoria  @karolberon25 @secre.bienestarsocialtulua",36,"07/18/2024 10:07",,"Historia de Instagram",,Total,992,915,0,,0,527,,,
18175131151306922,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@infitulua @cristianhernandezv @gustavovelezr @pachogirontulua @imdertulua @fernandapasmin @bibliotecatulua @hospitalrubencruzvelez @emtulua @central_de_transportes_tulua_ @maryelena_23 @josemartinhincapi @santiagoguzmanp @tuluaculturacol_ @secre.bienestarsocialtulua @gisecalero16 @karolberon25",15,"07/18/2024 08:07",,"Historia de Instagram",,Total,1408,1245,0,,0,539,2,,
18056435611642866,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Continúa aportando a nuestro municipio💪🏼 @secre.bienestarsocialtulua @karolberon25 @gisecalero16 @tuluaculturacol_ @santiagoguzmanp @carolarodri @soymafevictoria @sachicanavarro @josemartinhincapi @gustavovelezr @maryelena_23 @central_de_transportes_tulua_ @emtulua @hospitalrubencruzvelez @bibliotecatulua @fernandapasmin @imdertulua @infitulua @pachogirontulua @cristianhernandezv",15,"07/18/2024 08:07",,"Historia de Instagram",,Total,577,567,0,,0,546,,,
18058531882719935,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","CÓDIGO ROSA 🩷 Conoce aquí nuestra Ruta de Atención ⬇️",15,"07/18/2024 08:07",,"Historia de Instagram",,Total,445,445,0,,0,536,,,
18113899606358800,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Este sábado! 
¡No te lo pierdas!✅💪🏼",0,"07/18/2024 07:07",,"Historia de Instagram",,Total,455,455,0,,0,536,,,
18407878192072987,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Hasta este sábado!💪🏼 20 de julio",15,"07/18/2024 06:07",,"Historia de Instagram",,Total,468,468,0,,0,547,,,
17876565549057917,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/18/2024 06:07",,"Historia de Instagram",,Total,500,500,0,3,0,575,,,
18358799221110223,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","No te pierdas esta gran jornada 💪🏼🦷",15,"07/17/2024 12:07",,"Historia de Instagram",,Total,525,525,0,2,0,620,,,
18013634621407651,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","GRACIAS TULUÁ 💙",0,"07/17/2024 09:07",,"Historia de Instagram",,Total,557,557,0,1,0,633,,,
18025399544260662,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Contribuyamos juntos al progreso de nuestro municipio💙✅",0,"07/17/2024 09:07",,"Historia de Instagram",,Total,572,572,0,,0,656,,,
18007371800331183,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Plazo hasta el 20 de julio",15,"07/17/2024 08:07",,"Historia de Instagram",,Total,550,550,0,1,0,670,,,
18112182088381105,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@tuluaculturacol_  @gisecalero16 @karolberon25 @secre.bienestarsocialtulua",15,"07/17/2024 08:07",,"Historia de Instagram",,Total,737,709,0,,0,688,,,
18058574512622788,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/17/2024 04:07",,"Historia de Instagram",,Total,1033,963,0,1,0,775,,,
18035738744039461,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"07/16/2024 18:07",,"Historia de Instagram",,Total,1328,1161,8,2,1,728,,,
17919528173945621,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,24,"07/16/2024 15:07",,"Historia de Instagram",,Total,1475,1314,0,,2,666,,,
18234029905263472,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@gustavovelezr @cristianhernandezv @pachogirontulua",30,"07/16/2024 14:07",,"Historia de Instagram",,Total,2137,1865,1,,1,682,,,
18104625958410901,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@infitulua @gustavovelezr",15,"07/16/2024 14:07",,"Historia de Instagram",,Total,1648,1489,0,,0,712,1,,
17920139822841204,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@hospitalrubencruzvelez @valdes_0508 @ediervalenciaj @concejomunicipaltulua",15,"07/16/2024 14:07",,"Historia de Instagram",,Total,845,825,0,1,0,703,,,
18056524525636387,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",@josemartinhincapi,45,"07/16/2024 12:07",,"Historia de Instagram",,Total,666,649,0,1,0,724,,,
18026900192241829,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@pachogirontulua  I. E. Corazón del Valle",15,"07/16/2024 09:07",,"Historia de Instagram",,Total,532,532,2,,0,657,,,
18104890744375203,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Este jueves, 25 de julio! ¡Te esperamos!✅",15,"07/16/2024 08:07",,"Historia de Instagram",,Total,522,522,0,,0,677,,,2
18058241509565014,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","En este momento se lleva a cabo la primera Mesa de Negociación Sindical entre la Administración Municipal y los organismos sindicales: SUTEV, ASIEVA, SUNET, SINDESCOL, SINTRAEMDES, y la participación de la Oficina Jurídica, Secretarías de Desarrollo Institucional, de Educación, de Hacienda y Oficina de Control Interno de Investigación, en dicho espacio que fue inaugurado por el alcalde @gustavovelezr el pasado 8 de julio. Primera Jornada de Mesas de Negociación Sindical @robertposadarosero @natagiln @pachogirontulua",14,"07/16/2024 08:07",,"Historia de Instagram",,Total,913,872,0,,0,652,,,
18014419655408698,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@tuluaculturacol_ @imdertulua @josemartinhincapi @natagiln @secre.bienestarsocialtulua @karolberon25 @pachogirontulua @sachicanavarro @soymafevictoria @fernandapasmin @zule_acevedo @cristianhernandezv @bibliotecatulua @gisecalero16 @gustavovelezr @",15,"07/16/2024 06:07",,"Historia de Instagram",,Total,581,561,0,,0,654,5,,
18020026772347209,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Queremos conocer tu opinión!⬇️⬇️⬇️",0,"07/16/2024 06:07",,"Historia de Instagram",,Total,532,532,1,,1,616,,,
