"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Segundos reproducidos","Segundos en promedio reproducidos","CPM del anuncio (USD)","Impresiones del anuncio","Total de clics","Clics de otro tipo","Clics en el enlace","Consumo de segmentación del público coincidente (Photo Click)","Comentarios negativos de los usuarios: Ocultar todo","Ingresos estimados (USD)"
1274584281375568,100064720237286,"Alcaldía de Tuluá","🎙️ #ElPodcastdeVélez | Episodio 36: Recursos que transforman vidas","🎙️ #ElPodcastdeVélez | Episodio 36: Recursos que transforman vidas

En este episodio, el alcalde Gustavo Vélez nos cuenta cómo los beneficios tributarios impulsan el progreso de Tuluá 💪🏽, permitiendo reinvertir en educación, programas sociales, vías y bienestar ciudadano. 🏫🚧🍽️

Además, hace una invitación especial para disfrutar la magia del ✨ Mundo de la Fantasía 2025 ✨, una tarde llena de alegría y diversión en familia. 👨‍👩‍👧‍👦",828,"10/25/2025 10:00",uploaded,https://www.facebook.com/reel/1260007979213903/,1,0,Videos,,,,,Total,3340,2099,111,35,5,71,19613.627,6.657,0,0,36,36,,,,0
1274554394711890,100064720237286,"Alcaldía de Tuluá","🎉✨ ¡Ya iniciamos con El Mundo de la Fantasía! ✨🎉
Ven ahora y disfruta de todas las historias y cuentos tradicionales reunidos en un solo lugar 📚💫
Un espacio lleno de diversión, magia y mucho color para toda la familia 🎠🌈💖
🎟️ Entrada gratis ¡Te esperamos! 🙌💫",,0,"10/25/2025 09:18",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02BRv1UVjp2evQVKXwYrybPHG247FxRbnL9C2viqpieNAHDyhGMyyYGu3MsmzZq7Epl,0,0,Fotos,,,,,Total,70607,37006,381,311,21,45,,,,,8373,3005,1,5367,,
1273572194810110,100064720237286,"Alcaldía de Tuluá","💪🌧 ¡Familias afectadas por la lluvia recibieron ayuda! 💙

El alcalde @gustavovelezr entregó ayudas y elementos para reconstruir los techos afectados a 4 familias que resultaron perjudicadas por las fuertes lluvias, contribuyendo a recuperar la seguridad y tranquilidad en sus hogares. 🏡💙 

#ParaSerFelices ✌🏽💙","💪🌧 ¡Familias afectadas por la lluvia recibieron ayuda! 💙

El alcalde @gustavovelezr entregó ayudas y elementos para reconstruir los techos afectados a 4 familias que resultaron perjudicadas por las fuertes lluvias, contribuyendo a recuperar la seguridad y tranquilidad en sus hogares. 🏡💙 

#ParaSerFelices ✌🏽💙",48,"10/24/2025 07:40",N/A,https://www.facebook.com/reel/674541928710220/,1,0,Videos,,,,,Total,2708,2071,103,45,11,47,14953.738,6.143,0,0,31,31,,,,0
1273139498186713,100064720237286,"Alcaldía de Tuluá","#Halloween | Todo listo para el Mundo de la Fantasía 2025

Desde las 10:00 de la mañana, grandes y pequeños podrán disfrutar de rifas, premios, shows, dulces, inflables y muchos regalos, en una jornada gratuita que promete llenar de sonrisas y emoción cada rincón del recinto ferial.

Lee la noticia completa: ⬇️⬇️⬇️
",,0,"10/23/2025 20:45",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0MMfwxet1WKGcMtFACAJyimSGAQH1eyEaD2G7Dj8148EwZRVouSYaTkzcyV6Z3KLgl,0,0,Enlaces,,,,,Total,2231,1326,12,9,0,3,,,,,65,3,62,,,
1273137214853608,100064720237286,"Alcaldía de Tuluá","#Obras | Continúan las obras en el parque de La Marina.

La Alcaldía de Tuluá, bajo el liderazgo del ingeniero Gustavo Adolfo Vélez Román, avanza en un 25% de ejecución en las obras de construcción, mantenimiento y conservación del parque central del corregimiento de La Marina, un espacio emblemático para las familias y visitantes de esta zona rural tulueña.

Lee la noticia completa:⬇️⬇️⬇️
https://tulua.gov.co/publicaciones/6530/continuan-las-obras-en-el-parque-de-la-marina/a a",,0,"10/23/2025 20:41",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid022JaETQBJ4eYTqiiFqh4tL7AehUCDoo2FWrTsk3PG9ewMxu8F7fkJfJ9iiX1yjuZxl,0,0,Enlaces,,,,,Total,5730,3642,59,46,5,8,,,,,71,41,30,,,
1273007131533283,100064720237286,"Alcaldía de Tuluá","🎃✨ ¡Estas son algunas recomendaciones para vivir El Mundo de la Fantasía! 🌈

Este sábado 25 de octubre te esperamos en el Coliseo de Ferias Manuel Victoria Rojas 🏰 para disfrutar de un día lleno de magia, alegría y diversión en familia. 💫 Te contamos todo lo que necesitas saber para vivir una experiencia única. 👨‍👩‍👧‍👦🍭

🧚‍♀️ ¡Prepárate para vivir un Halloween mágico y seguro en Tuluá! 🎠 #ParaSerFelices","🎃✨ ¡Estas son algunas recomendaciones para vivir El Mundo de la Fantasía! 🌈

Este sábado 25 de octubre te esperamos en el Coliseo de Ferias Manuel Victoria Rojas 🏰 para disfrutar de un día lleno de magia, alegría y diversión en familia. 💫 Te contamos todo lo que necesitas saber para vivir una experiencia única. 👨‍👩‍👧‍👦🍭

🧚‍♀️ ¡Prepárate para vivir un Halloween mágico y seguro en Tuluá! 🎠 #ParaSerFelices",58,"10/23/2025 17:04",N/A,https://www.facebook.com/reel/600354416432827/,1,0,Videos,,,,,Total,6916,6375,156,103,1,52,63850.822,10.125,0,0,122,121,1,,,0
1272897868210876,100064720237286,"Alcaldía de Tuluá","💪🏗️ ¡Seguimos transformando a Tuluá! 🌆","💪🏗️ ¡Seguimos transformando a Tuluá! 🌆

Obras que embellecen, modernizan y mejoran la calidad de vida de todos los tulueños. 💙💪🏼
Desliza 👉 y descubre los proyectos que están cambiando la cara de nuestro municipio.  #ParaSerFelices",101,"10/23/2025 13:38",N/A,https://www.facebook.com/reel/2224950311306743/,0,0,Videos,,,,,Total,14987,14503,371,263,46,62,257495.496,18.793,0,0,836,836,,,,0
1272060358294627,100064720237286,"Alcaldía de Tuluá","¡María Ángel ahora accede a los beneficios de la Administración Municipal! 💙✨

Gracias al apoyo del alcalde @gustavovelezr , María Ángel fue certificada en su discapacidad y hoy puede acceder a los beneficios que ofrece la Administración Municipal. 🌈
A través del programa “Vení, hablemos”, María Ángel y su familia también reciben acompañamiento psicosocial constante, encontrando respaldo, confianza y nuevas oportunidades para salir adelante. 🤝

Porque en Tuluá, trabajamos con empatía y compromiso para transformar vidas. #ParaSerFelices","¡María Ángel ahora accede a los beneficios de la Administración Municipal! 💙✨

Gracias al apoyo del alcalde @gustavovelezr , María Ángel fue certificada en su discapacidad y hoy puede acceder a los beneficios que ofrece la Administración Municipal. 🌈
A través del programa “Vení, hablemos”, María Ángel y su familia también reciben acompañamiento psicosocial constante, encontrando respaldo, confianza y nuevas oportunidades para salir adelante. 🤝

Porque en Tuluá, trabajamos con empatía y compromiso para transformar vidas. #ParaSerFelices",104,"10/22/2025 16:22",N/A,https://www.facebook.com/reel/799673909704867/,1,0,Videos,,,,,Total,2088,2057,40,26,0,14,17702.455,9.11,0,0,34,34,,,,0
1271987284968601,100064720237286,"Alcaldía de Tuluá","#Gobierno | Tuluá, referente ejemplar en Atención a Víctimas

La Alcaldía de Tuluá, bajo el liderazgo del alcalde Gustavo Adolfo Vélez Román, recibió un Reconocimiento Especial por parte de la Unidad para la Atención y Reparación Integral a las Víctimas, por su destacado compromiso en la implementación de la política pública de víctimas.

Lee la noticia completa: ⬇⬇⬇
",,0,"10/22/2025 13:56",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02mw5fRR9BKDVDRUjNVo6VFKmAZ2L8ixrv6xCb5kb4Zabyy5SZeKoeqDLKkRvANJGal,0,0,Enlaces,,,,,Total,4693,3131,25,18,3,4,,,,,106,39,67,,,
1271986921635304,100064720237286,"Alcaldía de Tuluá","#SimulacroNacional2025 | Tuluá se unió al Primer Simulacro Nacional de Respuesta a Emergencias.

La Alcaldía de Tuluá, a través del equipo de Brigadistas de Seguridad y Salud en el Trabajo, participó activamente en el Primer Simulacro Nacional de Respuesta a Emergencias, una estrategia liderada por la Unidad Nacional para la Gestión del Riesgo de Desastres (UNGRD), con el objetivo de fortalecer las capacidades de reacción ante posibles situaciones de emergencia.

Lee la noticia completa: ⬇⬇⬇
",,0,"10/22/2025 13:55",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02SW9DhKfuJnL46uSNHbqaFDUvhpVLe2HPbsnTVuTDUQd9p7mT1LzrebpVKXgXPgrTl,0,0,Enlaces,,,,,Total,1311,811,15,14,0,1,,,,,6,,6,,,
1271878811646115,100064720237286,"Alcaldía de Tuluá","🥔💚 ¡En Tuluá seguimos transformando vidas.!

Más de 2.400 familias tulueñas fueron beneficiadas con la entrega de 30 toneladas de papa, una acción que fortalece la seguridad alimentaria y brinda apoyo a mujeres cabeza de hogar, personas con discapacidad y adultos mayores.💪🏼🤩

Gracias al trabajo conjunto con el Departamento para la Prosperidad Social, @prosperidadcol, Tuluá es el primer municipio del Valle del Cauca en recibir esta importante ayuda. Porque cuando trabajamos en equipo, mejoramos la calidad de vida de los tulueños ✨ #ParaSerFelices 💙💪🏼","🥔💚 ¡En Tuluá seguimos transformando vidas.!

Más de 2.400 familias tulueñas fueron beneficiadas con la entrega de 30 toneladas de papa, una acción que fortalece la seguridad alimentaria y brinda apoyo a mujeres cabeza de hogar, personas con discapacidad y adultos mayores.💪🏼🤩

Gracias al trabajo conjunto con el Departamento para la Prosperidad Social, @prosperidadcol, Tuluá es el primer municipio del Valle del Cauca en recibir esta importante ayuda. Porque cuando trabajamos en equipo, mejoramos la calidad de vida de los tulueños ✨ #ParaSerFelices 💙💪🏼",34,"10/22/2025 10:46",N/A,https://www.facebook.com/reel/1137996625131851/,1,0,Videos,,,,,Total,20989,20165,353,282,40,31,213199.713,11.569,0,0,1194,1193,1,,,0
1271720101661986,100064720237286,"Alcaldía de Tuluá","✨📖 ¡La magia de los cuentos se hará realidad! 🏰💫

Este 25 de octubre vive “El Mundo de la Fantasía” en el Coliseo de Ferias Manuel Victoria Rojas. 🌈
Desde las 10:00 a.m. disfruta con tu familia de rifas, premios, shows, dulces y mucha diversión. 🎭🎁🍬

👨‍👩‍👧‍👦 ¡Ven y vive un día lleno de alegría, magia y sonrisas para grandes y pequeños!
¡Te esperamos para soñar despiertos en el Mundo de la Fantasía! #ParaSerFelices ✨","✨📖 ¡La magia de los cuentos se hará realidad! 🏰💫

Este 25 de octubre vive “El Mundo de la Fantasía” en el Coliseo de Ferias Manuel Victoria Rojas. 🌈
Desde las 10:00 a.m. disfruta con tu familia de rifas, premios, shows, dulces y mucha diversión. 🎭🎁🍬

👨‍👩‍👧‍👦 ¡Ven y vive un día lleno de alegría, magia y sonrisas para grandes y pequeños!
¡Te esperamos para soñar despiertos en el Mundo de la Fantasía! #ParaSerFelices ✨",42,"10/22/2025 06:50",N/A,https://www.facebook.com/reel/1615370509640129/,1,0,Videos,,,,,Total,1832,1550,71,51,2,18,8621.02,5.14,0,0,28,28,,,,0
1271271448373518,100064720237286,"Alcaldía de Tuluá","🎠✨ ¡La magia está por comenzar! ✨🎉

Nuestra gestora social Luz Elena Londoño invita a todas las familias tulueñas a vivir el Mundo de la Fantasía este sábado 25 de octubre en el 📍Coliseo de Ferias Manuel Victoria Rojas. 🏰🌈

🎭 Shows, espectáculos, dulces, rifas, premios y muchísima diversión para grandes y chicos. 🍭🎁

⏰ ¡Te esperamos desde las 10:00 a.m. para vivir un día mágico en familia! a #ParaSerFelices","🎠✨ ¡La magia está por comenzar! ✨🎉

Nuestra gestora social Luz Elena Londoño invita a todas las familias tulueñas a vivir el Mundo de la Fantasía este sábado 25 de octubre en el 📍Coliseo de Ferias Manuel Victoria Rojas. 🏰🌈

🎭 Shows, espectáculos, dulces, rifas, premios y muchísima diversión para grandes y chicos. 🍭🎁

⏰ ¡Te esperamos desde las 10:00 a.m. para vivir un día mágico en familia! a #ParaSerFelices",59,"10/21/2025 18:04",N/A,https://www.facebook.com/reel/4349777855254366/,1,0,Videos,,,,,Total,18358,14711,680,411,30,239,178253.06,10.624,0,0,598,598,,,,0
1271216435045686,100064720237286,"Alcaldía de Tuluá","#ParaSerFelices | Prosperidad Social beneficia a 2.400 familias tulueñas con apoyo alimentario.

En un trabajo articulado entre el Departamento para la Prosperidad Social (DPS) y la Alcaldía de Tuluá, se realizó la entrega de 30 toneladas de papa, beneficiando a más de 2.400 familias tulueñas en situación de vulnerabilidad.

Lee la noticia completa: ⬇⬇⬇",,0,"10/21/2025 16:10",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0Kt3wqmAhfYp4FY1oFJDph9NhjgHjobfyDUVPug6zGzztYk1LLkNtQZAUxzzZSUr3l,0,0,Enlaces,,,,,Total,4556,2792,52,44,5,3,,,,,105,45,60,,,
1271206478380015,100064720237286,"Alcaldía de Tuluá","📚✨ ¡Celebramos el talento literario tulueño! ✍️💫

Premiamos a los jóvenes ganadores del I Festival Literario de Microcuentos “Tejiendo Letras”, organizado por la @ucevacol en articulación con la Administración Municipal.

🏆 Gabriela Ramírez, estudiante de 11-1 del colegio @institucionjuliarestrepo, obtuvo el primer lugar y recibió un iPad.
🥈 Samuel Castaño, del grado 11-2 del Colegio @sanfranciscotulua se llevó el segundo puesto y un parlante JBL. 

Un reconocimiento a su creatividad, imaginación y amor por las letras. 💬💙 #ParaSerFelices","📚✨ ¡Celebramos el talento literario tulueño! ✍️💫

Premiamos a los jóvenes ganadores del I Festival Literario de Microcuentos “Tejiendo Letras”, organizado por la @ucevacol en articulación con la Administración Municipal.

🏆 Gabriela Ramírez, estudiante de 11-1 del colegio @institucionjuliarestrepo, obtuvo el primer lugar y recibió un iPad.
🥈 Samuel Castaño, del grado 11-2 del Colegio @sanfranciscotulua se llevó el segundo puesto y un parlante JBL. 

Un reconocimiento a su creatividad, imaginación y amor por las letras. 💬💙 #ParaSerFelices",49,"10/21/2025 15:48",N/A,https://www.facebook.com/reel/1364398315338165/,1,0,Videos,,,,,Total,4497,3887,130,105,10,15,35201.158,8.369,0,0,52,52,,,,0
1271151241718872,100064720237286,"Alcaldía de Tuluá","#Impuestos | Últimos días con el 90% de descuento en impuestos municipales.

La Alcaldía de Tuluá invita a todos los tulueños a aprovechar los últimos 10 días del mes de octubre para ponerse al día con sus impuestos y disfrutar de un descuento del 90% en intereses y sanciones.

Lee la noticia completa: ⬇⬇⬇
",,0,"10/21/2025 13:41",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0aNkWfu7nFciH28RyNYRc5bsHKWF69caenUeJh3Vyg3UdUtLELdZi5XHLDhVtXekil,0,0,Enlaces,,,,,Total,2201,1238,70,47,1,22,,,,,22,6,16,,,
1271018438398819,100064720237286,"Alcaldía de Tuluá","🥔💛 2.400 familias tulueñas beneficiadas con 30 toneladas de papa 💪🏼

Gracias al trabajo articulado con el Departamento para la Prosperidad Social, realizamos la entrega de 30 toneladas de papa destinados a fortalecer la seguridad alimentaria de mujeres cabeza de hogar, personas con discapacidad y adultos mayores del municipio. 👩‍👧‍👦🤝

Tuluá es el primer municipio del Valle del Cauca beneficiado con esta ayuda, que permiten unir esfuerzos para mejorar la calidad de vida de las familias tulueñas. 🌿 #ParaSerFelices",,0,"10/21/2025 09:59",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid037vTPGwQctP8tPC34xgHqW2hL1T1xR2xEAkzJWU8BnznzC52WMpE1UUe3tipFDN4jl,0,0,Fotos,,,,,Total,143217,74436,771,551,150,66,,,,,13178,4486,,8692,,
1270408941793102,100064720237286,"Alcaldía de Tuluá","✨🌈 ¡Bienvenidos al Mundo de la Fantasía 2025! ✨🌈

📍 Desliza el mapa y descubre los mundos mágicos que te esperan 🌟
Cada rincón del 📍Coliseo de Ferias Manuel Victoria Rojas estará lleno de historias, personajes y aventuras que te harán volver a creer en la magia. 🧚‍♀️📖

👑 💫 Rifas, sorpresas y mucha diversión te esperan este 25 de octubre. ¡ENTRADA GRATIS!",,0,"10/20/2025 18:01",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02LpmHiqkXWKdFaWnBdhdYNtwFH2pRXVXagD4JXvykeneYhNSrm1pbxQexNBS8gGB3l,0,0,Fotos,,,,,Total,26517,14680,187,126,11,50,,,,,1251,461,,790,,
1270309418469721,100064720237286,"Alcaldía de Tuluá","🎓💡 ¡Premiamos a nuestros estudiantes emprendedores! 🙌

La I.E. Corazón del Valle ocupó el primer puesto en el Foro Educativo “COMRED: Educación que Transforma” con su experiencia “Tejiendo Competencias”. 🧵📚
💻 Para fortalecer su proyecto, entregamos un software especializado, un computador, un refrigerador para lácteos y un congelador para carnes. herramientas que los mismos estudiantes solicitaron para impulsar su proyecto. 💻🧊 

En Tuluá seguimos transformando la educación #ParaSerFelices 💙💪🏼","🎓💡 ¡Premiamos a nuestros estudiantes emprendedores! 🙌

La I.E. Corazón del Valle ocupó el primer puesto en el Foro Educativo “COMRED: Educación que Transforma” con su experiencia “Tejiendo Competencias”. 🧵📚
💻 Para fortalecer su proyecto, entregamos un software especializado, un computador, un refrigerador para lácteos y un congelador para carnes. herramientas que los mismos estudiantes solicitaron para impulsar su proyecto. 💻🧊 

En Tuluá seguimos transformando la educación #ParaSerFelices 💙💪🏼",42,"10/20/2025 14:33",N/A,https://www.facebook.com/reel/1310901167192824/,1,0,Videos,,,,,Total,5179,3913,190,137,20,33,41558.069,9.003,0,0,99,99,,,,0
1270285031805493,100064720237286,"Alcaldía de Tuluá","#Educación | Premiando a estudiantes emprendedores.

La secretaría de Educación y la administración del alcalde Gustavo Vélez Román premió a la institución Educativa Corazón del Valle al ocupar el primer puesto con la Experiencia Significativa “Tejiendo Competencias, presentada durante el pasado Foro Educativo Comunidad en Red, “Educación que Transforma”. 

Lee la noticia completa: ⬇⬇⬇
",,0,"10/20/2025 13:43",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0Byv1YLR3K6xgKbPvQvxogS1o1XRr179bhskdfatMNZNZfESbo71mhEE34rsq6KBYl,0,0,Enlaces,,,,,Total,5932,3873,81,62,0,19,,,,,111,11,100,,,
1270138181820178,100064720237286,"Alcaldía de Tuluá","🎃✨ ¡Cada vez falta menos para vivir la magia! ✨🎭

¡Agéndate este 25 de octubre! El Coliseo de Ferias Manuel Victoria Rojas se llenará de alegría, color y mucha diversión. 🏰🌈
Prepárate para una tarde con rifas, premios, dulces, shows, inflables y muchos regalos 🎁🍭🎈 todo en un lugar lleno de cuentos y fantasía para nuestros niños y niñas. 🧚‍♀️📖

💫 ¡Ven con tu familia y vive Halloween en el Mundo de la Fantasía! 🧙‍♂️👻 #ParaSerFelices",,0,"10/20/2025 09:44",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0356K8MZgTPPLoBdLc9Eg9XPm4iGpH4mxTTE7RfC7MzKnPBHv8zPQBrhSLqjGFm4b6l,0,0,Fotos,,,,,Total,16432,9774,174,107,12,55,,,,,477,302,,175,,
1268552921978704,100064720237286,"Alcaldía de Tuluá","#Noticias | Desde la Feria de AgroTurismo y Negocios de la @camaratulua, te traemos las noticias más importantes de la semana en 45 Segundos #ParaSerFelices 🤩✌🏽","#Noticias | Desde la Feria de AgroTurismo y Negocios de la @camaratulua, te traemos las noticias más importantes de la semana en 45 Segundos #ParaSerFelices 🤩✌🏽",55,"10/18/2025 16:22",N/A,https://www.facebook.com/reel/4224336144559772/,1,0,Videos,,,,,Total,1643,1489,47,37,1,9,9816.03,6.504,0,0,20,20,,,,0
