Barrio,Mejora_barrio,Comuna
Alvernia,"vernia, seguridad en la parte de atras del nazaret y vias en mal estado, la paso ancho y una cuadra antes del colegio nazaret",Comuna 2
"",vereda el picaho,""
"","vereda cienegueta, informar más a las personas q no es un lugar donde habita la guerrilla y q es muy tranquilo pero por acá ni domicilios  (",""
"",veraneras   más actividades deportivas y culturales para la población en general,""
"",urbanización san francisco  que la policia colabore para que lod drogadicto no consuman sustancia frante a la gente que no consumen,""
"","urbanización maría clara, pavimentar las calles y organizar los parques.",""
La Villa,urbanización la villa,Comuna 3
"",un teleférico desde la marina.se daría un salto de progreso como lo puede tuluá.solo es voluntad y proyección urbana.tuluá  puede.,""
Los Olmos,un poco más de iluminación en las calles y parques,Comuna 7
El Centro,uevo farfan.mejorar la atención en el centro de salud.dar las citas personalmente.la linea de waza del hospital no funciona,Comuna 4
Nuevo Farfán,"uevo farfan , la calle 20 es una calle vieja y no la paimentan es triste ver tanto años y seguimos con pantano y polvo",Comuna 7
Rubén Cruz Vélez,ubén cruz vélez que hubiera mas espacios de recreación para los jóvenes y niños compartieran en familia,Comuna 7
"",trinidad un par que para los niños,""
"",trinidad  -   seguridad,""
Bosques de Maracaibo,"tres polideportivos y ninguno tiene cubierta para que los niños ,jóvenes y adultos ocupen sus espacios libres en esto",Comuna 8
"",tres esquinas  seguridad carretera  aseo,""
Flor de la Campana,"trataría de que el estado estuviera presente con programas de atención a jóvenes, para protegerlos de la droga",Comuna 8
Popular,trataría de conseguir que arreglen el parque del  pues está muy desmejorado,Comuna 3
"",trabajo de socialización en lo ambiental por ejmplo,""
"",trabajo comunitario. no hay civismo.,""
"",trabajar más con las familias,""
"",tomas uribe. más trabajo y comercio empresarial.,""
"",tomás uribe no se personalista la junta comunal no hay deporte ni  ejercicios para la gente joven entre la calle 19 hay un polideport,""
"",tomas uribe hay muchos chirretes locos en las calles,""
"",tomas uribe combatir el microrafico,""
"",tomas uribe - rebajar el costo de los servicios publicos,""
"",todo lo alusivo al mantenimiento y ampliación de equipos en los parques.utilizar la viá férrea para hacer transporte público y teleférico.,""
"",todo en equipos gimnasios y mantenimiento.,""
"",todo,""
Aguaclara,"toda principal hay muchos marihuaneros, mirando mal robando y hurtando",Comuna 10
La Campiña,"tener una jac que funcione adecuadamente sin corrupción ni intereses particulares sino generales, seguridad y orden público",Comuna 7
Nuevo Farfán,tener mejor atención del alcalde caresemos de eso,Comuna 7
Las Olas,tener honestidad y respeto por la naturaleza 🏞️,Comuna 4
El Bosque,te en bosques pokevivia  enplayitas  y meses pasaron de aya  era líder  social   poreso me sacaron lome jor sería cavar con esa gu,Comuna 3
Villa Campestre,tapar los huecos en las callles,Comuna 1
Buenos Aires,tal vez pavimentar algunas calles y tener más zonas verdes,Comuna 6
La Santa Cruz,ta cruz . mucho consumo y venta de estupefacientes  y falta pavimentación en la parte baja del,Comuna 3
Bosques de Maracaibo,"sques de maracaibo, no restablece los derechos de los niños niñas y adolescentes que estan alli, una problematica",Comuna 8
"",socialización,""
"",siembra de arboles,""
Los Olmos,si  pudiera le colocaría máquinas en el parque para hacer ejercicio,Comuna 7
Salesiano,"servicios públicos más económicos, más actividades de cursos para adultos y niños",Comuna 5
Villa Liliana,sería bueno que se pavimenten las calles,Comuna 7
"",ser más amigable,""
"",señalizar las vias,""
Buenos Aires,señalizacionvial,Comuna 6
Bolívar,señalizaciones y tapar huecos,Comuna 6
El Jardín,señalizacion vias y vigilancia policial,Comuna 9
"",señalización vial,""
La Graciela,señalizacion en las calles,Comuna 9
El Lago,"señalisacion ,policía acostados  es un corredor para uceva velocidad, cambiar luz amarilla por la blanca el cruce paso ancho semafo",Comuna 5
"",sembrar más árboles y mejorar las vías vehiculares,""
Santa Isabel,sembrar arboles,Comuna 8
"",seguridad.en más iluminación y mejores implementos de máquinas biosaludables y control policial.,""
Nuevo Príncipe,seguridad. vias sin pavimentar. servicios públicos excesivamente caros,Comuna 5
"","seguridad,calles restauradas,parques temáticos,autoridad al cuidado de lis ciudadanos y no chateando.",""
Victoria,"seguridad, pavimento, semáforos carrera 34 con calle 28, todos los días accidentes, prohibir las motos ruidosas. limpieza parquea",Comuna 1
"","seguridad,   via a tres esquinas",""
Sajonia,seguridad y normalizar tarifas de servicios publicos,Comuna 5
"",seguridad y mejor centro de salud.,""
"",seguridad y cámaras para saber que actos y quien es la persona,""
El Refugio,seguridad más policia,Comuna 8
"",seguridad general caminamos con miedo con sosobra escuchamos una moto y el corazón se agita,""
"",seguridad en cuanto al monitoreo constante de patrulla motorizada ya que los que andan en moto se toman la zona cada 8 días,""
El Bosque,seguridad convivencia social,Comuna 3
"",seguridad,""
Aguaclara,seguridad,Comuna 10
Popular,seguridad,Comuna 3
Sajonia,seguridad,Comuna 5
San Pedro Claver,seguridad,Comuna 6
Victoria,seguridad,Comuna 1
Santa Rita del Río,segunda etapa,Comuna 3
Aguaclara,seguiré aportando desde mi formación actividades para mantener la mente de los niños ocupada,Comuna 10
"","sector del río tulua, entre calle 29 y carrera 29. colaboraría con la siembra y mantenimiento de árboles.",""
La Esperanza,sea más seguro y más ayuda en infraestructura,Comuna 6
"","santa rita, pavimentación de las calles con ese polvero quien va a estar feliz",""
"","santa rita etapa dos , pavimento",""
"",santa rita 1 que terminen de paimentar las calles que faltan muchos años y nada,""
"",santa rita  el encierro del polideportivo,""
"",santa inés. luminacion y más seguridad para el tema de emociones de ruido y más control policial.,""
"",santa inés segunda etapa.  mejorar la calidad de vida de los ciudadanos instalando programas artísticos cercanos al .,""
"",santa inés limpieza y encerramiento de lotes abandonados donde arrojan toda clase de basuras y traen mascotas hacer necesidades y no recogen,""
"",santa ines ... la seguridad,""
"",san vicente  mejoraría que tengan control con los habitantes de calle que no hagan sus necesidades en los andenes,""
San Pedro Claver,san pedro clare,Comuna 6
"","san gabriel, la movilidad de los jóvenes en las motos ya que realizan piques y levantan las motos ocasionando intranquilidad y el consumo",""
"",salida sur,""
Alvernia,sacar a todos los indigentes que deambulan x nuestro  haciendo sus necesidades en nuestros antejardínes. y robando lo que ven,Comuna 2
Salesiano,s.mas seguridad y control de vehículos en andenes,Comuna 5
Salesiano,"s, los lugares donde expenden licor y ocupan los andenes",Comuna 5
Diablos Rojos,"s rojos, lo único que mejoraría esos niños que salen casi a la media noche a molestar tocando puertas y salir corriendo",Comuna 7
Salesiano,s mejoraría la seguridad es un  que se torna muy solo en siertos horarios del dia aunque la policía hace una buena labor falt,Comuna 5
Morales,s de san felipe,Comuna 3
Salesiano,s  orden vía principal cr 26 nada carteles y cadenas sobre la vía esta es pública y los negocios se la toman,Comuna 5
Casa Huertas,s  no tenemos ningún parque para la familia las chatarrerías generan plagas y la ladrillera contaminación   deben ser reubicados,Comuna 3
Salesiano,s  mejoraría el tema de algunas calles que están muy deterioradas y causan muchos accidentes,Comuna 5
Salesiano,s,Comuna 5
"","ruben cruz, mejoraría los parques",""
"","rubén cruz, es un  muy tranquilo",""
"",rubén cruz .  mejoraria  el ruido y la contaminación.  debido al alto fluido vehicular .,""
Popular,"ridad del  popular. colocar cámaras en la casa,para observar y grabar los incidentes qué ocurran",Comuna 3
Fátima,ría la seguridad de el  nuevo fatima,Comuna 1
Victoria,ria  apoyo a los emprendimientos,Comuna 1
Alvernia,revisar la facturacion de los servicios publicos,Comuna 2
Panamericano,reubicar bares y discotecas cercanos,Comuna 1
"",retiro más convivencia con los vecinos  apoyo y comunicación,""
La Bastilla,"retirar basura, escombros y venta de sustancias psicoactivas en la orilla del río",Comuna 5
Rojas,respeto en el uso de equipos de sonido pues nos altera al punto de estrés. obligándonos a cerrar puertas y ventanas para mitigar el so,Comuna 7
Las Delicias,respeto a las normas de tránsito,Comuna 6
Villa Campestre,reparchar las calles,Comuna 1
Fátima,reparar calles,Comuna 1
"",reforzar la seguridad,""
Estambul,reductores de velocidad,Comuna 3
Tomás Uribe Uribe,"realizaría una campaña de cultura ciudadana, para retomar los buenos  principios y valores. crear una etica social",Comuna 4
El Cóndor I y II,r 2 y terminaría nuestro parque,Comuna 3
Las Nieves,quitar tanto ruido en las noches,Comuna 7
Buenos Aires,que todas sus calles estuvieran pavimentada,Comuna 6
"",que tenga mejor alumbrado publico,""
Bosques de Maracaibo,que seamos una comunidad más unida,Comuna 8
El Bosque,que sea brillar la paz y el amor no el miedo y la sosobra o temor,Comuna 3
Bosques de Maracaibo,"que se hicieran eventos importantes, bosques es una ciudadela prácticamente",Comuna 8
La Villa,que se acabe el consumo de los residentes a las sustancias sicoactivas,Comuna 3
"",que quiten los antejardines que algunos habitantes de este sector colocaron en las zonas peatonales,""
Samán del Norte,que los vecinos dejarán de trancar las calles con sus carros estacionados,Comuna 9
Nuevo Farfán,que hubieran lugares donde poner la basura para que los animales no la boten,Comuna 7
Portales del Río,que hubiera más control con la gente q consume sustancias,Comuna 9
Nuevo Príncipe,que haya más seguridad,Comuna 5
La Villa,que haya  un programa de reciclaje y botaderos de basura en el mismo conjunto,Comuna 3
La Villa,que hay una caseta comunal y no cumple con su finalidad solo es para alquiler y no realizar programas imder y la casa de la cultura,Comuna 3
Bosques de Maracaibo,"que en los parques, sean más iluminados y pasas de seguido la policía, hay inseguridad",Comuna 8
Samán del Norte,que el parque sea biosaludable,Comuna 9
"",que allá más presencia de la policía,""
San Pedro Claver,q se termine rápido el arreglo del parque,Comuna 6
Villa del Sur,q los entes tengan más cine al parque las novenas,Comuna 7
Bosques de Maracaibo,pues en mis manos no está mejorar las calles en mal estado y la iluminación pero me gustaría eso,Comuna 8
"",programas de formación y capacitación,""
Escobar,"procuraría que los rresidentes empaquen los residuos de los alimentos aparte de los restos de papel, plástico, metal, vidrio",Comuna 4
Escobar,procurar asfaltar la calle 24 y que se haga algo con los terrenos abandonados pot sus ptopietarios,Comuna 4
"",principe. señalizacion de pares,""
"","príncipe, señalización y mejorar la movilidad, la calle no es parqueadero.",""
"","príncipe, seguridad, mayor presencia de policía, pero que paren a las personas y las requisen,  no solo parados en las esquinas chateando",""
"","príncipe, la seguridad y las señales de tránsito",""
"","príncipe,  control de gastrobares",""
"",principe semáforos,""
San Carlos,príncipe,Comuna 5
"",porvenir mejoraría la.seguridad,""
"","portal de san felipe, mejoría la iluminación de la entrada y como queda la entrada del colegio haría q estuviera limpio y podado siempre",""
"","portal de san felipe,  frente a la avicola a la chica , via a 3 esquinas . intervención zonas verdes y reductores de velocidad",""
"",portal de san felipe la iluminación y seguridad,""
"",portal de san felipe  más seguridad  que haya control de equinos,""
"","por un cuartel de policías. se parquean muchos carros y nadie sabe quiénes son, no los revisan o requisan",""
"",por un cuartel de policía,""
Victoria,"por ser un  de los más antiguos ya hay poco para mejorarlo, darle pequeñas reformas como aprovechar los pequeños espacios",Comuna 1
Aguaclara,"poner mas orden y controles de guardas de transito, cambiar las luces de los postes por luces led blancas e iluminaria lo oscuro",Comuna 10
Fátima,poner cámaras y alarmas comunitarias y mas iluminación,Comuna 1
San Antonio,pondría un semáforo en la carrera 28 a con 15 por que hay alto índice de accidentalidad,Comuna 3
El Palmar,planes y programas para la ocupación del tiempo libre en los jóvenes,Comuna 9
"","pienso q deberían tener en cuenta otras ciudades más grandes,  medellin y empezar a embellecer a tulua con grafitis por la ciudad",""
La Villa,pero el  vecino hace que nuestro  sea visto como una olla yo volvería urbanización y lo cerraría como la villa,Comuna 3
"","peñaranda, tener un parque y organizar las calles",""
"",peñaranda y acabar las carretillas da pesar como maltratan los caballos,""
El Príncipe,"pe,una campaña para haya más silencio",Comuna 5
"",pavimento de la calles,""
"",pavimento,""
Aguaclara,pavimentar toda la carrilera,Comuna 10
Guayacanes,pavimentar las las calles y.carreras que aun faltan ase falta.unpuesto de salud y una mejor bijilacia policial,Comuna 7
"",pavimentar las calles que faltan,""
"",pavimentar las calles,""
El Bosque,pavimentar la única vía que falta en la entrada entre la cárcel y el bosque,Comuna 3
Las Nieves,"pavimentar calles, control con tránsito la gente estaciona mal y no dejan circular. rondas de la policía ya que no lo hacen",Comuna 7
"",pavimentar,""
Buenos Aires,"pavimentación, señalizacion de las vías, enbellecimiento de sus parques con bancas y zonas de diversión y deporte",Comuna 6
Buenos Aires,pavimentación de.emi cuadra para disfrutar conmi familia y vecinos,Comuna 6
El Retiro,pavimentación de una parte de la calle. colocaría reductores de velocidad,Comuna 1
"",pavimentacion,""
"",parte vivienda recuperación de puntos críticos residuos sólidos   este reiclajes damosbonoa alimentos colocamos bodegas maquinarias comunita,""
"","parques,seguros donde las familias puedan departir,calles bien asfaltadas,muchos huecos,supermercados cerca,actividades lúdicos recreativas.",""
Panamericano,parques o espacios verdes para compartir,Comuna 1
Aguaclara,parques deportivos donde la comunidad en general encuentren un espacio cerca de su cuadra y no tengan que desplazarse tan lejos,Comuna 10
Las Delicias,parece que no hay jac,Comuna 6
Victoria,"para mejorarlo un poco, sería reparar el pavimento de vías, pero eso sale costoso y ustedes suben cotos, para el peculado",Comuna 1
"",palmar mas union con los vecinos,""
"",palivoniti,""
La Independencia,pacidad económica  en serranía el polideportivo del  la independencia ya que an ávido varios asistentes con los fu gad,Comuna 8
Villa Campestre,pa imentos de mi,Comuna 1
Franciscanos,os k lo pavimenten por un lado y la seguridad la integración de los jóvenes los niños hacer de sus vidas un mejor bienestar,Comuna 2
"","ornato , embellecimiento y alumbrando publico",""
La Villa,organizar el parqueadero,Comuna 3
Popular,"opular. mejorar la movilidad cerca a la cárcel, es caótica de noche e intervenir los parques con más iluminación y limpieza",Comuna 3
Horizonte,"onte y me gustaría que nos apoyarán con el arreglo de parque el horizonte,se que toda la comunidad de alrededor nos apoyarían",Comuna 8
"",olmos  seguridad,""
Progresar,"ogresar , el alumbrado",Comuna 6
La Rivera,"o, la rivera  las calles están sin pavimento, los parqueaderos en la calle no dejan transitar libremente",Comuna 1
Palobonito,o,Comuna 4
La Esperanza,"nza, generaría espacios de sano esparcimiento para la población",Comuna 6
La Esperanza,"nza y urge la poda de unos árboles que generan inseguridad, cra16 entre clle 26a y 26 c de la esperanza, ya huno intento de robo",Comuna 6
"",nuestro parque infantil que está abandonado lleno de malesa tirado a olvido,""
La Quinta,"nta, más unión de vecinos",Comuna 7
La Santa Cruz,nta cruz vía la marina,Comuna 3
Salesiano,nos predicar su palabra dise el el rey de la gloria dise arrepentidos y bautizos en el nombre de jesucristo para perdón de lo,Comuna 5
Bosques de Maracaibo,nos falta parques para nuestros niños seguridad y las vias,Comuna 8
La Villa,"normas claras de convivencia  0 ruido, levantar popo de mascotas",Comuna 3
"",no vivo en tulua pero voy mucho por allá de compras,""
"",no permitiría que en mi  haya negocios donde expenden licores y pongan música a muy alto volumen a muy altas horas de la madrugada.,""
La Bastilla,no debería haber negocios que hagan tanta bulla pueden ubicarse en zona industrial,Comuna 5
Fátima,nesecitamos hacer un frente de seguridad entre todos los vecinos y hacer más actividades para los niños en este,Comuna 1
La Independencia,ndencia,Comuna 8
"",nariño. canchas y parques,""
"",nariño,""
Nuevo Príncipe,nadie socializa con nadie,Comuna 5
Flor de la Campana,nada todo esta bien,Comuna 8
"",nada,""
La Esperanza,nada,Comuna 6
San Antonio,nada,Comuna 3
Buenos Aires,n hay varias calles si paimentar  buenos aires,Comuna 6
Victoria,mucho habitante de calle,Comuna 1
Villa Campestre,mucha  pólvora en diciembre eso perturba la tranquilidad de todos  y las vías están en muy mal estado,Comuna 1
Victoria,"mmmm unos vecinos que no saben el respeto por su entorno, ponen música a todo volumen",Comuna 1
La Paz,"minación, lla pavimentación de las carreteras y la seguridad",Comuna 10
Villa Liliana,mi cuadra es la única que está sin paimentar y nos afecta mucho cuando llueve mejoraría el parque y la seguridad,Comuna 7
La Esperanza,"mi casa hay una cortadora de madera en la esperanza por la vía río frío, hace demasiada bulla y entra demasiado polvillo",Comuna 6
Progresar,menos ruido en las casas cuando hacen fiestas no dejan dormir,Comuna 6
Panamericano,menos ruido,Comuna 1
"",mejores parques biisaludabled,""
"","mejoraría que los niños que vi crecer dejen de estar expuestos al microtrafico, que la cultura y el deporte llegue. que no haya más sangre",""
Progresar,mejoraria más la seguridad y el aseo,Comuna 6
Asoagrin,mejoraría los parques y mejoraría la seguridad,Comuna 3
Maracaibo,mejoraria los parques mas limpios y seguros,Comuna 9
San Pedro Claver,mejoraría los parques más bancas y más motivados en la recreación y integración familiar y amistades,Comuna 6
Guayacanes,"mejoraría las calles, las pavimentaria",Comuna 7
San Benito,mejoraría las calles ya que genera angustia tener que entrar a tu casa en medio de barro y tierra,Comuna 1
Marandúa,mejoraría las calles tienen huecos,Comuna 6
San Pedro Claver,mejoraría la vigilancia,Comuna 6
Aguaclara,mejoraría la vía de la carrilera,Comuna 10
Villa del Sur,mejoraría la situación de los parques,Comuna 7
Victoria,mejoraria la señalización,Comuna 1
Victoria,mejoraría la seguridad,Comuna 1
San Antonio,"mejoraría la cancha deportiva y como queda cerca el parque de los sueños,haría un control de ese parque para q dejen tanto consu",Comuna 3
La Santa Cruz,mejoraría el ruido los vecinos no respetan ponen el equipo a todo volumen y no limpian el popo de las mascotas,Comuna 3
Sajonia,mejoraría el parque chilicote. convirtiéndolo en un sitio espectacular digno de visitar en familia,Comuna 5
Marandúa,"mejoraría el parque ,con botes de basura, juegos para que nuestros hijos tengan un lugar ,dónde recrearsen,y la seguridad ante tod",Comuna 6
Salesiano,mejoraria el acercamiento con los vecinos,Comuna 5
Bosques de Maracaibo,mejorar que no hagan tanto ruido en las noches,Comuna 8
San Benito,mejorar más programas educativos y de formación en las casetas comunales,Comuna 1
El Retiro,"mejorar las vías, controlar los establecimientos comerciales, los vehículos mal parqueados y el ruido",Comuna 1
Rojas,mejorar las vías en general demasiados huecos y baches,Comuna 7
Alvernia,mejorar la separación entre comercial y residencial. fue  residencial y permitieron la inclusiónde establecimientos comercia,Comuna 2
Alvernia,mejorar la presencia de las entidades oficiales. aprovechar los parques para actividades culturales y restaurarlos,Comuna 2
Chiminangos,mejorar la infraestructura vial señalizar las vías más acompañamiento de las autoridades por el consumo de estupefacientes,Comuna 8
"",mejorar la infraestructura de los parques y hacerlos más aprovechables con equipos de ejercicio corporal.,""
La Trinidad,mejorar la delincuencia venta de vicio y consumo,Comuna 9
Alvernia,mejorar la convivencia,Comuna 2
Guayacanes,mejorar la calle,Comuna 7
Fátima,mejorar la avenida gaitan,Comuna 1
Alvernia,mejorar el tema vial,Comuna 2
Lusitania,mejorar el sentido. de pertenencia,Comuna 5
Municipal,mejorar el aspecto de mi local porque los vecinos están de acuerdo porque eso es desarrollo para el  con el local cerrado,Comuna 8
Samán del Norte,"mejorar el acceso en las vias y un reordenamiento vial, es uno de los s con mayor accidentalidad del municipio",Comuna 9
"",mejorar condición de la vías de acceso,""
Progresar,mejoramiento de vías para la movilidad,Comuna 6
Rubén Cruz Vélez,mejoramiento de caseta comunal y la atención al usuario en el hospitalito rubén cruz,Comuna 7
"","mejora de espacios públicos para esparcimiento, mejora de vías, respeto a los sentidos viales, prohibir los piques y competencias vias barri",""
El Jardín,me ha gustado mucho el,Comuna 9
"",me crié en tuluá pero viv9 en cal8,""
"","mayor acompañamiento policial,  zonas libres de consumo de drogas",""
Progresar,matorral que está sobre la carrera 18 a progresar y hagan un parque para niños y adultos,Comuna 6
Aguaclara,más vigilancia,Comuna 10
Las Américas,más unión entre vecinos,Comuna 7
La Esperanza,más unión,Comuna 6
La Esperanza,"más transporte publico, más comercio y más seguridad",Comuna 6
Prados del Norte,"más seguridad, mucho desadstado y el vicio no tiene control en las calles. mucho mariguaneros. en las calles y parques",Comuna 7
"",más seguridad y controlar tanto consumidor de estupefacientes en los parques también controlar a los dueños de los perros que hacen popo y n,""
Chiminangos,más seguridad,Comuna 8
San Pedro Claver,mas seguridad,Comuna 6
Bosques de Maracaibo,más respeto y convivencia,Comuna 8
El Paraíso,"más recreación familiar las iluminación, supermercado y más seguridad policial",Comuna 10
Farfán,más rampas,Comuna 7
Chiminangos,más presencia de policía porque hay mucho vendedor de vicio,Comuna 8
Popular,"más presencia de lapolicía, se ve mucho consumidor de vicio por esta zona que viene de la casona",Comuna 3
San Pedro Claver,"más presencia de la policía, mucho habitante de calle y robos en las casas",Comuna 6
"",más oportunidades,""
Aguaclara,más obras de infraestructura y empleo,Comuna 10
Nuevo Príncipe,más medios de trasporte,Comuna 5
"","más luz,espacios para ventas y seguridad",""
"",más limpio,""
La Herradura,más iluminacion,Comuna 6
"",mas entretención,""
Playas,más cultura ciudadana,Comuna 6
Las Delicias,más convivencia social y vigilancia policial sobre todo en la noche no se ve una patrulla ni para remedio,Comuna 6
San Pedro Claver,más compromiso con parques están abandonados no hay zonas de recreación.. so zonas de excrementos de perro y consum,Comuna 6
Villa del Sur,más brigadas de salud y cine al  parque,Comuna 7
Céspedes,más aseo en las calles,Comuna 2
Victoria,más aseo de las calles.  cultura ciudadana,Comuna 1
"",maria clara nariño y pavimentaria sus calles,""
"",máquinas e instructores de guia.,""
"","mantenimiento a todos y maquinaria para todos.como ningún otro lugar de colombia.hay plata unido con proyección,la llave completa.",""
"",manejo de los residuos,""
Fátima,"malla vial y transformación del parque de la familia  para que sea un espacio que fomente la cultura, el deporte y el turismo",Comuna 1
Rojas,"malla vial calle 22, es un caos todo el tiempo. convertir una sola vía y destapar vía en la calle 23, continuidad",Comuna 7
"","ma policía patrullando, se demoran mucho en pasar de nuevo.",""
La Paz,lvidado la parte de iluminación pública,Comuna 10
Victoria,"lugares de interés , lugares bonitos",Comuna 1
Villa Colombia,luces en los parques obras de arte sobre la transversal pero no fieros o latas de malas formas el arte da censaciones buenas,Comuna 9
San Antonio,"los vecinos poner sus equipos a altos volúmenes, en especial, después de las 8pm. san antonio. señalización en la vía principal",Comuna 3
"",los servicios,""
"","los parques.mas equipos,luz y mantenimiento.debe ser el orgullo de cada sector.",""
"",los parques.estan descuidados y requieren equipos.mas atención seria gratificante.,""
La Esperanza,"los parques, más señalización  soy del  la esperanza de tulua",Comuna 6
Las Nieves,los parques para los niños,Comuna 7
"",los parques deben contar con equipos biosaludables,""
San Pedro Claver,los parque hacer gimnacio para los adultos,Comuna 6
Alvernia,los huecos en las calles y la inseguridad,Comuna 2
"",los huecos en las calles,""
"","los habitantes de calle indigentes,  personas que reflejan desorden, abandonado, negligencia y deficiente administración del alcalde",""
"",los contadores  y pavimento,""
"","lomitas, pavimentación de calles",""
La Paz,"lomitas realizaría la pavimentación de varias cuadras, entre ellas la cra 46 y cra 45",Comuna 10
"","lomitas , señalizacion y pavimentar calles que están en tierra",""
"",lo primero que yo quiero es como líder qué meayudaran a terminar el polideportivo ese es mi más grande anhelo,""
La Graciela,lo mejoraría ayudando a concientizar a la gente que cuiden el río y la fauna que hay a sus alrededores,Comuna 9
"",lo  ideal los juegos biosaludables y su mantenimiento permanente.,""
Nuevo Príncipe,lles (pavimentar) nuevo príncipe,Comuna 5
"",llegar aser más unidos con la comunida,""
Miraflores,limpieza en los alrededores del colegio gimnasio (llevan basuras),Comuna 1
La Villa,"limpieza , camaras en buen estado",Comuna 3
"",limpieza  control del ruido  organización de víasy señalización de las mismas,""
"",limpieza,""
Salesiano,"limpiarla las zonas verdes, retiraría los depósitos de basura que deja. los habitantes de calle",Comuna 5
"","limonar, pavimento",""
Villa Liliana,liliana me gustaría mejorar los parques ya q contamos con los espacios de zona verde pero faltan juegos para los pequeños,Comuna 7
Salesiano,"lesianos- mejorar las luminarias, públicas desplazar la mendicidad y habitantes de calle",Comuna 5
La Paz,"legre, le faltó un tramo a la pavimentada entrando al corregimiento",Comuna 10
La Esperanza,le haría el polideportivo para que los niños y los adultos mayores tengan un espacio para ellos,Comuna 6
"",laureles  no se puede hacer nada porque ya no hay ley para los que no dejan dormir  sábado  domingo y días de fiesta con el volumen,""
"",las zonas verdes  estan muy abandonadas,""
"",las vías.....es un barrió completa mente abandonado por las instrucciones.... ni la policía va,""
Entre Ríos,"las vías, el parque y los alrededores del río",Comuna 2
"",las vías son pésimas y se pagan el predial bien alto,""
Chiminangos,las vías estan en mal estado,Comuna 8
"",las vías en muy mal estado,""
El Bosque,las vías de acceso a este  y el bosque están sin pavimentar y hay mucha piedra,Comuna 3
"",las vías,""
Aguaclara,las vias,Comuna 10
Palobonito,las señalización de sus calles  control a personas de calle ( aseo . alimentación.y salud),Comuna 4
"",las ediciones abandonadas y la vigilancia por parte de la policía que en verdad brillan por su ausencia.,""
"",las carreteras,""
El Lago,las calles,Comuna 5
Rubén Cruz Vélez,las calles,Comuna 7
Guayacanes,las ca lles que falta por el paimentar,Comuna 7
"",las  vias aledañas,""
Aguaclara,"lara ,acondicionar los callejones",Comuna 10
Aguaclara,lara  en)  las oportunidades,Comuna 10
Popular,"lar, y que le cambiaría la casona",Comuna 3
"",la vía de accsey,""
Bolívar,la verdad es un muy buen  para vivir,Comuna 6
"",la seguridad...todo tulua esta en manos de la delincuencia,""
"","la seguridad, haría pavimentar las calles",""
