"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió",Seguimientos,Comentarios,"Veces que se guardó"
17855056257560638,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","💙🚐 ¡La Ruta de la Felicidad llegó a Villa Liliana! 🎉

 💫 Con Programas Nacionales, vacunación para niños, adultos y mascotas 💉🐶, mercado de ropa 👗, pintucaritas 🎨, recreación para los más pequeños 🤸‍♀️ muestras culturales y demás servicios y oferta institucionales llenamos de alegría cada rincón 🎶💃

Porque nuestra misión es estar cada vez más cerca de los tulueños, llevando bienestar, participación y alegría a todos los barrios de Tuluá.  #ParaSerFelices💪🏙️",51,"11/10/2025 09:06",https://www.instagram.com/reel/DQ4jgsVj9YT/,"Reel de Instagram",,Total,1693,1249,24,1,1,0,0
18130740130488409,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","🚧✨ Así se construye la Tuluá que avanza.

Por años, la continuidad de la carrera 26B fue un sueño pendiente para los vecinos de La Trinidad y el Tomás Uribe. Hoy ese sueño, gracias al liderazgo del ingeniero @gustavovelezr ya se ve, se siente y está a punto de convertirse en realidad.

✅ Un proyecto que ya alcanza el 95% de ejecución y que muy pronto conectará de manera definitiva a estos dos importantes barrios.

#ObrasQueTransforman
#ParaSerFelices 💙",46,"11/10/2025 08:25",https://www.instagram.com/reel/DQ4e0IXiWA1/,"Reel de Instagram",,Total,3565,2187,102,9,2,1,0
18073306988244652,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Hoy desde el @supercentrotulua en la Socialización del Proyecto de la Cruz más alta de Latinoamérica, te presentamos las noticias más importantes de la semana en 45 Segundos #ParaSerFelices 😎",49,"11/08/2025 15:23",https://www.instagram.com/reel/DQ0FHNZj38z/,"Reel de Instagram",,Total,3990,2267,70,7,1,1,0
18084182702054218,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🚧✨ Así soñamos el 2026… ✨🚧

Las obras que hemos iniciado son símbolo de progreso, compromiso y transformación. 💪🏗️
Cada calle, parque y espacio recuperado refleja el trabajo constante por una Tuluá que avanza, que crece y que piensa en el bienestar de todos los tulueños. 💙🌆

Y esto… ¡solo es el comienzo! 🙌
Así se verán las obras que muy pronto empezarán a transformar a Tuluá. #ParaSerFelices 💫🏙️",44,"11/07/2025 08:50",https://www.instagram.com/reel/DQwzab7j8zh/,"Reel de Instagram",,Total,23828,12966,478,183,11,47,9
18055877048313461,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","✨🙌 La cruz más alta de Latinoamérica estará en Tuluá✝️🌄

Presentamos a la comunidad la iniciativa “Cruz del Picacho”, un proyecto que Contempla una cruz monumental de 110 metros, una vía de acceso segura e incluyente y 10 plazoletas de descanso diseñadas para el disfrute de todos los visitantes. 🌿🚶‍♀️

💫 ¡Un símbolo de fe y progreso que transformará a Tuluá!",35,"11/06/2025 15:47",https://www.instagram.com/reel/DQu-bpWj_tW/,"Reel de Instagram",,Total,3738,2288,75,8,0,1,1
17978206769942282,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🏫✨ ¡Seguimos construyendo seguridad para nuestros estudiantes!

Antes, estos muros en estas Instituciones Educativas representaban un riesgo para la comunidad educativa, pero hoy ya avanza en un 80% de construcción y pronto será una estructura firme y segura 💪🧱 que protegerá a nuestros niños y niñas.

Seguimos transformando los entornos escolares para que cada estudiante aprenda en espacios más seguros y dignos. 💙📚",25,"11/06/2025 06:17",https://www.instagram.com/reel/DQt9ICNAED4/,"Reel de Instagram",,Total,2348,1539,47,6,0,2,0
18367824787152684,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🇨🇴✈️ ¡Un tulueño que nos llena de orgullo! 🌍📚

Yeferson es el único docente de Tuluá que participó en el Programa CILE del @mincultura en Malta 🇲🇹, donde vivió una experiencia única de aprendizaje, intercambio y crecimiento profesional.✨ 

Allí descubrió nuevas formas de enseñar y fortalecer el bilingüismo como una herramienta clave para el desarrollo y las oportunidades de los jóvenes tulueños. 💬👩‍🏫👨‍🏫

Gracias al apoyo de la Administración Municipal, esta experiencia demuestra que en Tuluá seguimos apostándole a la educación, al conocimiento y al talento de nuestros docentes #ParaSerFelices 💙📖",87,"11/05/2025 17:03",https://www.instagram.com/reel/DQsiRyhj5Og/,"Reel de Instagram",,Total,3292,2170,70,10,1,4,1
17922540531180504,17841463359768185,mediamaratontulua,"MMT• Media Maratón Tuluá","🚧 Este 16 de noviembre, Tuluá corre unida.

Durante la Media Maratón, varias vías estarán cerradas para garantizar la seguridad de los corredores y el buen desarrollo del evento.

Te invitamos a planificar tus desplazamientos con anticipación y salir solo si es necesario.

Respetar los cierres es apoyar el deporte, la convivencia y el orgullo tulueño. 🏃‍♀️💙 Sal a apoyar desde tu casa a los más de 3 mil corredores que nos visitarán, seamos los mejores anfitriones del país 🇨🇴",0,"11/05/2025 14:55",https://www.instagram.com/p/DQsTpyuESGg/,"Secuencia de Instagram",,Total,29796,,218,54,,0,0
18065673695378377,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","💜🏃‍♀️ ¡Kilómetros por la Equidad! 🏃‍♂️✨

Desde el Corazón del Valle del Cauca, en Tuluá, estaremos presentes el próximo 23 de noviembre en Yumbo para correr kilómetros por la equidad y decir juntos 💪 no a la violencia contra la mujer y 🚫 no más misoginia.

Invitación especial de la Gestora Social Luz Elena Londoño y la Secretaría de Bienestar Social. 💪🏼💙

📅 Inscríbete el próximo 8 de noviembre en el @cc.laherradura, desde las 9:00 a.m. hasta las 5:00 p.m. 👟👕

💜 ¡Los esperamos para correr por las vallecaucanas y alzar la voz por la igualdad! 🙌♀",34,"11/05/2025 12:21",https://www.instagram.com/reel/DQsCDF5D1X1/,"Reel de Instagram",,Total,4717,2831,93,25,1,0,3
18053921048320221,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","💜 En el mes de la eliminación de la violencia contra la mujer, recordemos:

🚫 La violencia tiene muchas formas, y reconocerla es el primer paso.
Si necesitas ayuda, llama a la línea 155. 

💪 NO es NO. #25N",42,"11/05/2025 07:09",https://www.instagram.com/reel/DQreHJWANZC/,"Reel de Instagram",,Total,1794,988,20,1,0,0,0
18083449487076653,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","💰✨ ¡Llegó noviembre y con él, una gran oportunidad para los tulueños!

Aprovecha el 80% de descuento en intereses y sanciones de tus impuestos Predial, Alumbrado Público, Industria y Comercio, Circulación y Tránsito.
Con tu pago, Tuluá se transforma y seguimos construyendo la Tuluá que todos soñamos. 💪🏼🏙️ #ParaSerFelices",0,"11/04/2025 14:52",https://www.instagram.com/p/DQpuj3Ej_UL/,"Imagen de Instagram",,Total,8776,2243,17,6,0,1,0
18148201615425075,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🏍️🔥 ¡Expo Moto Bicentenario 2025 llega a Tuluá!

Del 5 al 7 de noviembre llega un evento imperdible para los amantes de las dos ruedas.  Disfruta la exhibición de las marcas más importantes de motocicletas, accede a créditos aprobados en minutos y aprovecha el 20% de descuento en compras dentro del Centro Comercial Bicentenario Plaza. 🛍️💥

📍 C.C. Bicentenario Plaza, Tuluá, Valle del Cauca 💙 ¡Renuévate sobre dos ruedas y vive la aventura con nosotros! #ParaSerFelices",35,"11/04/2025 07:26",https://www.instagram.com/reel/DQo7b4WgEra/,"Reel de Instagram",,Total,2629,1723,50,36,0,0,1
17930548073997700,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Hoy con el alcalde @gustavovelezr, desde las diferentes obras que transforman a Tuluá, te presentamos las noticias más importantes de la semana en 45 Segundos #ParaSerFelices 😎",69,"11/01/2025 16:00",https://www.instagram.com/reel/DQiBFolD_3W/,"Reel de Instagram",,Total,3476,2014,102,2,0,6,2
18060731543188534,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🎭✨ ¡Ya fue mucho Halloween!
Es hora de dejar el disfraz y ponerse los tenis 👟💪

🏃‍♀️ Octubre OFF.
🔥 Noviembre ON con la Media Maratón de Tuluá 2025 🏅
@mediamaratontulua 

Prepárate para hacer vibrar a Tuluá #ParaSerFelices 😎",29,"11/01/2025 07:25",https://www.instagram.com/reel/DQhGCvzgL9L/,"Reel de Instagram",,Total,8946,5310,112,9,0,5,1
17864464089498591,17841400356362656,infitulua,"INFITULUÁ E.I.C.E","🎬👻 ¡Bienvenidos a esta historia de terror… con final feliz!

Antes, Tuluá daba miedo… 😱
Calles vacías, obras olvidadas y rincones en silencio.
Pero llegó un nuevo equipo, una nueva historia, una nueva esperanza. 💪✨

Hoy, con el liderazgo del Ingeniero @gustavovelezr y el trabajo de Infituluá, pasamos del abandono al progreso. 🌆

Porque estamos transformando el miedo en futuro.
#ParaSerFelices 💙",43,"10/31/2025 12:12",https://www.instagram.com/reel/DQfCCdLCZss/,"Reel de Instagram",,Total,6382,3423,100,9,0,2,2
18084108487981553,17841465213107155,tuluaculturacol_,"DEPARTAMENTO DE ARTE Y CULTURA","🎃✨ ¡Así vivimos una tarde mágica en Nariño! 👻💜

La Celebración de Halloween fue todo un éxito: sonrisas, disfraces, dulces y mucha alegría llenaron el Callejón Primavera. 🧁🧙‍♀️

Gracias a todas las familias que se unieron a esta divertida jornada y a los patrocinadores por hacer posible este maravilloso encuentro lleno de color y diversión. 🙌🧡

#Tuluá #Halloween2025 #ParaSerFelices #DiversiónEnFamilia #CelebraciónDeHalloween",0,"10/30/2025 22:38",https://www.instagram.com/p/DQdlAN8DtTg/,"Secuencia de Instagram",,Total,15638,,170,5,,1,0
18046263185663989,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","✨📚➗ ¡Regresaron las Olimpiadas Matemáticas!

Los estudiantes tulueños vivieron una jornada llena de talento, ingenio y trabajo en equipo con las Olimpiadas Matemáticas 2025, un espacio donde colegios públicos y privados se unieron para poner a prueba sus habilidades y demostrar que aprender también puede ser divertido. 🎯👩‍🏫👨‍🎓

🏫 Este encuentro académico se realizó en el Colegio Salesiano San Juan Bosco (@sjb_tulua), con el apoyo de la Administración Municipal, en el marco de la Expociencia 2025.
Entre números, lógica y diversión… 🌟 nacen los nuevos genios tulueños. #ParaSerFelices 💙🧮",51,"10/30/2025 15:02",https://www.instagram.com/reel/DQcwv47j23g/,"Reel de Instagram",,Total,7614,4744,121,25,2,3,3
18188529511333827,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🎃✨ En este Halloween vive una noche segura y divertida con tus niños 👻💫

Desliza 👉 y conoce las recomendaciones para disfrutar con cuidado, responsabilidad y mucha alegría.
🍬🎭 ¡Celebremos juntos un Halloween para compartir, cuidar y #ParaSerFelices! 💛🧡🖤",0,"10/30/2025 09:23",https://www.instagram.com/p/DQcJ_ggAJ-n/,"Secuencia de Instagram",,Total,8217,2082,72,6,0,0,3
18086087690310925,17841475722031117,bicentenariocentrocomercial,"BICENTENARIO PLAZA","🏍️🔥 ¡Prepárate para rugir motores! 🔥🏍️
Llega EXPO MOTO BICENTENARIO 2025 🏁
📍 Centro Comercial de los Tulueños – Bicentenario Plaza, Tuluá
📆 Este mes de noviembre

🛵 Si amas las motos, la adrenalina y la velocidad…
¡Este evento es para ti! 🧤💨
Exhibiciones, marcas, accesorios, sorteos y mucha pasión sobre dos ruedas 🏆

✨ No te lo puedes perder.
Etiqueta a tu parcero motero 🏍️👇",30,"10/30/2025 07:40",https://www.instagram.com/reel/DQb-JNwDT5R/,"Reel de Instagram",,Total,4566,,45,6,,0,0
17866364040473939,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","💙✨ ¡Ahora Luis Carlos tiene un hogar!

Gracias al alcalde @gustavovelezr y a la Administración Municipal, hoy Luis Carlos hace parte del Hogar Casa de los Abuelos, donde recibe alimentación, vivienda y, sobre todo, cariño y acompañamiento. 🏡🤝

Así como él, muy pronto más abuelitos en condiciones de vulnerabilidad también podrán tener un hogar digno, donde encuentren cuidado y esperanza. 💫

Porque cuando hay voluntad y corazón, transformamos vidas #ParaSerFelices. 💙",81,"10/29/2025 17:51",https://www.instagram.com/reel/DQafYLMDyxy/,"Reel de Instagram",,Total,3358,2167,87,8,0,6,4
18048278231657432,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","💙✨ ¡iniciamos la construcción de la Política Pública de Mujeres! 🙌

En dos mesas de participación, lideresas y representantes del sector educativo compartieron ideas, experiencias y necesidades que serán la base de una política hecha por y para las mujeres. 💬👩‍🏫👩‍💼

Este es solo el primer paso de un proceso que seguirá avanzando para garantizar que todas las mujeres de Tuluá tengan voz, voto y presencia en las decisiones que transforman nuestro municipio. #ParaSerFelices💪💙",58,"10/29/2025 15:04",https://www.instagram.com/reel/DQaMSQ-D36d/,"Reel de Instagram",,Total,2686,1787,44,2,1,0,0
18287148184273214,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","🕊️ ¿Sabes qué es la Caracterización de víctimas del conflicto armado?💪🏼

📣 Desliza y conoce 💬 cómo funciona este proceso que nos permitirá fortalecer la atención y los programas institucionales para ti y tu familia.

🤝📅 Muy pronto tendremos nuestra jornada y compartiremos las fechas, lugares y requisitos para participar. 💙 ¡Actualiza tus datos y haz parte de esta jornada! #ParaSerFelices",0,"10/29/2025 10:13",https://www.instagram.com/p/DQZq-UHD8eG/,"Secuencia de Instagram",,Total,6216,1823,31,5,2,0,0
