"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió",Respuestas,Navegación,"Toques en stickers","Visitas al perfil",Seguimientos,"Clics en el enlace"
17884780800360619,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/31/2025 10:56",,"Historia de Instagram",,Total,850,770,5,2,0,798,,1,,
18081647581942690,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/31/2025 10:56",,"Historia de Instagram",,Total,880,788,5,1,0,843,,,,
18074728181094796,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Atención Programas Nacionales ✅ Colombia Mayor 
Renta Ciudadana - Renta Joven",11,"08/31/2025 08:06",,"Historia de Instagram",,Total,756,665,4,0,0,639,,1,,
18321434851239142,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/31/2025 07:50",,"Historia de Instagram",,Total,719,638,6,1,0,678,,,,
18367804909146214,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"08/31/2025 07:41",,"Historia de Instagram",,Total,739,646,6,0,0,738,,,,
17865021060451630,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Ven y visita nuestros  PUNTOS INNOVA✌🏽 ¿Quieres aprender a volar dron?😎 @puntosinnova",14,"08/31/2025 07:33",,"Historia de Instagram",,Total,842,724,5,0,0,702,4,,,
18063386264585463,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/31/2025 07:27",,"Historia de Instagram",,Total,866,724,5,1,0,656,,,,
18137076598385911,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Una mañana de mucha diversión y recreación para las familias ✨💙 @tuluaculturacol_",9,"08/31/2025 07:27",,"Historia de Instagram",,Total,881,736,8,0,0,678,,,,
17947028556012504,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"08/31/2025 07:01",,"Historia de Instagram",,Total,800,682,7,0,0,781,5,1,,
18126683842465537,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,46,"08/31/2025 06:51",,"Historia de Instagram",,Total,929,773,8,0,4,783,7,2,,
18109230268555697,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Estamos embelleciendo los espacios en 📍La Marina  @EMTULUA",11,"08/31/2025 06:46",,"Historia de Instagram",,Total,849,749,5,0,0,689,2,,,
17982045932735108,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Atención Primaria en Salud y Plan de Intervenciones Colectivas ✅🙌🏼 Al servicio de la comunidad ✨😎",4,"08/31/2025 06:39",,"Historia de Instagram",,Total,1031,840,4,1,0,657,,,,
18077657650824613,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Y mucho más! ✅Atención Primaria en Salud
✅SISBÉN
✅Arte y Cultura
✅Puntos INNOVA 
✅Música",21,"08/31/2025 06:28",,"Historia de Instagram",,Total,1207,936,5,0,1,773,,1,1,
17931522909086369,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Mercado Campesino🍅🍊🍋 Ven y visita nuestro 📍 Polideportivo Central La Marina",5,"08/31/2025 06:18",,"Historia de Instagram",,Total,1330,1026,6,1,1,706,,,,
18072099227122236,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Ya estamos activos!  Ven ahora🙌🏼",7,"08/31/2025 06:11",,"Historia de Instagram",,Total,1267,975,8,0,1,708,,,,
18036745196466716,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"08/30/2025 16:11",,"Historia de Instagram",,Total,689,577,3,0,0,620,,2,,
18021162536741894,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/30/2025 14:07",,"Historia de Instagram",,Total,585,529,6,0,0,578,,,,
18046396844642898,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Seguimos en nuestros talleres de creación de cometas! 💫 🪁 Aún estás a tiempo de llegar✌🏽😎 @labakana103.1 ¡Todavía puedes inscribirte! ✌🏽🤩",24,"08/30/2025 14:05",,"Historia de Instagram",,Total,614,538,4,0,0,596,,,,
18078513959298180,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"08/30/2025 13:22",,"Historia de Instagram",,Total,606,538,5,0,0,596,,,,
17929831833007935,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","GRAN FESTIVAL DE COMETAS 🪁💫 Este 6 de septiembre ✌🏽✌🏽 Creando las cometas que vamos a volar en el",21,"08/30/2025 13:18",,"Historia de Instagram",,Total,1890,1328,10,0,0,610,2,,,
18517496788039315,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"08/30/2025 09:49",,"Historia de Instagram",,Total,966,724,3,0,0,596,,,,
17956537508995610,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,5,"08/30/2025 08:34",,"Historia de Instagram",,Total,578,483,3,0,0,526,8,,,
18414419041105757,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡TE ESPERAMOS! 😎✌🏽",15,"08/30/2025 08:28",,"Historia de Instagram",,Total,587,509,3,0,0,572,9,,,
18067019687227669,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","NOS VEMOS MAÑANA ✌🏽😎",11,"08/30/2025 06:00",,"Historia de Instagram",,Total,536,462,3,0,0,522,,,,
17980880459861790,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Encuentro comunitario por la Convivencia ✌🏽✅💪🏼",15,"08/30/2025 05:53",,"Historia de Instagram",,Total,575,497,4,0,0,559,,1,,
18110240170542263,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"08/29/2025 19:29",,"Historia de Instagram",,Total,586,473,3,0,1,551,5,1,,
18093266032672597,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"08/29/2025 16:58",,"Historia de Instagram",,Total,821,639,2,0,0,496,,1,,
17850726075539222,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/29/2025 16:11",,"Historia de Instagram",,Total,507,430,1,0,0,498,,,,
18338893288167472,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Nuestras candidatas desfilando trajes realizados con materiales Totalmente reciclados y ecológicos ♻️",25,"08/29/2025 16:11",,"Historia de Instagram",,Total,495,441,4,0,0,465,,,,
18088965385793543,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Nuestras candidatas ✨👑",27,"08/29/2025 15:07",,"Historia de Instagram",,Total,500,452,10,0,0,447,,,,
18180511915327258,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Mucha alegría en el Reinado del  ADULTO MAYOR 💫✨",11,"08/29/2025 15:05",,"Historia de Instagram",,Total,500,454,4,0,0,482,,,,
18016311041777508,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/29/2025 14:58",,"Historia de Instagram",,Total,504,449,5,0,0,473,2,,,
18122583466485264,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/29/2025 14:57",,"Historia de Instagram",,Total,528,457,4,0,0,443,,,,
18217867429307208,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/29/2025 14:57",,"Historia de Instagram",,Total,549,469,2,0,0,519,1,,,
18137939821438181,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/29/2025 14:57",,"Historia de Instagram",,Total,582,473,2,2,0,562,2,,,
18099210979720587,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Con @apccolombia, @usbcali, @gobiernousbcali @ugalileo_edu @segeplan y @sedecvalle 🤝🏼🧳",6,"08/29/2025 13:31",,"Historia de Instagram",,Total,1366,925,4,0,0,501,2,,,
18011163497789941,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Cooperación Internacional ✈️🤝🏼 Construcción de Capacidades para Fomentar la Proyecto: Encuentro con aliados de Guatemala 🇬🇹 y Colombia 🇨🇴 junto a @apccolombia, @usbcali, @gobiernousbcali, @ugalileo_edu, @segeplan y @sedecvalle 🤝💼",7,"08/29/2025 13:25",,"Historia de Instagram",,Total,697,593,4,0,0,495,,3,,
18071379107469672,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡ÚLTIMO DÍA PARA INSCRIBIRTE! Nos vemos mañana 😎",15,"08/29/2025 11:13",,"Historia de Instagram",,Total,571,466,4,0,0,556,,1,,
17862764514398295,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","HOY ÚLTIMO DÍA ⬇️⬇️⬇️",0,"08/29/2025 11:10",,"Historia de Instagram",,Total,581,480,3,0,0,565,,,,
18041903714655699,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/29/2025 11:02",,"Historia de Instagram",,Total,592,498,2,1,0,562,,,,
17858558598480510,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"08/29/2025 11:02",,"Historia de Instagram",,Total,603,509,5,0,0,549,,,,
17936465804949052,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"08/29/2025 11:02",,"Historia de Instagram",,Total,622,517,3,0,0,576,,,,
18095889664567226,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Los habitantes de Siete Vueltas  ESTRENAN CASAS🏠",15,"08/29/2025 10:57",,"Historia de Instagram",,Total,659,539,6,0,0,611,,,,
17904152388239331,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Estamos pavimentando 📍El Intercambiador de la Carrera 40 Obras  #ParaSerFelices 💙",11,"08/29/2025 09:16",,"Historia de Instagram",,Total,676,540,7,0,0,630,,,,
18039458885416575,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Hoy hoy hoy ⬇️⬇️⬇️",15,"08/29/2025 05:01",,"Historia de Instagram",,Total,642,521,6,0,1,621,,,,
17917826829153459,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"08/29/2025 04:56",,"Historia de Instagram",,Total,637,548,4,0,0,610,,,,
17974816607919225,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/28/2025 18:07",,"Historia de Instagram",,Total,624,537,9,0,1,597,4,3,,
18041333051670475,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/28/2025 18:07",,"Historia de Instagram",,Total,625,551,5,0,1,615,4,,,
17891670771315422,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/28/2025 18:06",,"Historia de Instagram",,Total,629,556,4,0,0,592,8,1,,
18528620125020129,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Conoce el nuevo CAMBIO VIAL‼️",15,"08/28/2025 17:05",,"Historia de Instagram",,Total,877,643,4,2,0,709,,4,,
18160338343375639,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"08/28/2025 10:01",,"Historia de Instagram",,Total,745,612,4,0,0,709,9,1,,
18174273064350967,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"08/28/2025 10:00",,"Historia de Instagram",,Total,744,636,3,0,0,714,,,,
18059915312093671,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"08/28/2025 08:38",,"Historia de Instagram",,Total,764,636,5,1,0,690,,2,,
17849094678542006,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Caravanas por la Vida✅✌🏽💪🏼",23,"08/27/2025 21:22",,"Historia de Instagram",,Total,849,706,6,0,0,679,,1,,
18073750739015115,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Conoce la historia de  ALEJANDRO ✨✌🏽",15,"08/27/2025 18:00",,"Historia de Instagram",,Total,1901,1374,7,0,0,610,,1,,
18110026432553753,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","ESTE DOMINGO ⬇️",11,"08/27/2025 14:37",,"Historia de Instagram",,Total,575,498,3,0,0,566,,,,
18066028030984730,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,59,"08/27/2025 14:12",,"Historia de Instagram",,Total,620,503,6,0,0,597,25,,,
18045271004328455,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"08/27/2025 13:54",,"Historia de Instagram",,Total,676,542,5,0,0,626,,2,,
17906476830090281,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Joven Fest 2025 😎",15,"08/15/2025 09:09",,"Historia de Instagram",,Total,787,628,3,0,1,761,,3,,
18035525201468039,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/15/2025 09:10",,"Historia de Instagram",,Total,779,616,11,3,0,708,,,,
18077728273758242,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/15/2025 09:10",,"Historia de Instagram",,Total,747,609,7,4,1,688,2,,,
17869970760421638,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/15/2025 09:10",,"Historia de Instagram",,Total,707,604,6,0,0,698,,,,
17919850746112470,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/15/2025 09:10",,"Historia de Instagram",,Total,691,599,3,0,0,676,2,,,
17896480215270951,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,60,"08/15/2025 11:34",,"Historia de Instagram",,Total,703,613,4,0,0,688,2,,,
17891369025182352,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/15/2025 11:34",,"Historia de Instagram",,Total,725,600,7,0,0,712,,,,
18021489632737409,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,23,"08/15/2025 11:35",,"Historia de Instagram",,Total,715,591,5,6,0,674,4,,,
17959270523975818,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/15/2025 11:35",,"Historia de Instagram",,Total,678,588,2,0,0,655,4,,,
18084565150848510,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"08/15/2025 11:35",,"Historia de Instagram",,Total,683,580,3,0,0,675,4,,,
18036744152458077,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,16,"08/15/2025 11:37",,"Historia de Instagram",,Total,673,569,4,0,0,648,21,,,
18055393664133975,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Estuvimos en 📍Barragán😎✌🏽 ¡NOS DESCENTRALIZAMOS!",15,"08/15/2025 12:07",,"Historia de Instagram",,Total,1702,1243,4,0,0,643,,,,
18016810388578709,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/15/2025 12:47",,"Historia de Instagram",,Total,639,560,3,0,0,626,,1,,
17988202310839894,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,23,"08/15/2025 13:55",,"Historia de Instagram",,Total,653,567,4,0,0,626,,1,,
18112636477517692,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Capturado en  Piques ilegales ❌🚨‼️",15,"08/15/2025 16:19",,"Historia de Instagram",,Total,724,592,2,0,1,626,,5,,
18085614145657477,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Hoy @tito07flow  en nuestro JOVEN FEST 2025💙",15,"08/15/2025 18:00",,"Historia de Instagram",,Total,1129,975,3,0,0,678,2,3,1,
18055496234611623,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@mundo89tulua  @alertatulua  @gustavovelezr  Disponible también en:",11,"08/16/2025 05:33",,"Historia de Instagram",,Total,1431,1038,3,0,0,735,,,,
18079956925931625,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡NUEVO EPISODIO!😎",5,"08/16/2025 10:13",,"Historia de Instagram",,Total,1855,1337,5,0,0,691,,4,,
18072590267030049,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/16/2025 13:16",,"Historia de Instagram",,Total,782,721,5,0,0,724,,,,
17980687460899322,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/16/2025 13:16",,"Historia de Instagram",,Total,738,684,0,0,0,717,,,,
17890496523311670,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/16/2025 13:16",,"Historia de Instagram",,Total,724,661,2,0,0,686,,,,
18185379451325228,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/16/2025 13:32",,"Historia de Instagram",,Total,772,690,10,0,0,717,2,,,
18089661790707092,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,23,"08/16/2025 13:45",,"Historia de Instagram",,Total,1620,1256,8,0,1,786,,1,,
18051984341617754,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¿Qué esperas para venir con tus amigos al Coliseo de Ferias? 😏🏍️",19,"08/16/2025 13:56",,"Historia de Instagram",,Total,880,764,11,1,0,833,,,,
18497041009068230,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/16/2025 14:42",,"Historia de Instagram",,Total,1174,1044,12,1,0,1059,,,,
18086940943830815,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/16/2025 16:00",,"Historia de Instagram",,Total,1445,1280,10,0,0,1362,,1,,
18520022950002200,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/16/2025 16:00",,"Historia de Instagram",,Total,1341,1169,7,0,0,1259,5,5,,
18038269868426543,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/17/2025 15:38",,"Historia de Instagram",,Total,1987,1782,8,0,0,1786,,7,,
18164642773362422,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/17/2025 15:38",,"Historia de Instagram",,Total,1739,1599,7,0,0,1669,2,,,
18101227039605457,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/17/2025 15:38",,"Historia de Instagram",,Total,1738,1558,7,0,0,1665,2,3,,
17911000383191130,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/17/2025 15:39",,"Historia de Instagram",,Total,1735,1478,7,1,0,1546,12,4,,
17963665247958505,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Barragán recibió la Ruta de la Felicidad 💙",15,"08/19/2025 07:37",,"Historia de Instagram",,Total,1476,1225,6,0,0,1287,,,,
17852065539530018,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¿Qué esperas para participar?😎✌🏽 Plazo hasta el 29 de agosto🗓️",11,"08/19/2025 09:20",,"Historia de Instagram",,Total,1162,948,4,0,0,1098,,5,,
18084326269894676,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"08/20/2025 07:35",,"Historia de Instagram",,Total,1292,1029,6,0,0,1177,,1,,
18066656470951079,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","📍 Barrio Victoria  Intervención de árbol 🌳 🚧  Que representaba peligro para la comunidad ‼️🚨",13,"08/20/2025 08:48",,"Historia de Instagram",,Total,1174,962,10,1,1,1057,,2,,
17850387996536482,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Árbol especie: Por solicitud de la comunidad, y buscando el bienestar de los habitantes del sector💪🏼✅ FICUS ELÁSTICA o 
Árbol de Caucho 🌳",11,"08/20/2025 08:50",,"Historia de Instagram",,Total,1085,917,6,0,0,1029,,,,
18061780121057238,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"08/20/2025 11:10",,"Historia de Instagram",,Total,788,700,4,0,1,762,,2,,
18313468915240927,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/20/2025 11:10",,"Historia de Instagram",,Total,770,683,10,0,1,743,,,,
18472950967077439,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,33,"08/20/2025 11:11",,"Historia de Instagram",,Total,735,650,8,0,1,719,,,,
18056940737375446,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/20/2025 11:11",,"Historia de Instagram",,Total,727,631,4,0,0,721,,1,,
