"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Clics en el enlace","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio","CPM del anuncio (USD)","Comentarios negativos de los usuarios: Ocultar"
1200109988822998,100064720237286,"Alcaldía de Tuluá","#BienestarSocial | 150 Adultos mayores llenaron de talento y color la feria de emprendimiento en Centro Día.

Con una muestra llena de talento, color y creatividad, 150 adultos mayores participaron en una jornada de emprendimientos liderada por el programa Centro Día Para Ser Felices, promovido por la Alcaldía de Tuluá a través de la Secretaría de Bienestar Social. En esta actividad, los participantes tuvieron la oportunidad de exponer sus manualidades, demostrando que la edad no es un límite para crear, emprender y aportar al desarrollo del municipio.

Lee la noticia completa:⬇⬇⬇
",,0,"07/31/2025 12:55",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0xAVw9uzkhEjAwU635qHuhAEP8zuh6HZPeSp8e5CPoujDp4PogjXpKwhd327dVSWEl,0,0,Enlaces,,,,,Total,1749,1058,28,24,0,4,13,,4,9,,,,,,
1200231935477470,100064720237286,"Alcaldía de Tuluá","🎓✨ ¡Tuluá graduó 27 artistas! 🎭🎶🎨💃

27 tulueños se graduaron hoy como la primera promoción de la Escuela Municipal de Arte, un sueño hecho realidad gracias al liderazgo del alcalde Gustavo Vélez Román 💙🙌 👩‍🎓👨‍🎓 Nuestros estudiantes recibieron su certificado técnico laboral por competencias, después de 15 meses de formación en 🎼 Música, 🎭 Teatro,🎨 Artes Plásticas y💃 Danza. #ParaSerFelices 💙✌🏽",,0,"07/31/2025 16:56",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid05g2jFNn8TqbXpajW6CMR4axLDWJzgQmT6P5xFGFounuFUyx4Je1sQm1Zu6PiB9akl,0,0,Fotos,,,,,Total,15358,7160,283,220,33,30,1410,930,480,,,,,,,
1200727298761267,100064720237286,"Alcaldía de Tuluá","🚧 ¡Ahora Progresar va hasta la 40! 🚗✨

Con obras como el paso de la calle 34, o el box culvert de la calle 23 los tulueños ahora pueden llegar más rápido y de manera más ágil a sus sentidos con vías totalmente renovadas 🛣️.

Con esto, seguimos mejorando la movilidad en nuestro municipio 💪🏽🏙️. #ParaSerFelices","🚧 ¡Ahora Progresar va hasta la 40! 🚗✨

Con obras como el paso de la calle 34, o el box culvert de la calle 23 los tulueños ahora pueden llegar más rápido y de manera más ágil a sus sentidos con vías totalmente renovadas 🛣️.

Con esto, seguimos mejorando la movilidad en nuestro municipio 💪🏽🏙️. #ParaSerFelices",69,"08/01/2025 07:13",mixed,https://www.facebook.com/reel/717258144416741/,1,0,Reels,,,,,Total,25799,11261,1238,914,181,143,532,,532,,317259.272,14.537,0,0,,
1200842125416451,100064720237286,"Alcaldía de Tuluá","#Obras | Conectamos los barrios Sajonia y Pueblo Nuevo

Los habitantes de los barrios Sajonia y Pueblo Nuevos ya cuentan con un nuevo paso vehicular gracias a la apertura de la calle 29A, entre las carreras 19 y 20, una obra que mejorará la movilidad en este importante sector de la galería.

Lee la noticia completa: ⬇⬇⬇
",,0,"08/01/2025 10:01",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0HNzLi8KtJCSYZmKrDrJaS1qMYCtzzNA6dqvPZ2ok35TK1kSMSMLjiTGBAp1K5VCrl,0,0,Enlaces,,,,,Total,2863,2025,40,31,1,8,44,,10,34,,,,,,
1200847718749225,100064720237286,"Alcaldía de Tuluá","#Deportes | Tuluá se mantiene Tercero en Juegos Departamentales

Con un total de 98 medallas: 47 de oro, 25 de plata y 26 de bronce, Tuluá se mantiene en el tercer puesto del medallero general de los Juegos Departamentales 2025..

Lee la noticia completa:⬇⬇⬇
",,0,"08/01/2025 10:10",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02fHRtqmu4RtJQTL8GCHqZSV7jv5Frcui5SWUB48cD1rp1uMsCNxAjzEgbTQUK5nFYl,0,0,Enlaces,,,,,Total,1744,1145,34,28,0,6,7,,1,6,,,,,,
1200934832073847,100064720237286,"Alcaldía de Tuluá","🥇🏆 ¡Tuluá se mantiene Tercero en Juegos Departamentales! 💥🙌

Con 98 medallas y más de 350 deportistas entregando lo mejor en 33 disciplinas, nuestro municipio se consolida en el tercer lugar del medallero, dejando en alto el nombre de Tuluá. 💚🔥

🏋️‍♀️⚽🎾🏐 Disciplinas como pesas, fútbol femenino, tenis de mesa y voleibol han sido clave en este gran logro. ¡Seguimos demostrando que el talento tulueño no tiene límites! 💪 #ParaSerFelices",,0,"08/01/2025 12:30",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02UBRCSeE5qTqmZTmprodDjWvs3K1Yjxxv53nEQDhJGk9sBxvqAZEu2YRs15pxVGS8l,0,0,Fotos,,,,,Total,11096,6063,129,85,12,32,601,359,242,,,,,,,
1201023725398291,100064720237286,"Alcaldía de Tuluá","🎉 ¡Así reaccionaron los nuevos artistas! 🎨🎭🎶

Estos talentosos artistas ya hacen parte de la primera promoción de la Escuela Municipal de Arte, formados como Técnicos Laborales en Artes con énfasis en música, danza, teatro y artes plásticas. 💃🖌️🥁 ¡Y estas son sus reacciones! 👏🏽💙

Seguimos apostándole al arte como una verdadera forma de vida. #ParaSerFelices 🎓✨","🎉 ¡Así reaccionaron los nuevos artistas! 🎨🎭🎶

Estos talentosos artistas ya hacen parte de la primera promoción de la Escuela Municipal de Arte, formados como Técnicos Laborales en Artes con énfasis en música, danza, teatro y artes plásticas. 💃🖌️🥁 ¡Y estas son sus reacciones! 👏🏽💙

Seguimos apostándole al arte como una verdadera forma de vida. #ParaSerFelices 🎓✨",63,"08/01/2025 15:32",N/A,https://www.facebook.com/reel/1291181316004094/,1,0,Reels,,,,,Total,1602,1085,57,47,3,7,38,,38,,13109.609,9.199,0,0,,
1201657402001590,100064720237286,"Alcaldía de Tuluá","🎙️#ElPodcastdeVélez | Episodio 25. Obras y vías que conectan a Tuluá.

En este nuevo episodio, el periodista Orlando Rengifo conversa con nuestro alcalde Gustavo Vélez sobre las obras viales que están transformando a Tuluá.

🚧 Conectividad, seguridad y facilidad de acceso son algunas de las mejoras que traerán estas vías que enlazarán diferentes barrios y mejorarán la movilidad de todos los tulueños.","🎙️#ElPodcastdeVélez | Episodio 25. Obras y vías que conectan a Tuluá.

En este nuevo episodio, el periodista Orlando Rengifo conversa con nuestro alcalde Gustavo Vélez sobre las obras viales que están transformando a Tuluá.

🚧 Conectividad, seguridad y facilidad de acceso son algunas de las mejoras que traerán estas vías que enlazarán diferentes barrios y mejorarán la movilidad de todos los tulueños.",1006,"08/02/2025 10:00",N/A,https://www.facebook.com/AlcaldiaDeTulua/videos/625099110214104/,1,0,Videos,,,,,Total,2464,2068,172,105,11,56,74,,74,,85004.232,39.262,0,0,0,
1201737798660217,100064720237286,"Alcaldía de Tuluá","👥 Líderes comunales serán capacitados en Tuluá 💪

Más de 100 representantes de diferentes sectores del municipio participaron este sábado en el Gran Foro Comunal 2025, un espacio diseñado para fortalecer sus capacidades en liderazgo, economía solidaria y emprendimiento.

Un encuentro de formación clave para el fortalecimiento de las Juntas de Acción Comunal. Espacios ParaSerFelices 💙✌🏽",,0,"08/02/2025 12:14",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02HfhQouuEuhc5eNtchDdea2yPNmiyT8adnApAbTuACw2z74Kmm1ZfYX53Ds182U8ol,0,0,Fotos,,,,,Total,8037,4075,110,80,10,20,762,495,267,,,,,,,
1201842511983079,100064720237286,"Alcaldía de Tuluá","#Noticias | Desde el Foro Comunal 2025, te contamos las noticias más importantes de la semana. Nuevo episodio de 45 Segundos #ParaSerFelices 🤩✌🏽","#Noticias | Desde el Foro Comunal 2025, te contamos las noticias más importantes de la semana. Nuevo episodio de 45 Segundos #ParaSerFelices 🤩✌🏽",69,"08/02/2025 15:57",N/A,https://www.facebook.com/reel/4203378243319621/,1,0,Reels,,,,,Total,2518,1612,83,58,8,17,34,,34,,25789.175,11.477,0,0,,
1203383745162289,100064720237286,"Alcaldía de Tuluá","¡Regresan los Juegos Intercolegiados! 🏆🔥

¡La emoción del deporte escolar vuelve con toda! Más de 3.100 estudiantes participan en esta gran fiesta deportiva que reune a lo mejor del talento juvenil en 22 disciplinas. ⚽🏀🏐🥋🎾

💪 ¡Porque en Tuluá, el deporte también es formación! #ParaSerFelices 💙","¡Regresan los Juegos Intercolegiados! 🏆🔥

¡La emoción del deporte escolar vuelve con toda! Más de 3.100 estudiantes participan en esta gran fiesta deportiva que reune a lo mejor del talento juvenil en 22 disciplinas. ⚽🏀🏐🥋🎾

💪 ¡Porque en Tuluá, el deporte también es formación! #ParaSerFelices 💙",50,"08/04/2025 10:28",uploaded,https://www.facebook.com/reel/1497523658081775/,1,0,Reels,,,,,Total,3366,1670,197,163,1,33,39,,39,,22117.598,7.738,0,0,,
1203514375149226,100064720237286,"Alcaldía de Tuluá","🎤🎨 ¡Atención artistas jóvenes de Tuluá! 🎶💃

¿Tienes talento en la música, el arte, la danza o cualquier expresión artística? 🌟 ¡Esta es tu oportunidad!
Haz parte de la agenda cultural del JovenFest 2025 en la Semana de la Juventud. 🔥

📌 INSCRÍBETE YA y demuestra tu talento en uno de los eventos más esperados del año.
🗓️ Tienes plazo hasta el 8 de agosto. ¡No te quedes por fuera!

👉 https://forms.gle/WFfFPg4jrjkmiNvaA

#JovenFest2025 #ParaSerFelices 💙",,0,"08/04/2025 14:29",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0NwbYx3TEYSnvZqcxFqHdhbDB8tWsr2FMVQbYaW5Xyy5f5YALoeMbcNHSA2BSQYREl,0,0,Fotos,,,,,Total,2988,1742,37,27,3,7,47,18,24,5,,,,,,
1203514885149175,100064720237286,"Alcaldía de Tuluá","🚨 ¡Jóvenes emprendedores de Tuluá, esta es tu oportunidad! 🚨

¿Tienes un emprendimiento y quieres darlo a conocer? 💼✨
En el JovenFest 2025 podrás mostrar tu marca, conectar con nuevos públicos y hacer parte de la Semana de la Juventud. 🛍️🔥

💡 Si eres joven, tulueño y emprendedor, ¡INSCRÍBETE YA!
🗓️ Tienes plazo hasta el 8 de agosto. No dejes pasar esta oportunidad.

¡INSCRÍBETE!
👉 https://docs.google.com/forms/d/e/1FAIpQLSeVTPH8c0yVOmk103DCBhXGgBx28wTpsiaBtMX5ZbLXFdvWpA/viewform",,0,"08/04/2025 14:30",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02J72wcvzxHi9n8psUXtrzM93qgXxY1bsen8h1sDtdzVMV4Jz3EkBfzySmSx4W1edkl,0,0,Fotos,,,,,Total,1578,1008,23,20,0,3,11,4,1,6,,,,,,
1203565061810824,100064720237286,"Alcaldía de Tuluá","¡Llegamos a Altaflor y La Balastrera!🚐💙

Con atención integral en estos sectores, seguimos llevando servicios esenciales a nuestras comunidades rurales.
👩🏽‍⚕️ Atendiendo a +150 personas con Equipos Básicos de Salud, Programas Nacionales y Sisbén

🎨 Además, llevamos salud, cultura, vacunas antirrábicas y alegría a estos territorios.🌟 Espacios #ParaSerFelices porque en Tuluá... ¡la transformación se vive en cada rincón! ✌🏽💙",,0,"08/04/2025 16:20",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0mhwqd4ZNgxG222tuUi53BU3szTyaFPvTwwgMeL8bpkSu2npio5kpQdt4PhNwN7u5l,0,0,Fotos,,,,,Total,1862,1177,38,27,0,11,44,34,10,,,,,,,
1203571655143498,100064720237286,"Alcaldía de Tuluá","#ArteyCultura | Tuluá graduó 27 artistas

27 tulueños se graduaron como la primera promoción de la Escuela Municipal de Artes , recibiendo su certificado técnico laboral por competencias en las áreas de Música, Teatro, Artes Plásticas y Danza, tras culminar un proceso de formación de 15 meses. 

Lee la noticia: ⬇⬇⬇
",,0,"08/04/2025 16:34",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0T2ujnSVVtWik5FDCsfj4Uc2VnuuUJGNECGiVgjBj8Veq3Jr17YHHiX8dhV1SP6GZl,0,0,Enlaces,,,,,Total,1801,1166,28,24,2,2,23,,14,9,,,,,,
1203574318476565,100064720237286,"Alcaldía de Tuluá","#Comunal | 120 líderes comunales fueron capacitados en liderazgo y emprendimiento

Con ponencias sobre liderazgo, emprendimiento y economía solidaria mas de 120 lideres fueron capacitados por la Administración municipal y Asojuntas en el gran foro comunal 2025.

Lee la noticia completa:⬇⬇⬇",,0,"08/04/2025 16:39",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0UwKboLXeUBJLX3vj2b8vkdUdegxEzp6LCnpUafphBMmSSAM5TBxgqzU7qFjxX3PMl,0,0,Enlaces,,,,,Total,1564,987,29,26,0,3,15,,3,12,,,,,,
1203576541809676,100064720237286,"Alcaldía de Tuluá","#JornadaDescentralizada | Más de 150 personas beneficiadas en jornada descentralizada en la Balastera

Más de 150 personas del sector de La Balastrera y de las comunidades indígenas Sonsundrúa y Somboricua participaron en una jornada descentralizada liderada por la Alcaldía de Tuluá, donde accedieron a servicios de atención primaria en salud, programas nacionales y oferta institucional.

Lee la noticia completa:⬇⬇⬇",,0,"08/04/2025 16:44",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02YqPJjdvxmDZZQHtrWCnRVW79sy79VHCikF8J2pRjz5ypGjuk2UcZMn1bJ44g2kksl,0,0,Enlaces,,,,,Total,1747,1102,34,28,0,6,11,,3,8,,,,,,
1204053658428631,100064720237286,"Alcaldía de Tuluá","¡Día Internacional de los Pueblos Indígenas!✌🏽🤩","🧺🌽 ¡El Mercado Campesino llegó a la zona rural! 🐓🥕
Este 10 de agosto, desde las 7:00 a. m., acompáñanos en el Restaurante El Paisa, cruce del corregimiento La Iberia, a 200 metros de Puesta del Sol.

Además de productos frescos del campo, tendremos:
✅ Atención Primaria en Salud
✅ Acceso a Programas Nacionales: Renta Ciudadana, Colombia Mayor y Renta Joven.

 ¡Una jornada para compartir, aprender y apoyar lo nuestro! #ParaSerFelices 💙",36,"08/05/2025 06:42",N/A,https://www.facebook.com/AlcaldiaDeTulua/videos/24897402003180766/,0,0,Videos,,,,,Total,2797,2491,87,71,0,16,28,,28,,20738.299,8.203,0,0,0,
1204205028413494,100064720237286,"Alcaldía de Tuluá","Estudiantes universitarios reciben beneficio alimentario 🎓🍽️

34 estudiantes de la Unidad Central del Valle, UCEVA, ahora recibirán alimentación diaria.🍛 Con esta nueva iniciativa, que busca evitar la deserción en la educación superior, brindamos apoyo a jóvenes que no cuentan con los recursos económicos suficientes ni redes de apoyo familiares en la ciudad🤝 para que puedan continuar sus estudios sin preocuparse por su alimentación.  Acciones #ParaSerFelices 💙💪🏼","Estudiantes universitarios reciben beneficio alimentario 🎓🍽️

34 estudiantes de la Unidad Central del Valle, UCEVA, ahora recibirán alimentación diaria.🍛 Con esta nueva iniciativa, que busca evitar la deserción en la educación superior, brindamos apoyo a jóvenes que no cuentan con los recursos económicos suficientes ni redes de apoyo familiares en la ciudad🤝 para que puedan continuar sus estudios sin preocuparse por su alimentación.  Acciones #ParaSerFelices 💙💪🏼",86,"08/05/2025 10:28",N/A,https://www.facebook.com/reel/1815040092748084/,1,0,Reels,,,,,Total,4226,2207,226,174,22,30,117,,117,,40629.074,10.7,0,0,,
1204392778394719,100064720237286,"Alcaldía de Tuluá","#Noticias | Concejo Municipal da luz verde a la construcción del CDI “Mar de Ideas”

En el marco de la última sesión ordinaria del Honorable Concejo Municipal de Tuluá, los concejales dieron su respaldo al alcalde Gustavo Adolfo Vélez Román para poner en marcha la construcción del Centro de Desarrollo Infantil (CDI) “Mar de Ideas”, una obra que beneficiará directamente a más de 500 niños y niñas de los barrios San Antonio, La Inmaculada, Aguaclara, San Francisco y sectores aledaños.

Lee la noticia completa:⬇️⬇️⬇️
",,0,"08/05/2025 16:27",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0BUWLEZUew2SJo9UDG3cNDsiWKGsuoADQ1zRfeReKPxwP1c5KpXj2XueDAXSrfA6Wl,0,0,Enlaces,,,,,Total,4847,2605,113,83,23,7,268,,219,49,,,,,,
1204433841723946,100064720237286,"Alcaldía de Tuluá","🌺 ¡Estambul cambió de cara! 🌿

La entrada a la carrera 30 ahora luce más viva y colorida gracias a los 110 metros lineales de nuevas plantas que adornan este sector, con la siembra de 7 especies plantas ornamentales, pasto y vegetación 🌸🚧 ✨ Transformamos los espacios en Tuluá 🌼 #ParaSerFelices 💙","🌺 ¡Estambul cambió de cara! 🌿

La entrada a la carrera 30 ahora luce más viva y colorida gracias a los 110 metros lineales de nuevas plantas que adornan este sector, con la siembra de 7 especies plantas ornamentales, pasto y vegetación 🌸🚧 ✨ Transformamos los espacios en Tuluá 🌼 #ParaSerFelices 💙",59,"08/05/2025 17:47",N/A,https://www.facebook.com/reel/1801651887446826/,1,0,Reels,,,,,Total,6169,4227,277,228,17,32,229,,229,,81264.568,14.74,0,0,,
