"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió",Respuestas,Navegación,"Visitas al perfil","Toques en stickers",Seguimientos,"Clics en el enlace"
17895970392338871,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/17/2025 14:49",,"Historia de Instagram",,Total,754,608,9,0,1,640,,,,
18050650646329441,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/17/2025 08:27",,"Historia de Instagram",,Total,673,559,5,0,0,641,1,,,
18312399532217137,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Llegamos a la 📍I. E. Gimnasio del Pacífico",15,"10/17/2025 06:51",,"Historia de Instagram",,Total,658,556,5,0,0,630,,,,
17976455810781463,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,38,"10/17/2025 06:50",,"Historia de Instagram",,Total,726,615,6,0,0,657,,,,
18069794942204959,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/16/2025 16:07",,"Historia de Instagram",,Total,718,615,4,0,0,688,1,,,
17926517055016155,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/16/2025 16:07",,"Historia de Instagram",,Total,729,625,3,0,1,685,,,,
18331175683237226,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,54,"10/16/2025 14:15",,"Historia de Instagram",,Total,732,616,7,0,0,684,2,,,
17949938481041341,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,8,"10/16/2025 13:54",,"Historia de Instagram",,Total,752,618,6,0,0,705,,,,
18078814646025360,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Haz parte de estos espacios de participación ✌🏽✅ Si tienes entre 14 y 28 años Este domingo ➡️19 de octubre",17,"10/16/2025 13:47",,"Historia de Instagram",,Total,758,636,5,1,0,699,,,,
18171420373367706,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/11/2025 08:46",,"Historia de Instagram",,Total,837,714,10,0,0,814,1,,,
17997942092683958,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","📍Calle 34  Estamos señalizando 😎",11,"10/16/2025 07:32",,"Historia de Instagram",,Total,857,725,7,0,0,812,1,,,
18066095168070566,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,16,"10/16/2025 07:21",,"Historia de Instagram",,Total,907,781,5,0,0,807,,,,
17938891908081021,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/15/2025 16:29",,"Historia de Instagram",,Total,667,576,2,0,0,629,4,,,
17898848898311407,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,10,"10/15/2025 10:05",,"Historia de Instagram",,Total,865,744,2,0,1,639,,,,
17917743537192072,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/15/2025 09:37",,"Historia de Instagram",,Total,708,620,6,0,0,684,,,,
18010176395799428,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"10/15/2025 09:36",,"Historia de Instagram",,Total,741,660,2,0,0,709,,,,
17890681425225217,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Caravanas por la Vida 💪🏼 Martes de",33,"10/14/2025 20:54",,"Historia de Instagram",,Total,808,708,7,4,1,754,2,,,
18366335482153419,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡La magia llegará muy pronto!✨🤩",29,"10/14/2025 16:53",,"Historia de Instagram",,Total,748,640,6,1,0,701,,,,
18007357169684815,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,35,"10/14/2025 15:14",,"Historia de Instagram",,Total,720,640,4,0,0,689,,4,,
18118560622525521,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,55,"10/14/2025 13:57",,"Historia de Instagram",,Total,714,638,9,1,0,688,1,,,
18056525885198833,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Algo maravilloso se acerca!✨🧚🦄",21,"10/14/2025 13:54",,"Historia de Instagram",,Total,754,668,6,0,0,692,,,,
18022397867585002,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,12,"10/13/2025 21:09",,"Historia de Instagram",,Total,554,494,5,0,0,525,1,2,,
18096276721742835,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,32,"10/13/2025 21:09",,"Historia de Instagram",,Total,561,498,7,0,0,530,,2,,
18083994940778152,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/13/2025 21:09",,"Historia de Instagram",,Total,585,498,5,0,0,574,,8,,
17994193247699510,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"10/13/2025 21:09",,"Historia de Instagram",,Total,684,581,7,0,0,570,,11,,
17996365751836954,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","#ParaSerFelices 💙 @mangle_sonoro  María Antonia Ruiz  Festival",7,"10/13/2025 20:49",,"Historia de Instagram",,Total,715,568,4,0,0,538,,,,
17898013134302673,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡GRACIAS TULUÁ!✨🤩 @mangle_sonoro  Nos vemos el otro año😎",31,"10/13/2025 20:28",,"Historia de Instagram",,Total,719,571,8,0,0,554,,,,
