"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Clics en el enlace","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Comentarios negativos de los usuarios: Ocultar","Comentarios negativos de los usuarios: Ocultar todo","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","CPM del anuncio (USD)","Impresiones del anuncio"
1295207359313260,100064720237286,"Alcaldía de Tuluá","Alcaldía informa Cierres viales y pasos controlados por Media Maratón Tuluá 2025

Con motivo de la Media Maratón Tuluá 2025, este domingo, 16 de noviembre de 2025, se realizará el cierre vial temporal de 11 tramos desde las 5:00 a. m. hasta las 10:00 a. m. Durante la carrera se habilitarán pasos controlados en cada uno de los cierres, es decir, puntos donde se permitirá el paso intermitente de vehículos sin comprometer la seguridad de los corredores. 

Lee la noticia completa: ⬇⬇⬇
",,0,"11/18/2025 08:26",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0Cb6JzBMHkyLhKdDppS56Ryg67XvfJN2mgGGtu8Cyrwzm9DL7hMDuZTbXtNBRtuKCl,0,0,Enlaces,,,,,Total,465,327,4,3,0,1,4,2,,2,,,,,,,
1293759079458088,100064720237286,"Alcaldía de Tuluá","🏁 Así cerramos una jornada histórica en Tuluá 🏁

Hoy vivimos nuevamente la experiencia de la Media Maratón Tuluá… y los corredores lo confirman, sus propias palabras lo dicen todo. 💬💙

Gracias a cada atleta que nos eligió, a quienes nos visitaron por primera vez y a quienes siguen creyendo en lo que aquí estamos construyendo. 🏃‍♀️🔥🏃‍♂️

Aquí siguen pasando cosas buenas. 🌟🌄 #ParaSerFelices","🏁 Así cerramos una jornada histórica en Tuluá 🏁

Hoy vivimos nuevamente la experiencia de la Media Maratón Tuluá… y los corredores lo confirman, sus propias palabras lo dicen todo. 💬💙

Gracias a cada atleta que nos eligió, a quienes nos visitaron por primera vez y a quienes siguen creyendo en lo que aquí estamos construyendo. 🏃‍♀️🔥🏃‍♂️

Aquí siguen pasando cosas buenas. 🌟🌄 #ParaSerFelices",79,"11/16/2025 12:05",N/A,https://www.facebook.com/reel/1163913095831198/,1,0,Videos,,,,,Total,4283,3714,142,103,19,20,128,,,128,,,38806.951,9.937,0,0,0
1293629129471083,100064720237286,"Alcaldía de Tuluá","🏃‍♂️✨ Tuluá fue ritmo y resistencia este domingo ✨🏃‍♀️

Corredores de todo el país llegaron a Tuluá a demostrar de qué están hechos. Unos vinieron a visitar, otros a conocer nuestra tierra… y todos se llevaron lo mismo: que aquí somos alegría, sabor y mucha resiliencia. 💙💪🌟

En Tuluá estamos transformando el deporte y, de la mano de la Media Maratón Tuluá, seguimos haciendo que pasen cosas buenas. 🏅🔥🌄 #ParaSerFelices",,0,"11/16/2025 08:59",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02kBrYJtmpPHG3zDNgkEsgNuRwmLBbfuwBcPzEdkBQKnzJ4xLH13e48ehvGegLML1sl,0,0,Fotos,,,,,Total,51579,26862,548,462,39,47,6818,,4499,2319,,3,,,,,
1293569079477088,100064720237286,"Alcaldía de Tuluá","La Media Maratón de Tuluá nos dio alegría, esfuerzo y el poder de una ciudad que siempre se supera.👏🏽💪🏽

Cada paso fue un sueño , cada meta un triunfo para nuestra gente.🏅

¡Gracias, atletas y familias, por llenar nuestras calles de energía y corazón ❤️!

En Tuluá están pasando cosas buenas 💙🙌🏽","La Media Maratón de Tuluá nos dio alegría, esfuerzo y el poder de una ciudad que siempre se supera.👏🏽💪🏽

Cada paso fue un sueño , cada meta un triunfo para nuestra gente.🏅

¡Gracias, atletas y familias, por llenar nuestras calles de energía y corazón ❤️!

En Tuluá están pasando cosas buenas 💙🙌🏽",21,"11/16/2025 07:40",N/A,https://www.facebook.com/reel/1486474335743134/,0,0,Videos,,,,,Total,15201,13816,411,344,24,43,711,,,711,,,102836.01,8.138,0,0,0
1293551272812202,100064720237286,"Alcaldía de Tuluá","La Media Maratón de Tuluá nos dio alegría, esfuerzo y el poder de una ciudad que siempre se supera.👏🏽💪🏽

Cada paso fue un sueño , cada meta un triunfo para nuestra gente.🏅

¡Gracias, atletas y familias, por llenar nuestras calles de energía y corazón ❤️!

En Tuluá están pasando cosas buenas 💙🙌🏽","La Media Maratón de Tuluá nos dio alegría, esfuerzo y el poder de una ciudad que siempre se supera.👏🏽💪🏽

Cada paso fue un sueño , cada meta un triunfo para nuestra gente.🏅

¡Gracias, atletas y familias, por llenar nuestras calles de energía y corazón ❤️!

En Tuluá están pasando cosas buenas 💙🙌🏽",21,"11/16/2025 07:29",uploaded,https://www.facebook.com/reel/1161539709494580/,1,0,Videos,,,,,Total,15825,14010,438,377,35,26,724,,,724,,,115766.547,9.026,0,0,0
1293374039496592,100064720237286,"Alcaldía de Tuluá","¡Ya se siente la emoción en las calles! 🏃‍♂️🔥

Arrancamos la Media Maratón Tuluá 2025 con los 21K, y más de 3.300 corredores llegaron de todos los rincones de Colombia para vivir una de las carreras más rápidas del país.

Tuluá sigue demostrando que aquí están pasando cosas buenas, que somos una ciudad que corre, que se mueve, que transforma y que inspira. 💙✨ #ParaSerFelices",,0,"11/16/2025 03:27",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02D8sVuw5YUsJ3wTTNRVkWDVH1x4QDu8SAn4e1vMFtJjQbRtPDerh8rSNKZNpm6WC4l,0,0,Fotos,,,,,Total,56159,31049,493,422,45,26,7619,,4431,3188,,,,,,,
1292995699534426,100064720237286,"Alcaldía de Tuluá","Hoy desde el @concejomunicipaltulua, te presentamos las noticias más importantes de la semana en 45 Segundos #ParaSerFelices 😎","Hoy desde el @concejomunicipaltulua, te presentamos las noticias más importantes de la semana en 45 Segundos #ParaSerFelices 😎",79,"11/15/2025 15:10",N/A,https://www.facebook.com/reel/1286728643225078/,1,0,Videos,,,,,Total,1891,1634,50,37,5,8,10,1,,9,,,16816.763,9.571,0,0,0
1292816312885698,100064720237286,"Alcaldía de Tuluá","🎙️ #ElPodcastDeVélez | Episodio 38. Materializando sueños de ciudad.","🎙️ #ElPodcastDeVélez | Episodio 39. Materializando sueños de ciudad.

En esta entrega, el alcalde Gustavo Vélez habla sobre los avances en los proyectos de movilidad, incluyendo el futuro bus urbano eléctrico; la intervención de vías en Villa Campestre; los nuevos pavimentos en varios barrios; el apoyo de algunos Concejales para el progreso de la ciudad y los descuentos en impuestos que siguen impulsando el progreso de Tuluá. 💙

¡Dale play y conoce lo que viene para nuestra ciudad! 🔊✨",964,"11/15/2025 09:05",N/A,https://www.facebook.com/reel/2125984161543444/,1,0,Videos,,,,,Total,1987,1784,93,61,11,21,61,,,61,,,50790.145,28.841,0,0,0
1292203509613645,100064720237286,"Alcaldía de Tuluá","🛒💙 ¡Control a precios: Cuidamos el bolsillo de los tulueños!

Realizamos una jornada de monitoreo de precios, pesas y medidas en 📍La Galería para garantizar precios justos en los productos de la canasta familiar. 🥦🍅🍌

En articulación con la Policía Nacional y Departamento de Movilidad, revisamos establecimientos para evitar irregularidades, acaparamiento o especulación que afecten a las familias tulueñas.

📊 Seguimos protegiendo la economía de todos. #ParaSerFelices","🛒💙 ¡Control a precios: Cuidamos el bolsillo de los tulueños!

Realizamos una jornada de monitoreo de precios, pesas y medidas en 📍La Galería para garantizar precios justos en los productos de la canasta familiar. 🥦🍅🍌

En articulación con la Policía Nacional y Departamento de Movilidad, revisamos establecimientos para evitar irregularidades, acaparamiento o especulación que afecten a las familias tulueñas.

📊 Seguimos protegiendo la economía de todos. #ParaSerFelices",28,"11/14/2025 15:00",N/A,https://www.facebook.com/reel/1332606478064038/,1,0,Videos,,,,,Total,3569,2937,65,50,4,11,54,,,54,,,19617.154,6.265,0,0,0
1292023786298284,100064720237286,"Alcaldía de Tuluá",,,0,"11/14/2025 09:07",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0yvKr1QbSFkwPwRESefZZBReZEqnigscYp3LwArY1wAYVrr25xvSn35u5S5AFMa6Al,0,1,Texto,,,,,Total,,746,7,7,0,0,20,,,20,,,,,,,
1292023626298300,100064720237286,"Alcaldía de Tuluá","#BienestarSocial | Cuidadores de personas mayores de Tuluá fueron capacitados en atención integral.

100 cuidadores de adultos mayores participaron de una jornada de capacitación, enfocada en el fortalecimiento del cuidado, el autocuidado y el bienestar físico, emocional y nutricional, organizada por la Administración Municipal a través de la Secretaría de Bienestar Social.

Lee la noticia completa: ⬇⬇⬇
",,0,"11/14/2025 09:07",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0M2ToLLKPnJf4iEBw5zL7AJEmfHtmPNukstbHaMRFQpTYYy98AWSYFhUTeAJu9hcnl,0,0,Enlaces,,,,,Total,1952,1260,18,14,0,4,30,26,,4,,,,,,,
1291986352968694,100064720237286,"Alcaldía de Tuluá","🏃‍♂️💙 ¿No alcanzaste a conseguir tu kit? ¡Este es tu momento!
La Administración Municipal del alcalde Gustavo Vélez te regala un kit para correr en la Media. 😎🤩

Participa por un kit oficial de la Media Maratón Tuluá 2025 y corre los 10K con camiseta y medalla incluida. 🙌✨

Solo debes subir un reel contándonos ¿Por qué en Tuluá pasan cosas buenas?
📲 Etiqueta a @alcaldiadetulua y @mediamaratontulua

⏰ Tienes hasta este sábado, 15 de noviembre, a las 4:00 p. m.

🔥 ¡Corre, participa y vive la Media Maratón Tuluá!
#PorTuluáCorremosTodos #ParaSerFelices",,0,"11/14/2025 08:08",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02m3sd4x5hR6UYFZETyCSGJ8s2HKwELnSbwKNRpb73XQbvAs2SuRJ9qmSKBDkGWH6il,0,0,Fotos,,,,,Total,3484,2344,18,15,1,2,47,,26,21,,,,,,,
1291888939645102,100064720237286,"Alcaldía de Tuluá","Alcaldía de Tuluá actualizó su foto de portada.",,0,"11/14/2025 05:38",N/A,https://www.facebook.com/photo.php?fbid=1291888939645102&set=a.404265015074170&type=3,0,0,Fotos,,,,,Total,6,4,6,4,2,0,0,,,,,,,,,,
1291358663031463,100064720237286,"Alcaldía de Tuluá","🌿💧 ¡Nuestros campesinos recibieron incentivos económicos! 🙌

El alcalde @gustavovelezr entregó $2.500.000 a cada una de las 36 familias de Monteloro y Santa Lucía que protegen la cuenca del río Tuluá y nuestras montañas. 🌱💙

Este apoyo hace parte del programa Pagos por Servicios Ambientales, una iniciativa que impulsa la conservación, la reforestación y el cuidado de los nacimientos de agua. Tuluá es uno de los pocos municipios del Valle que implementa este modelo, y ya garantizamos recursos para 2026 y 2027.🌎✨","🌿💧 ¡Nuestros campesinos recibieron incentivos económicos! 🙌

El alcalde @gustavovelezr entregó $2.500.000 a cada una de las 36 familias de Monteloro y Santa Lucía que protegen la cuenca del río Tuluá y nuestras montañas. 🌱💙

Este apoyo hace parte del programa Pagos por Servicios Ambientales, una iniciativa que impulsa la conservación, la reforestación y el cuidado de los nacimientos de agua. Tuluá es uno de los pocos municipios del Valle que implementa este modelo, y ya garantizamos recursos para 2026 y 2027.🌎✨",25,"11/13/2025 14:55",N/A,https://www.facebook.com/reel/1537427967593129/,1,0,Videos,,,,,Total,7347,4806,241,151,9,81,158,,,158,,,44387.779,6.983,0,0,0
1291292546371408,100064720237286,"Alcaldía de Tuluá","💧✨¡Doña Alicia ahora tiene agua potable!

Durante años, recibieron agua contaminada en el sector de Bocas de Tuluá. Gracias a la gestión del alcalde Gustavo Vélez, que puso en marcha la nueva Planta de Tratamiento de Agua Potable, su casa y todo este sector, ya cuenta con un servicio óptimo, seguro y de calidad.

💙Un cambio que transforma la salud, la tranquilidad y la vida de toda una comunidad. #ParaSerFelices","💧✨¡Doña Alicia ahora tiene agua potable!

Durante años, recibieron agua contaminada en el sector de Bocas de Tuluá. Gracias a la gestión del alcalde Gustavo Vélez, que puso en marcha la nueva Planta de Tratamiento de Agua Potable, su casa y todo este sector, ya cuenta con un servicio óptimo, seguro y de calidad.

💙Un cambio que transforma la salud, la tranquilidad y la vida de toda una comunidad. #ParaSerFelices",55,"11/13/2025 12:25",N/A,https://www.facebook.com/reel/1616911739285835/,1,0,Videos,,,,,Total,1336,1098,39,23,2,14,12,,,12,,,6400.405,5.237,0,0,0
1291184039715592,100064720237286,"Alcaldía de Tuluá","#Tecnología | 3.600 personas atendidas en Puntos INNOVA en 2025

Buscando fortalecer el acceso a la tecnología, la educación y la innovación en Tuluá, los Puntos INNOVA, espacios diseñados para brindar oportunidades de aprendizaje y conectividad a la comunidad han atendido a más de 3.000 usuarios con sus servicios.

Lee la noticia completa: ⬇⬇⬇
",,0,"11/13/2025 09:09",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid028wfEyMeMATF9FsYEoRrMJGGJeQbtYJ1Gxfpstd6myZ89spoeNChVpvDuW89Xcs88l,0,0,Enlaces,,,,,Total,1354,855,10,8,0,2,15,13,,2,,,,,,,
1291183616382301,100064720237286,"Alcaldía de Tuluá","#Educación | Regresa la Expociencia y Olimpiadas Matemáticas a Tuluá.

En un impulso al fortalecimiento de la calidad educativa y la formación integral de los estudiantes tulueños, la Administración Municipal de Tuluá, a través de la Secretaría de Educación, realizó la Expociencia 2025 y las primeras Olimpiadas Matemáticas.

Lee la noticia completa: ⬇⬇⬇
",,0,"11/13/2025 09:08",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02MPyaH36qEhVM8s7mtDNenm2zeYTySpHM3UfSrTW2WB4iwBPo8JVai2TFfKDHhrw1l,0,0,Enlaces,,,,,Total,1639,979,47,32,3,12,11,9,,2,,,,,,,
1291182946382368,100064720237286,"Alcaldía de Tuluá","#Salud | Programas de salud fortalecen formación integral en Instituciones Educativas de Tuluá

En un trabajo articulado entre la Secretaría de Educación Municipal de Tuluá y la Secretaría de Salud del Valle del Cauca, se desarrolló una jornada pedagógica en la Institución Educativa Técnica Industrial Carlos Sarmiento Lora, como parte de los programas Gestores Escolares y Escuelas de Familia, iniciativas de la Gobernación del Valle del Cauca que impulsan la salud integral y la convivencia en los entornos educativos.

Lee la noticia completa: ⬇⬇⬇
",,0,"11/13/2025 09:07",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02LDHNVZNbHvnc6CtT3Fdyc1mXFwDw4h5Ud9ooXnLygd6yssdF7yt4aBW4Evt99crfl,0,0,Enlaces,,,,,Total,796,538,9,9,0,0,2,2,,,,,,,,,
1290572603110069,100064720237286,"Alcaldía de Tuluá","🏃‍♂️💙 ¡Este domingo regresa la Media Maratón Tuluá!

Llegamos más recargados que nunca. El año pasado fuimos 1.200… ¡hoy seremos 3.300 corredores de todo el país llenando nuestras calles de energía, pasión y orgullo tulueño! 🇨🇴✨

Gracias al apoyo del alcalde Gustavo Adolfo Vélez Román y al trabajo en equipo con nuestras marcas aliadas, este gran sueño de ciudad vuelve para demostrar que Tuluá sigue siendo epicentro del running nacional. 🏅🔥

💫 Nos vemos este domingo para correr por Tuluá… porque por Tuluá, corremos todos. 💙🏃‍♀️🏃‍♂️ #ParaSerFelices","🏃‍♂️💙 ¡Este domingo regresa la Media Maratón Tuluá!

Llegamos más recargados que nunca. El año pasado fuimos 1.200… ¡hoy seremos 3.300 corredores de todo el país llenando nuestras calles de energía, pasión y orgullo tulueño! 🇨🇴✨

Gracias al apoyo del alcalde Gustavo Adolfo Vélez Román y al trabajo en equipo con nuestras marcas aliadas, este gran sueño de ciudad vuelve para demostrar que Tuluá sigue siendo epicentro del running nacional. 🏅🔥

💫 Nos vemos este domingo para correr por Tuluá… porque por Tuluá, corremos todos. 💙🏃‍♀️🏃‍♂️ #ParaSerFelices",58,"11/12/2025 15:55",mixed,https://www.facebook.com/reel/1354350276246221/,1,0,Videos,,,,,Total,2501,1959,108,77,5,26,42,,,42,,,14199.805,6.16,0,0,0
1289694853197844,100064720237286,"Alcaldía de Tuluá","#Noticias | Alcalde entregó vehículos y condecoraciones en aniversario 134 de la Policía Nacional

Con la conmemoración del aniversario número 134 de la Policía Nacional, el alcalde Gustavo Adolfo Vélez Román destacó la labor de los hombres y mujeres que trabajan día a día por la seguridad y la convivencia ciudadana. Durante el acto, la Administración Municipal rindió un reconocimiento especial a los uniformados por su compromiso, esfuerzo y dedicación al servicio de la comunidad.

Lee la noticia completa: ⬇⬇⬇",,0,"11/11/2025 15:17",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02wM2xF8yMk2QvVLdUyvpq6D4P4nn6no7PeX2sxVXpwQsc4ygPoPaWW7CnAZMBmpB8l,0,0,Enlaces,,,,,Total,1333,772,30,15,12,3,23,17,,6,,,,,,,
1289694249864571,100064720237286,"Alcaldía de Tuluá","#Noticias | Tuluá tiene nuevos Consejeros Municipales de Juventudes. 

Con el acompañamiento del alcalde Gustavo Vélez, la Registraduría Nacional del Estado Civil y el Consejo Nacional Electoral (CNE), 17 jóvenes tulueños recibieron oficialmente sus credenciales que los acreditan como Consejeros Municipales de Juventud para el periodo 2026–2029.

Lee la noticia completa: ⬇⬇⬇
",,0,"11/11/2025 15:16",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02VkehAUcdLmSkvhTj4CjLYbCvp2wtpmNq1EztZBUZGZ4M34zJhLnWJpZc4wW7ZitJl,0,0,Enlaces,,,,,Total,1121,700,16,13,0,3,7,7,,,,,,,,,
1289693846531278,100064720237286,"Alcaldía de Tuluá","#Deportes | 700 adultos mayores reciben talleres recreativos y deportivos

Con jornadas de recreación, actividad física y ejercicios enfocados en el fortalecimiento de sus habilidades motrices, cognitivas y sociales, la Alcaldía de Tuluá, a través de la Secretaría del Deporte y la Recreación, atendió a más de 700 abuelitos pertenecientes a diferentes grupos.

Lee la noticia completa: ⬇⬇⬇
",,0,"11/11/2025 15:15",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02veQdqkDCPaRZvxQaWRanwgLZHszPN84mFd9hZgGDVxngxwDPCVJo5Wwf7gvKjfJ5l,0,0,Enlaces,,,,,Total,920,593,17,12,2,3,3,3,,,,,,,,,
1289685729865423,100064720237286,"Alcaldía de Tuluá","#Noticias | Ruta de la Felicidad llegó a Villa Liliana con servicios y actividades para la comunidad.

En el marco de las estrategias de acercamiento a la comunidad, la Alcaldía de Tuluá, a través de sus diferentes dependencias, desarrolló una jornada descentralizada en el barrio Villa Liliana, llevando bienestar, recreación y servicios gratuitos a los habitantes del sector.

Lee la noticia completa: ⬇⬇⬇
",,0,"11/11/2025 14:57",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0bTT19ac8oeE5RX1D2wbEzLmEhLXDAghKTrwX5rriU2uXU2i6gSvtxjsujggNRmRUl,0,0,Enlaces,,,,,Total,514,363,5,5,0,0,1,1,,,,,,,,,
