"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,"Toques en stickers","Clics en el enlace",Seguimientos
18110447611480544,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Nuestros talentosos jóvenes😎✨🎶 📍 Corregimiento Nariño En Cultura al Parque🤩 @tuluaculturacol_",11,"09/05/2025 21:17",,"Historia de Instagram",,Total,968,714,6,0,,0,753,,,
17866126251446130,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"09/05/2025 18:30",,"Historia de Instagram",,Total,1738,1054,3,0,,0,768,,84,
18058170626378664,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","The Proyect Blues✨🔵 En este momento en",15,"09/05/2025 17:05",,"Historia de Instagram",,Total,666,564,4,0,1,0,635,,,
18074056127011420,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","con los prestadores de servicios públicos @centroaguas.sa.esp  Planificando ciudad✌🏽 🏙️",11,"09/05/2025 16:58",,"Historia de Instagram",,Total,685,567,4,0,,0,672,,,
18075461993100878,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",@yomellamoamaiamontero2025,0,"09/05/2025 16:47",,"Historia de Instagram",,Total,954,782,5,0,,0,676,,,
18077011988482100,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/05/2025 16:44",,"Historia de Instagram",,Total,687,581,8,0,,0,672,,,
17917603509171806,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Cultura al Parque🎶💃 Ya iniciamos",11,"09/05/2025 16:22",,"Historia de Instagram",,Total,716,588,5,0,1,0,691,,,
17859471882483848,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/05/2025 16:21",,"Historia de Instagram",,Total,763,595,5,0,,0,676,,,
17884550937238836,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/05/2025 16:19",,"Historia de Instagram",,Total,764,612,5,1,,0,630,,,
18088296541744741,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/05/2025 15:41",,"Historia de Instagram",,Total,719,605,4,0,1,0,689,,,
18128795380415570,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/05/2025 15:08",,"Historia de Instagram",,Total,757,605,7,0,1,0,723,2,,
18100121830720144,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/05/2025 14:00",,"Historia de Instagram",,Total,747,601,6,0,,0,540,,,
18174267718355901,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,48,"09/05/2025 11:57",,"Historia de Instagram",,Total,596,518,7,0,2,1,583,2,,
17936751771069701,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,56,"09/05/2025 11:57",,"Historia de Instagram",,Total,620,526,7,0,1,0,594,,,
18085827910847473,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/05/2025 11:57",,"Historia de Instagram",,Total,622,525,4,0,,0,620,,,
18019301408564513,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,5,"09/05/2025 11:56",,"Historia de Instagram",,Total,620,538,2,0,,0,593,9,,
18397329277190738,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/05/2025 11:56",,"Historia de Instagram",,Total,623,555,5,0,,0,589,7,,
18089259574768823,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","NOS VEMOS HOY NARIÑO💪🏼🤩",11,"09/05/2025 11:09",,"Historia de Instagram",,Total,640,542,5,0,,0,616,,,
17921406621114294,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,57,"09/05/2025 10:23",,"Historia de Instagram",,Total,659,544,7,0,,0,623,,,
18532099273047820,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,60,"09/05/2025 10:23",,"Historia de Instagram",,Total,667,556,10,0,,1,605,,,
18089878981785725,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Este fin de semana Volaremos cometas 💫 🪁",15,"09/05/2025 09:43",,"Historia de Instagram",,Total,633,552,5,0,,0,611,,,
18307834474170463,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","NOS VEMOS MAÑANA😎✌🏽",15,"09/05/2025 09:43",,"Historia de Instagram",,Total,670,567,4,0,,0,627,,,
18085469302872171,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"09/05/2025 09:23",,"Historia de Instagram",,Total,718,599,4,0,1,0,671,,2,
18100257835546060,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,8,"09/04/2025 17:51",,"Historia de Instagram",,Total,535,485,4,0,,0,493,3,,
18398686303142329,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/04/2025 17:51",,"Historia de Instagram",,Total,548,494,4,0,,0,519,,,
17914415877056698,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/04/2025 16:34",,"Historia de Instagram",,Total,542,486,6,0,,0,515,,,
17881264833264929,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/04/2025 16:31",,"Historia de Instagram",,Total,537,490,4,1,,0,501,,,
18148088290365119,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/04/2025 16:31",,"Historia de Instagram",,Total,561,498,5,0,1,0,531,,,
18063925019349726,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/04/2025 14:47",,"Historia de Instagram",,Total,538,476,4,0,,0,529,5,,
18032660231506427,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/04/2025 14:47",,"Historia de Instagram",,Total,570,484,6,1,1,0,534,2,,
18070131332147122,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/04/2025 14:47",,"Historia de Instagram",,Total,610,492,6,0,,0,508,18,,
18077695783798333,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/04/2025 14:46",,"Historia de Instagram",,Total,602,509,3,0,,0,564,,,
17992511468827243,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","NOS VEMOS MAÑANA NARIÑO 😎✌🏽",11,"09/04/2025 12:30",,"Historia de Instagram",,Total,1055,819,3,0,1,1,552,,,1
18037230821479752,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/04/2025 11:23",,"Historia de Instagram",,Total,570,516,3,0,,0,551,,,
18123981010427867,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Y tú… ¿Cuál es tu color favorito? 🤩💚",15,"09/04/2025 10:01",,"Historia de Instagram",,Total,1609,1249,2,0,1,0,565,,,
18104697418585474,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Nos vemos hoy en el",11,"09/04/2025 07:31",,"Historia de Instagram",,Total,639,563,4,0,,0,611,,,
17970539720943486,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Conoce la historia de Laura Valentina",15,"09/03/2025 17:06",,"Historia de Instagram",,Total,593,499,11,0,,0,540,,,
17941055766053055,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/03/2025 14:32",,"Historia de Instagram",,Total,571,489,5,3,,0,502,,,
17956955708844715,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/03/2025 14:23",,"Historia de Instagram",,Total,581,500,7,0,1,0,496,,,
18115372735510267,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Este fin de semana 😎 Nos vemos",15,"09/03/2025 14:15",,"Historia de Instagram",,Total,597,510,6,0,1,0,572,,,
18124956511484423,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/03/2025 09:36",,"Historia de Instagram",,Total,543,464,2,0,2,0,503,,,
17958092174842166,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/03/2025 09:34",,"Historia de Instagram",,Total,565,475,7,0,,0,529,,,
17872327188422449,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/03/2025 09:33",,"Historia de Instagram",,Total,578,483,3,0,,0,550,,,
18065601764264717,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/03/2025 09:33",,"Historia de Instagram",,Total,648,486,6,0,2,0,636,,,
17854536336518084,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/03/2025 09:32",,"Historia de Instagram",,Total,626,488,5,0,1,0,558,2,,
18406838347118813,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,10,"09/03/2025 09:32",,"Historia de Instagram",,Total,566,499,5,0,,0,551,4,,
18065503823220370,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Nos vemos este sábado 😎✅",15,"09/03/2025 09:31",,"Historia de Instagram",,Total,589,516,6,0,,0,553,,,
18073891739092938,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/03/2025 09:31",,"Historia de Instagram",,Total,627,557,0,0,3,1,587,,,
18008485088619020,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¿Lo entendiste?😎✌🏽",15,"09/02/2025 15:48",,"Historia de Instagram",,Total,822,593,5,0,7,2,708,,,
18088102648641949,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/02/2025 11:54",,"Historia de Instagram",,Total,758,585,6,0,2,0,644,,,
18533534767055444,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/02/2025 11:48",,"Historia de Instagram",,Total,711,607,2,10,1,0,686,3,,
18070818866136378,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,14,"09/02/2025 09:11",,"Historia de Instagram",,Total,655,559,2,0,,0,618,3,,
18056116679451672,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,6,"09/02/2025 09:10",,"Historia de Instagram",,Total,671,577,1,1,,0,605,,,
17858236053490565,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,38,"09/02/2025 08:21",,"Historia de Instagram",,Total,621,552,0,2,1,0,609,2,,
18055572950178052,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/02/2025 08:19",,"Historia de Instagram",,Total,631,561,2,0,1,0,618,,,
18021025865558852,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/02/2025 07:45",,"Historia de Instagram",,Total,695,596,4,0,1,0,620,,,
18048394055299098,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/01/2025 16:26",,"Historia de Instagram",,Total,588,504,1,1,1,0,553,,,
18070742084130994,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Así avanza el EL INTERCAMBIADOR😎✌🏽",15,"09/01/2025 15:36",,"Historia de Instagram",,Total,1408,1031,1,0,1,1,519,,,
17855710392458122,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/01/2025 14:25",,"Historia de Instagram",,Total,545,494,2,0,,0,541,,,
17874281358409284,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"09/01/2025 14:25",,"Historia de Instagram",,Total,570,506,2,0,,0,554,,19,
18382854988126525,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/01/2025 14:16",,"Historia de Instagram",,Total,563,515,3,0,,1,557,,,
17934872583072663,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/01/2025 14:16",,"Historia de Instagram",,Total,568,525,2,0,,0,559,,,
18130497712456087,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/01/2025 14:16",,"Historia de Instagram",,Total,641,531,3,0,,0,639,,,
17925020783997016,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"09/01/2025 13:49",,"Historia de Instagram",,Total,695,564,9,8,,1,638,,,
18079416445946829,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,31,"09/01/2025 11:34",,"Historia de Instagram",,Total,655,587,4,0,4,0,625,,,
17924916581999931,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/01/2025 06:50",,"Historia de Instagram",,Total,797,719,5,0,2,0,739,,,
18030369200651477,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/31/2025 10:57",,"Historia de Instagram",,Total,814,738,2,1,,0,790,,,
17884780800360619,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/31/2025 10:56",,"Historia de Instagram",,Total,850,770,5,2,1,0,798,,,
18081647581942690,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/31/2025 10:56",,"Historia de Instagram",,Total,880,788,5,1,,0,843,,,
18074728181094796,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Atención Programas Nacionales ✅ Colombia Mayor 
Renta Ciudadana - Renta Joven",11,"08/31/2025 08:06",,"Historia de Instagram",,Total,756,665,4,0,1,0,639,,,
18321434851239142,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/31/2025 07:50",,"Historia de Instagram",,Total,719,638,6,1,,0,678,,,
17970067292927985,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,12,"08/31/2025 07:42",,"Historia de Instagram",,Total,734,640,7,0,,0,685,4,,
18367804909146214,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"08/31/2025 07:41",,"Historia de Instagram",,Total,739,646,6,0,,0,738,,,
17865021060451630,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Ven y visita nuestros  PUNTOS INNOVA✌🏽 ¿Quieres aprender a volar dron?😎 @puntosinnova",14,"08/31/2025 07:33",,"Historia de Instagram",,Total,842,724,5,0,,0,702,4,,
18063386264585463,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/31/2025 07:27",,"Historia de Instagram",,Total,871,728,5,1,,0,656,,,
18137076598385911,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Una mañana de mucha diversión y recreación para las familias ✨💙 @tuluaculturacol_",9,"08/31/2025 07:27",,"Historia de Instagram",,Total,888,740,8,0,,0,678,,,
18050162132546561,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/23/2025 09:19",,"Historia de Instagram",,Total,648,584,7,0,,0,601,,,
18116913796502203,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Hoy en 📍Porvenir",11,"08/23/2025 06:54",,"Historia de Instagram",,Total,609,539,4,0,1,0,577,,,
18126683842465537,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,46,"08/31/2025 06:51",,"Historia de Instagram",,Total,953,794,8,0,2,4,783,7,,
18109230268555697,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Estamos embelleciendo los espacios en 📍La Marina  @EMTULUA",11,"08/31/2025 06:46",,"Historia de Instagram",,Total,849,749,5,0,,0,689,2,,
17982045932735108,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Atención Primaria en Salud y Plan de Intervenciones Colectivas ✅🙌🏼 Al servicio de la comunidad ✨😎",4,"08/31/2025 06:39",,"Historia de Instagram",,Total,1037,844,4,1,,0,657,,,
18077657650824613,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Y mucho más! ✅Atención Primaria en Salud
✅SISBÉN
✅Arte y Cultura
✅Puntos INNOVA 
✅Música",21,"08/31/2025 06:28",,"Historia de Instagram",,Total,1213,940,5,0,1,1,773,,,1
17931522909086369,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Mercado Campesino🍅🍊🍋 Ven y visita nuestro 📍 Polideportivo Central La Marina",5,"08/31/2025 06:18",,"Historia de Instagram",,Total,1337,1033,6,1,,1,706,,,
18072099227122236,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Ya estamos activos!  Ven ahora🙌🏼",7,"08/31/2025 06:11",,"Historia de Instagram",,Total,1275,980,8,0,,1,708,,,
18036745196466716,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"08/30/2025 16:11",,"Historia de Instagram",,Total,689,577,3,0,2,0,620,,,
18021162536741894,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"08/30/2025 14:07",,"Historia de Instagram",,Total,585,529,6,0,,0,578,,,
18046396844642898,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Seguimos en nuestros talleres de creación de cometas! 💫 🪁 Aún estás a tiempo de llegar✌🏽😎 @labakana103.1 ¡Todavía puedes inscribirte! ✌🏽🤩",24,"08/30/2025 14:05",,"Historia de Instagram",,Total,614,538,4,0,,0,596,,,
18078513959298180,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"08/30/2025 13:22",,"Historia de Instagram",,Total,606,538,5,0,,0,596,,,
