"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,Visualizaciones,Seguimientos,"Toques en stickers","Clics en el enlace"
18044272745662359,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"09/27/2025 10:02",,"Historia de Instagram",,Total,615,1,0,,0,653,,,,
18083025649906810,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Panamá 🇵🇦 también presente hoy en Tuluá 🥳",24,"09/27/2025 05:24",,"Historia de Instagram",,Total,1634,6,1,1,0,675,,,,
18105123994588775,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡Es hoy, es hoy!😎🥳",15,"09/27/2025 05:18",,"Historia de Instagram",,Total,1784,6,0,1,0,705,,,,
18113099704535128,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/26/2025 15:41",,"Historia de Instagram",,Total,468,1,0,1,0,501,,,,
18077402017844098,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/26/2025 15:41",,"Historia de Instagram",,Total,475,1,0,1,0,484,,,,
18098409589570956,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/26/2025 15:41",,"Historia de Instagram",,Total,480,1,0,,0,492,,,2,
18137298136437096,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/26/2025 15:41",,"Historia de Instagram",,Total,485,1,0,1,0,498,,,,
18292358314251220,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/26/2025 15:40",,"Historia de Instagram",,Total,492,2,0,,0,526,,,,
17846770008572304,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/26/2025 15:40",,"Historia de Instagram",,Total,500,2,0,,0,482,,,,
17888584722359191,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/26/2025 15:40",,"Historia de Instagram",,Total,508,1,0,,0,535,,,,
18074114717137503,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Mañana nos vemos 🤩",11,"09/26/2025 15:36",,"Historia de Instagram",,Total,531,2,0,1,0,549,,,,
18087693823856868,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"09/26/2025 08:43",,"Historia de Instagram",,Total,558,4,0,1,0,596,,,,3
18105294496593336,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","¡No te lo pierdas!😎✌🏽",11,"09/26/2025 08:42",,"Historia de Instagram",,Total,578,2,0,,0,620,,,,
18112833748548248,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","MAÑANA NOS VEMOS ✌🏽 😎",15,"09/26/2025 08:27",,"Historia de Instagram",,Total,599,4,1,1,0,648,,,2,
18289310311281534,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Recibiendo la capacitación: “Los Tres Deseos Para Ser Felices” Por nuestro speaker invitado: @aristizabal.jeison",11,"09/26/2025 08:10",,"Historia de Instagram",,Total,625,11,0,,0,639,,,9,
18081624557496243,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Hoy en la Conmemoración del Día del Maestro 👨‍🏫 EXALTANDO 🥇  a directivos docentes y docentes orientadores💪🏼",11,"09/26/2025 08:08",,"Historia de Instagram",,Total,646,8,0,,0,700,,,,
17864959824393334,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,45,"09/26/2025 08:02",,"Historia de Instagram",,Total,695,6,0,,1,754,,,,
18111028330552043,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","MAÑANA ✅",11,"09/25/2025 16:23",,"Historia de Instagram",,Total,600,5,0,,2,683,,,,
18142006423425242,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,47,"09/25/2025 16:22",,"Historia de Instagram",,Total,619,6,0,,0,686,,,,
18076477304029536,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@fundacionexito  @alpina",15,"09/25/2025 15:49",,"Historia de Instagram",,Total,621,7,0,2,0,690,,,5,
18079665004984291,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,30,"09/25/2025 15:34",,"Historia de Instagram",,Total,632,6,0,,0,696,,,,
17952119180886603,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","También presentes en la",15,"09/25/2025 15:33",,"Historia de Instagram",,Total,670,8,0,2,0,753,,,,
18008688845629660,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","En el cuarto día de la Muestra cultural ambiental✨✌🏽🎭",11,"09/25/2025 15:32",,"Historia de Instagram",,Total,696,9,0,,0,766,,,,
18067188764263144,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Cierre vial para la segunda fase del  Intercambiador de la Carrera 40 Con el @supercentrotulua  SOCIALIZACIÓN✅",11,"09/25/2025 08:59",,"Historia de Instagram",,Total,1003,14,0,3,0,1099,,,4,
18076922459051937,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Demolición segundo tramo de 📍La Casona ✅💪🏼🚧",33,"09/25/2025 08:54",,"Historia de Instagram",,Total,1038,15,0,1,1,1139,,,,
18330877948226735,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","📍La Casona Recorrido en",10,"09/25/2025 06:30",,"Historia de Instagram",,Total,1117,8,0,,0,1088,,,,
17965858505956211,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Iniciamos la INSPECCIÓN OCULAR🔍 de la Infraestructura del sector 📍La Casona",8,"09/25/2025 06:15",,"Historia de Instagram",,Total,1339,14,0,,0,1047,,,,
18101750884558419,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,56,"09/24/2025 18:48",,"Historia de Instagram",,Total,1068,21,0,4,2,1243,,,,
18366579595147760,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","El alcalde @gustavovelezr indicando cómo se está construyendo el Intercambiador Vial de la 40✌🏽✅ A los Honorables Concejales",33,"09/24/2025 14:56",,"Historia de Instagram",,Total,1141,17,1,4,5,1130,,,,
18081851623764223,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Tuluá será el segundo municipio con una obra de esta importancia ✅💪🏼",10,"09/24/2025 14:12",,"Historia de Instagram",,Total,1136,12,0,4,2,1127,,,,
18094553818665718,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","📍Intercambiador vial Carrera 40",10,"09/24/2025 14:04",,"Historia de Instagram",,Total,1164,12,0,,2,1211,,,,
18078435925990115,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/24/2025 13:23",,"Historia de Instagram",,Total,1138,3,0,3,1,1437,1508,,,
18078311585293459,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/24/2025 13:23",,"Historia de Instagram",,Total,1173,7,1,2,1,1442,,,4,
17974268006779238,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Visita de obras  Viendo los proyectos que transformarán a Tuluá💪🏼💙 Con los Honorables Concejales✨",13,"09/24/2025 13:13",,"Historia de Instagram",,Total,1286,15,0,4,3,1215,,1,,
17876899443306276,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,13,"09/24/2025 08:43",,"Historia de Instagram",,Total,961,6,0,1,1,1096,,,6,
18090716461761052,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","NOS VEMOS HOY ⬇️⬇️⬇️",11,"09/24/2025 08:37",,"Historia de Instagram",,Total,988,4,0,2,1,1109,,,,
17944049667027632,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","TERCER DÍA  Recolección de Residuos Sólidos, Aceite de cocina y Tapatón. ¡Ven ahora!🙌🏼",8,"09/24/2025 08:10",,"Historia de Instagram",,Total,1098,14,0,3,0,1002,,,,
17941143471060456,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/23/2025 16:19",,"Historia de Instagram",,Total,743,2,0,3,0,819,857,,,
17944381770048463,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@fundacionlevapan @parquedelaguadua",51,"09/23/2025 16:01",,"Historia de Instagram",,Total,855,5,2,3,0,824,,,2,
18133204153454894,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/23/2025 15:47",,"Historia de Instagram",,Total,780,4,0,1,1,789,,1,2,
17984926445893030,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/23/2025 15:47",,"Historia de Instagram",,Total,793,3,0,,0,874,,,,
18041617028418583,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/23/2025 15:47",,"Historia de Instagram",,Total,819,8,1,1,0,893,,,2,
18104881246596940,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/23/2025 11:13",,"Historia de Instagram",,Total,817,7,0,3,0,886,,,,
18311377207170865,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Trabajando juntos por la seguridad de Tuluá. ❤️💚🤍 @gustavovelezr @policiavalledelcauca @col_ejercito",11,"09/23/2025 10:25",,"Historia de Instagram",,Total,2332,11,1,,0,913,,,,
18063660461059800,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Que fortalecerá el trabajo por la seguridad de los tulueños 🚨👮 ENTREGA OFICIAL  De 4 nuevos vehículos para nuestra Fuerza Pública✅🚔 @gustavovelezr @policiavalledelcauca",27,"09/23/2025 10:21",,"Historia de Instagram",,Total,2474,13,0,2,1,892,,,2,
18109524727560293,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Medalla al mérito Policial El alcalde @gustavovelezr  entrega la  BRIGADIER GENERAL FRANCISCO ROJAS SCARPETTA  A la señora Comandante de Policía Valle del Cauca, General Sandra Liliana Rodríguez💪🏼✅",20,"09/23/2025 10:18",,"Historia de Instagram",,Total,2623,10,0,,0,899,,,7,
18098213392572901,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Hoy realizando la entrega del Parque Automotor a nuestra Fuerza Pública 💪🏼✅",14,"09/23/2025 08:37",,"Historia de Instagram",,Total,1049,16,0,3,2,959,,,,
18049867451638104,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"09/22/2025 14:15",,"Historia de Instagram",,Total,506,5,0,,0,585,,,,
17903878260122010,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"09/22/2025 13:53",,"Historia de Instagram",,Total,509,2,1,1,0,560,,,,
18041156336425457,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,41,"09/22/2025 13:01",,"Historia de Instagram",,Total,508,0,0,1,0,568,,,,
18158934178347658,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/22/2025 12:40",,"Historia de Instagram",,Total,524,0,0,1,0,590,,,5,10
18039999269690166,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,13,"09/22/2025 10:34",,"Historia de Instagram",,Total,494,3,0,2,0,563,,,12,
18055669505532170,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,47,"09/22/2025 10:25",,"Historia de Instagram",,Total,492,5,2,1,0,552,,,,
18403092625189652,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","HOY DIMOS INICIO A LA",11,"09/22/2025 09:10",,"Historia de Instagram",,Total,488,4,0,1,0,559,,,,
18358661398083472,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,60,"09/22/2025 09:01",,"Historia de Instagram",,Total,485,5,0,,0,550,,,,
17855028582536262,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"09/22/2025 08:56",,"Historia de Instagram",,Total,513,1,0,3,0,574,,,,6
18062635205366865,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/22/2025 08:21",,"Historia de Instagram",,Total,569,4,0,1,0,634,,,1,
18086499313896224,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Llegaron los 45 😎✌🏽 Desde el @labssummit  Con @frank.ilusionista",60,"09/20/2025 16:20",,"Historia de Instagram",,Total,1178,4,0,1,0,810,,,14,
18028206170518597,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",@labssummit,11,"09/20/2025 10:54",,"Historia de Instagram",,Total,1601,1,0,2,0,652,,,2,14
17899591674144082,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/20/2025 08:05",,"Historia de Instagram",,Total,609,2,0,,0,647,,,,
18074412586890136,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Hoy participando de",27,"09/20/2025 08:05",,"Historia de Instagram",,Total,660,3,0,1,0,704,,,,
18042544358663789,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","En La Marina nuestros estudiantes estrenarán 😎✌🏽",58,"09/19/2025 15:56",,"Historia de Instagram",,Total,380,3,0,,0,401,,,,
17956879377003413,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/19/2025 14:09",,"Historia de Instagram",,Total,466,3,0,1,0,526,,,7,
17952156572878307,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Acompañamos a @bomberostulua  Quienes desde hoy tienen 28 unidades Forestales para ser guardianes del medio ambiente.💪🏼✅",46,"09/19/2025 14:05",,"Historia de Instagram",,Total,551,5,0,2,0,523,,,2,
18092234017692724,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,10,"09/19/2025 13:58",,"Historia de Instagram",,Total,480,1,0,,0,515,,,,
18293468932251091,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/19/2025 11:55",,"Historia de Instagram",,Total,486,2,0,,0,539,,,,
17862400875416444,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/19/2025 07:25",,"Historia de Instagram",,Total,425,2,0,2,0,461,,,,
18421131688128109,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/19/2025 07:25",,"Historia de Instagram",,Total,444,1,0,,0,479,515,,,
17882525919261524,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,11,"09/19/2025 06:26",,"Historia de Instagram",,Total,463,1,0,1,0,529,,,,9
18083722003909185,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,18,"09/18/2025 15:51",,"Historia de Instagram",,Total,597,6,0,,0,659,,,,
18050062964640185,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/18/2025 15:51",,"Historia de Instagram",,Total,636,7,0,,0,635,,,,
18075284540031471,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,6,"09/18/2025 14:52",,"Historia de Instagram",,Total,622,4,0,,0,649,,,6,
17891043402203927,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,14,"09/18/2025 14:43",,"Historia de Instagram",,Total,627,6,0,1,0,662,,,,
17859520506497179,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/18/2025 14:42",,"Historia de Instagram",,Total,636,5,0,,0,692,,,,
18082388653897924,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,33,"09/18/2025 14:42",,"Historia de Instagram",,Total,641,8,0,,0,686,,,,
18110942563555190,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,14,"09/18/2025 14:42",,"Historia de Instagram",,Total,655,7,0,1,0,668,,,12,
18342942385164877,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,12,"09/18/2025 14:41",,"Historia de Instagram",,Total,668,7,0,,0,719,,,7,
18111566560542656,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/18/2025 14:40",,"Historia de Instagram",,Total,672,4,0,,0,789,,,15,
17978855138756559,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","NOS VEMOS MAÑANA 😎",11,"09/18/2025 14:33",,"Historia de Instagram",,Total,909,6,0,,0,771,,1,,
17925996825129640,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/18/2025 11:58",,"Historia de Instagram",,Total,725,9,1,,0,802,,,,
18396082747186654,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/18/2025 10:05",,"Historia de Instagram",,Total,830,4,0,1,1,871,,,,
18285320029279884,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@labssummit ✌🏽💙 ¡Este gran evento ya comenzó!🙌🏼 Ven ahora, te esperamos 😎 @gustavovelezr",15,"09/18/2025 09:01",,"Historia de Instagram",,Total,3103,4,0,,0,927,,,30,
18318352108208275,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Ya nuestro alcalde @gustavovelezr está presente en el LABS SUMMIT😎✌🏽",10,"09/18/2025 08:52",,"Historia de Instagram",,Total,2587,12,0,,0,902,,,4,
18160677619342109,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/17/2025 17:01",,"Historia de Instagram",,Total,696,5,0,1,0,745,,,,
17898970689274037,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Seguimos en el mejoramiento y conformación de la Vía 📍 Vía Materas - El Crucero",11,"09/17/2025 12:47",,"Historia de Instagram",,Total,640,5,0,3,0,688,,,,
18531180592025016,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","TULUÁ VOLVERÁ A CORRER 🏃🏼‍♀️ 🏃🏻",15,"09/17/2025 10:20",,"Historia de Instagram",,Total,530,4,0,,1,553,,,,
17864238072397428,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/17/2025 09:34",,"Historia de Instagram",,Total,509,5,0,,0,524,,,,
17864277744395685,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/17/2025 09:33",,"Historia de Instagram",,Total,509,6,1,,0,527,,,,
18033220490505773,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/17/2025 09:33",,"Historia de Instagram",,Total,530,9,0,,0,529,,,,
18527493850046274,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,27,"09/17/2025 09:28",,"Historia de Instagram",,Total,532,9,0,,0,555,,,,
18025542977736386,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Hoy estamos escuchando a los tulueños, identificando situaciones para brindar soluciones y construir una Tuluá  para todos. 💪🏼💙✌🏽",11,"09/17/2025 08:15",,"Historia de Instagram",,Total,1299,5,0,,0,558,,,,
18062764685069847,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Lanzamiento de la Modificación Excepcional  Hoy estamos con la comunidad en el del Plan de Ordenamiento Territorial 💪🏼",11,"09/17/2025 08:12",,"Historia de Instagram",,Total,615,4,0,,0,571,,,,
18051310952257624,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Agéndate para poner tu granito de arena y hacer de Tuluá una tierra de vida y esperanza ✨🌳 ¡Llegó la Semana Ambiental!✌🏽💪🏼✅",15,"09/17/2025 07:09",,"Historia de Instagram",,Total,863,3,0,,0,613,,,,
17853518970486654,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,0,"09/17/2025 06:06",,"Historia de Instagram",,Total,538,6,2,,2,626,,,4,
18069009281332648,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá",,15,"09/17/2025 06:05",,"Historia de Instagram",,Total,550,2,0,,2,592,,,,
18056034734440289,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","NOS VEMOS HOY✌🏽💪🏼",11,"09/17/2025 06:05",,"Historia de Instagram",,Total,579,1,0,,2,622,,,,
17860895676480128,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","@mediamaratontulua  Alcaldía siempre presente apoyando y transformando el deporte en Tuluá💙✌🏽",44,"09/16/2025 18:35",,"Historia de Instagram",,Total,1599,16,0,1,3,691,,,9,
18043438100374754,17841402591799685,alcaldiadetulua,"Alcaldía de Tuluá","Hoy asistiendo al gran Lanzamiento de la @mediamaratontulua 😎",16,"09/16/2025 18:25",,"Historia de Instagram",,Total,1610,10,0,,1,619,,,8,
,,,,,,,,,"An error occurred while computing metadata for content with ID 18116653357520144. Se produjo un error al calcular las métricas.",-,,,,,,,,,,
,,,,,,,,,"An error occurred while computing metadata for content with ID 17895083871313523. Se produjo un error al calcular las métricas.",-,,,,,,,,,,
,,,,,,,,,"An error occurred while computing metadata for content with ID 18077566345990660. Se produjo un error al calcular las métricas.",-,,,,,,,,,,
,,,,,,,,,"An error occurred while computing metadata for content with ID 18114451825520314. Se produjo un error al calcular las métricas.",-,,,,,,,,,,
,,,,,,,,,"An error occurred while computing metadata for content with ID 18369474091197437. Se produjo un error al calcular las métricas.",-,,,,,,,,,,
,,,,,,,,,"An error occurred while computing metadata for content with ID 17899338384269476. Se produjo un error al calcular las métricas.",-,,,,,,,,,,
,,,,,,,,,"An error occurred while computing metadata for content with ID 18095695321727144. Se produjo un error al calcular las métricas.",-,,,,,,,,,,
,,,,,,,,,"An error occurred while computing metadata for content with ID 18125803318477779. Se produjo un error al calcular las métricas.",-,,,,,,,,,,
,,,,,,,,,"An error occurred while computing metadata for content with ID 18053601476545874. Se produjo un error al calcular las métricas.",-,,,,,,,,,,
