fecha_de_registro,Edad,sexo,calificacion_del_servicio,calificacion_de_la_rapidez_del_servicio,id_publicacion,Me gustas,Comentarios,Alcance,impresiones,id_del_paciente,veces_compartido
2024-11-12,62,M,2.3,3.6,3719,395,1,1833,3712,91899,8
2024-11-07,31,F,2.2,2.8,1799,257,70,1272,9027,89884,1
2024-10-25,35,F,2.2,3.1,3887,40,10,9705,4177,98813,37
2024-11-15,48,F,1.3,3.0,9424,101,21,8171,2686,51458,13
2024-10-27,20,M,1.5,2.8,7063,23,56,1070,14894,79265,27
2024-11-03,64,M,1.6,4.8,5790,364,38,4146,3728,59137,13
2024-11-02,55,M,3.1,4.9,9869,225,68,4839,7469,54837,32
2024-11-17,24,M,4.6,1.5,2589,169,41,9181,3675,31579,42
2024-11-12,43,M,3.6,4.1,7459,44,87,4387,576,15365,9
2024-11-13,56,M,2.3,4.5,1290,267,96,686,4607,36342,32
2024-10-31,27,F,4.3,2.1,7234,495,64,4022,10290,39947,30
2024-10-23,28,F,2.6,4.5,9154,120,44,8090,8449,60053,9
2024-11-19,64,M,1.8,1.7,7224,172,5,7254,2894,30662,27
2024-10-20,35,F,4.0,3.1,3915,235,65,2629,3152,63312,48
2024-10-22,41,F,1.7,3.2,2714,416,16,4766,11113,81238,43
2024-11-18,33,F,2.6,3.8,5328,267,90,3485,4374,80152,4
2024-11-04,65,F,3.8,4.3,1438,488,74,2943,6987,43262,12
2024-11-06,32,F,2.9,1.2,4692,291,38,4970,8252,86134,45
2024-11-17,27,M,1.7,3.0,7949,75,0,2916,14609,13697,27
2024-11-01,43,M,4.0,3.7,5923,218,2,166,7246,66882,19
2024-11-07,53,F,3.1,1.3,6848,138,12,8814,11360,34508,36
2024-11-15,66,M,1.8,1.2,6272,108,88,3175,12151,44775,0
2024-11-02,26,F,1.6,3.9,6511,241,70,6181,2239,76967,16
2024-11-09,70,M,1.3,2.4,3425,149,38,2275,12370,69326,19
2024-11-13,55,M,1.7,2.5,9862,28,34,8295,9919,14651,28
2024-10-23,69,M,4.8,2.5,7135,474,11,4149,14163,99886,24
2024-11-12,26,M,2.9,2.4,3912,153,5,3263,4466,20759,25
2024-11-20,30,M,3.1,2.0,9469,260,92,5711,12865,13251,18
2024-11-14,52,M,4.1,2.2,5459,145,61,6384,5618,12941,35
2024-11-02,24,M,1.3,1.9,6353,146,85,3187,13063,69676,42
2024-11-12,49,F,4.9,5.0,9488,73,93,1460,2409,13319,43
2024-10-21,24,M,1.1,1.3,1335,313,43,2880,440,42657,28
2024-11-07,26,M,4.9,4.6,3798,450,67,725,5473,52741,24
2024-11-07,66,F,1.4,3.8,7455,391,87,6045,1014,66380,18
2024-10-22,57,F,2.8,5.0,7722,73,78,1243,9294,85947,24
2024-10-31,69,F,2.8,2.7,3878,242,66,4323,2506,71625,31
2024-10-27,43,M,4.4,4.6,5382,329,1,9916,484,49005,13
2024-11-02,30,F,4.5,4.4,4928,132,25,9702,6452,82531,36
2024-11-04,24,M,3.1,1.2,1169,133,8,8829,8278,58272,11
2024-11-19,64,F,2.9,1.5,1202,36,25,8313,14043,68966,46
2024-11-09,34,M,1.3,1.2,3654,483,75,8447,8635,77917,12
2024-11-04,53,F,4.4,2.9,1395,198,99,2759,5265,58139,40
2024-11-17,57,M,2.0,3.2,9624,141,62,534,13117,97769,18
2024-10-20,33,F,1.6,3.2,9622,94,7,1294,12941,43365,47
2024-11-11,35,F,1.6,4.3,3850,474,19,5667,10500,18486,1
2024-11-11,60,M,2.9,4.3,8987,207,100,1797,8748,99323,45
2024-10-24,41,F,1.8,1.5,9232,220,51,6666,11486,77842,31
2024-11-11,67,M,1.2,3.2,4079,413,82,2246,827,43924,34
2024-11-06,32,F,4.5,1.3,8422,19,38,6561,5504,86913,45
2024-10-29,65,F,3.4,3.5,4673,90,72,8956,4207,26223,1
2024-11-18,64,F,3.2,4.2,4010,418,16,1450,4501,81844,28
2024-10-22,29,F,1.7,2.7,4301,248,11,294,258,56571,34
2024-11-05,23,M,1.3,1.7,1358,239,97,8814,585,63450,10
2024-10-29,70,M,1.8,2.3,3942,346,18,1140,6819,65831,43
2024-10-21,37,F,4.6,3.3,8334,406,53,1213,7655,44427,37
2024-10-29,32,F,1.3,2.4,8195,400,95,3266,9176,58609,27
2024-10-20,32,M,2.9,4.4,9274,8,39,7114,4391,50644,26
2024-10-20,63,F,2.9,2.6,7783,18,98,3418,6351,38790,10
2024-10-29,26,F,4.6,1.8,5499,471,26,4707,6785,61115,49
2024-11-04,34,F,4.7,1.2,2731,360,44,4297,5125,75026,4
2024-10-22,24,M,1.6,2.1,3235,158,92,3020,11778,88651,6
2024-11-11,47,M,3.9,1.3,3170,77,97,1954,8114,95272,26
2024-11-06,27,F,2.9,2.0,7604,123,51,9780,13719,49177,26
2024-11-17,42,M,3.5,2.1,8241,438,95,1277,7772,33867,13
2024-11-13,66,F,4.1,1.6,4799,443,44,3584,1800,69486,19
2024-11-05,50,M,1.5,4.0,5228,446,61,5988,4146,17571,46
2024-11-09,49,F,2.6,3.4,8093,23,58,1911,13578,57794,38
2024-10-29,51,F,2.0,3.9,1372,122,2,185,14724,45637,26
2024-10-23,43,M,2.6,1.2,8376,407,58,7342,11291,37837,39
2024-11-17,55,M,3.6,3.2,4030,317,5,4735,9928,83501,1
2024-11-07,25,F,4.8,3.6,4539,276,1,3727,10705,19764,44
2024-11-10,43,M,4.3,4.7,9158,43,86,168,2203,86362,22
2024-11-05,70,F,1.4,3.4,2005,455,62,5305,529,20422,9
2024-10-20,27,M,3.3,3.1,8079,229,90,5964,3340,61213,43
2024-10-26,26,M,3.0,3.9,6851,60,79,1479,8218,28612,42
2024-10-20,70,F,3.8,3.0,1724,384,95,2051,5147,35113,27
2024-11-06,44,M,2.9,3.9,9376,256,91,5739,12168,14196,17
2024-11-02,44,F,2.3,4.2,3098,72,63,573,7070,29850,5
2024-11-01,53,M,1.6,4.8,2339,361,56,7682,1385,88207,43
2024-11-02,45,F,1.6,1.8,2941,171,33,7207,10713,46392,7
2024-10-25,18,M,1.9,2.2,6522,0,26,9882,7398,67546,45
2024-11-05,29,M,2.5,1.6,8216,16,43,6298,2414,33648,6
2024-10-25,24,F,1.8,4.0,9008,63,19,6754,14869,64492,2
2024-11-15,19,M,1.1,3.9,6100,398,13,3610,1151,74452,10
2024-11-13,31,M,2.2,4.4,1789,110,97,3409,7470,34357,31
2024-11-05,51,M,4.3,4.9,5161,459,94,6604,8105,90168,5
2024-10-25,46,M,1.8,2.1,5961,331,68,9144,9305,12723,5
2024-11-12,43,M,4.1,4.4,2892,93,43,4185,1782,69294,29
2024-11-14,70,F,1.4,3.2,4533,254,24,1855,4374,41798,18
2024-11-18,30,M,3.6,1.4,9769,241,4,1173,13675,75146,34
2024-11-03,57,F,1.9,2.2,2413,438,51,4054,8556,46762,46
2024-10-30,32,F,2.4,4.4,9255,134,46,469,11039,81335,3
2024-11-20,62,M,1.3,1.1,5271,248,33,9874,14432,74533,35
2024-11-19,51,F,1.4,4.0,2690,221,47,5372,1890,32295,48
2024-11-09,42,M,3.2,4.4,4378,324,14,7840,12273,95216,17
2024-11-12,51,F,2.2,2.2,3863,310,42,1602,13349,97514,50
2024-11-02,53,F,1.6,4.5,8826,203,49,5480,9467,57685,2
2024-11-19,66,M,1.1,2.0,5134,91,8,2895,3786,26247,4
2024-11-14,52,F,5.0,3.4,6368,369,88,1996,2951,96712,29
2024-11-07,33,F,2.6,2.9,5268,25,5,4109,9100,63521,42
2024-11-02,63,M,3.8,3.4,1956,471,51,1605,2790,68372,20
2024-10-25,23,M,3.3,3.4,9767,234,9,4727,891,19709,47
2024-10-29,56,F,3.6,1.7,4568,401,47,557,7969,37564,42
2024-11-03,47,M,1.7,3.7,5991,413,78,7116,4861,64335,49
2024-11-04,40,F,1.4,5.0,5426,178,64,1357,2065,13791,19
2024-10-30,28,F,2.8,5.0,2713,449,10,5548,11928,15704,18
2024-10-29,31,F,2.7,4.4,5311,20,69,1813,10857,36016,40
2024-11-18,60,M,1.2,3.4,2710,356,79,6197,11569,82667,1
2024-11-19,20,F,4.4,2.3,3117,174,43,691,14292,18565,17
2024-11-20,49,F,3.4,1.6,7751,302,67,1692,8868,76557,33
2024-11-13,42,M,3.9,3.1,3356,151,31,3139,7371,36250,19
2024-11-04,44,M,2.9,4.8,2539,472,96,454,10450,99356,1
2024-11-03,49,M,1.8,4.3,8465,30,81,947,4926,37490,21
2024-11-15,36,M,2.2,3.0,8743,176,30,8649,5978,98106,47
2024-10-26,61,F,2.2,4.4,2547,408,81,5982,11473,84863,22
2024-11-20,46,F,2.9,4.3,6679,137,29,3972,10772,99720,15
2024-11-18,29,F,4.0,2.9,7558,18,34,6121,13443,86957,10
2024-11-13,67,M,4.8,4.2,3323,96,40,5868,11711,48871,6
2024-11-11,56,M,3.2,3.1,6032,87,24,4809,14680,40616,35
2024-10-24,66,M,3.6,3.8,9051,74,77,919,12985,19147,20
2024-10-20,51,M,2.1,1.4,4328,449,82,8429,11300,20454,45
2024-11-14,70,F,1.2,4.0,3677,433,75,3227,4028,86069,30
2024-11-09,25,M,2.8,2.4,1922,379,5,8981,6380,24325,32
2024-10-24,21,F,1.3,4.7,7165,230,21,5298,10745,17147,47
2024-10-28,22,M,4.9,3.5,6491,236,49,1113,3676,60438,8
2024-11-19,48,M,2.2,3.5,2703,36,87,5232,7830,71869,32
2024-11-05,41,M,2.2,2.2,4405,420,3,5241,7444,28995,30
2024-10-21,37,M,1.7,2.9,2232,379,79,2632,14004,45678,7
2024-11-09,42,F,1.4,4.1,8557,158,98,8209,8610,11445,3
2024-10-25,61,F,4.3,1.8,4875,411,51,772,11464,61331,1
2024-10-23,29,F,3.1,3.8,1944,127,85,4389,9064,45889,46
2024-10-27,24,F,1.7,2.6,8353,92,5,3665,13576,45167,15
2024-11-17,22,M,2.0,4.8,4942,234,3,1971,473,59055,8
2024-10-30,70,F,2.8,2.7,9984,180,99,4353,4490,87814,41
2024-11-13,47,F,4.8,2.5,1417,169,44,2155,14228,30429,6
2024-11-02,65,M,3.3,4.1,8726,132,27,9728,10591,16268,11
2024-11-04,30,M,3.1,2.9,1192,115,72,8546,10308,90583,38
2024-11-09,30,F,3.4,3.9,9079,417,5,9920,7117,36079,1
2024-11-08,50,M,4.5,4.1,6724,120,54,7193,389,57930,30
2024-11-15,38,F,3.3,2.4,3141,282,16,186,13736,54411,31
2024-10-25,67,F,3.0,1.8,2095,142,31,7408,12167,91044,14
2024-10-27,18,M,1.9,3.2,3576,151,32,4526,4263,13784,28
2024-10-26,49,M,4.6,1.9,8212,485,58,9110,161,91933,27
2024-10-23,68,M,1.6,3.8,6189,420,73,2409,10452,45930,43
2024-10-24,23,F,2.1,3.8,6159,3,1,1584,4582,94051,22
2024-11-08,31,M,3.2,2.0,7556,212,71,8647,517,43605,30
2024-10-20,25,F,2.0,2.1,7857,443,50,826,3762,13235,25
2024-11-03,40,M,1.7,4.7,2763,90,9,8408,5311,96032,15
2024-11-20,57,M,4.5,4.5,7087,392,56,5738,7608,49074,49
2024-11-20,31,F,3.2,4.4,1932,307,20,5892,14601,96694,8
2024-11-19,30,F,1.4,2.9,1107,56,8,8514,13394,56604,46
2024-11-09,23,F,2.4,2.3,2344,141,76,289,3973,19088,0
2024-10-24,62,F,3.4,1.1,2764,244,9,5608,13733,40979,13
2024-11-12,30,M,2.3,2.0,1638,170,0,5938,14492,47568,3
2024-11-05,55,M,1.6,2.3,8208,423,84,8230,7396,10505,11
2024-10-23,29,F,4.1,3.3,8018,11,4,1527,11427,36916,20
2024-11-10,43,M,2.2,2.9,4662,326,35,285,1946,20064,31
2024-10-24,61,F,2.9,4.7,4046,340,88,1856,8328,51634,30
2024-10-27,64,F,2.3,4.3,5342,17,98,8285,10308,23534,4
2024-11-04,49,F,4.2,4.0,5261,60,46,9257,13952,52615,33
2024-10-24,59,M,4.3,2.2,6867,92,17,6466,8470,68341,13
2024-11-18,48,F,2.2,2.7,1190,176,31,3038,397,12531,26
2024-11-05,36,F,3.8,3.0,1323,263,44,3528,13693,75867,35
2024-11-16,24,M,4.6,1.4,6578,458,11,4201,7766,70696,21
2024-11-13,40,M,3.6,3.5,6758,320,16,986,13779,81727,23
2024-11-08,59,F,2.3,3.9,1183,115,67,7668,14008,15796,28
2024-10-24,20,M,5.0,1.2,2187,20,11,3842,4550,43334,11
2024-11-11,20,M,1.5,1.9,9888,156,19,4436,2145,19616,47
2024-11-17,44,F,4.7,2.5,9953,159,43,4267,14465,43009,23
2024-11-19,38,F,4.9,4.7,6188,391,59,1817,10309,31472,45
2024-10-24,22,M,2.0,1.7,1219,79,9,3231,13948,50230,40
2024-10-27,54,M,1.8,3.0,6908,295,76,3556,9033,66088,38
2024-10-28,59,F,4.2,4.7,3123,20,75,9110,6655,43534,18
2024-11-16,34,M,3.9,2.9,4931,248,45,1831,5064,75790,22
2024-10-23,42,F,1.3,4.0,1553,46,23,4839,3613,47897,13
2024-10-25,63,F,1.4,1.5,6030,375,66,4353,4526,95064,15
2024-10-20,58,F,4.1,2.9,1030,42,81,6563,11107,45068,3
2024-11-07,65,M,3.4,4.1,5387,137,64,7166,11972,33270,25
2024-10-25,26,F,4.8,2.9,9654,217,98,5859,12171,51141,50
2024-11-04,46,F,3.6,1.9,7209,160,1,7547,7493,11017,40
2024-11-12,68,M,2.8,2.0,7400,236,16,9556,13217,30650,49
2024-11-06,44,F,3.6,4.0,1264,153,62,1348,9194,58109,26
2024-10-31,34,M,3.2,3.0,9695,343,15,3912,2852,97160,20
2024-10-29,26,F,3.6,2.7,9551,447,15,6213,479,21069,42
2024-10-20,27,M,3.6,4.9,3337,214,54,1939,11499,12569,15
2024-11-02,20,F,3.2,1.7,3102,494,48,8652,10444,19110,10
2024-11-19,63,F,3.5,4.6,2780,15,9,7908,12670,88990,5
2024-10-25,28,M,1.3,1.5,5634,48,85,2022,8822,67652,15
2024-11-13,43,M,4.5,4.0,7680,385,99,6009,6659,50922,10
2024-11-08,29,M,3.3,2.0,7667,368,40,6588,2751,68666,37
2024-11-15,18,F,1.9,2.2,2674,173,89,7725,14164,85318,23
2024-10-29,22,M,2.5,4.0,8832,91,43,9331,13524,99971,9
2024-11-04,21,F,2.7,3.0,9289,46,56,7908,13117,63411,47
2024-11-15,60,M,1.7,1.3,2638,298,79,1149,6411,41027,36
2024-11-17,37,M,2.0,4.3,5101,144,33,7343,640,98972,0
2024-11-13,70,M,3.7,4.4,8996,197,90,3102,1704,69544,49
2024-11-19,33,M,1.8,4.3,6398,482,100,4349,2399,50602,30
2024-11-11,26,F,1.9,1.7,1977,148,48,154,171,61909,45
2024-11-16,49,M,1.9,1.3,9184,32,38,8231,13715,42958,20
2024-10-31,46,M,3.5,3.9,4534,263,37,3255,4292,69180,0
2024-10-24,27,M,4.2,3.2,5472,452,60,3154,153,70706,1
2024-11-12,52,F,1.4,4.2,3111,124,87,252,2960,53282,13
2024-10-31,38,M,4.2,1.6,6824,329,52,4288,1276,27900,46
2024-10-30,62,F,1.1,2.1,6757,40,98,5271,6448,65180,30
2024-10-25,30,F,4.8,4.8,9811,464,75,9622,3100,49777,34
2024-11-15,23,F,4.3,2.0,6378,74,76,7767,921,70602,15
2024-11-19,61,M,3.0,1.9,4581,233,60,3176,4738,66830,36
2024-11-07,61,F,4.1,3.0,7517,337,100,9885,1141,84442,43
2024-10-30,64,F,1.8,3.7,7163,498,1,4760,5739,74126,14
2024-10-28,18,M,2.1,1.8,1060,397,57,8068,275,22746,50
2024-10-24,57,M,2.1,3.4,2403,161,5,8548,4222,43797,22
2024-11-01,60,M,3.0,3.0,3347,390,28,1940,3222,98023,48
2024-10-21,21,F,3.0,1.5,1859,124,0,981,9659,58493,40
2024-11-19,42,M,2.5,2.4,9614,304,90,7259,9227,36529,50
2024-10-21,35,F,3.1,4.8,5962,373,9,6498,12546,46469,12
2024-11-16,63,M,4.3,2.0,2951,340,49,4193,9511,71088,15
2024-10-24,41,M,3.8,3.9,7249,490,61,7904,8121,19298,42
2024-11-12,32,F,2.3,3.8,8506,48,4,6103,11055,50166,2
2024-11-20,23,F,4.4,4.9,9489,31,72,2398,14005,71099,15
2024-10-26,57,F,3.9,4.4,7824,439,44,2430,7281,89032,35
2024-10-27,32,M,3.4,1.3,5851,304,39,3654,4411,94176,41
2024-10-26,62,F,4.1,3.7,5049,390,17,3612,1323,60664,20
2024-10-30,69,F,4.4,2.1,3880,229,90,9111,3665,16951,49
2024-10-30,28,F,1.7,1.1,3392,291,11,6319,13347,12017,43
2024-11-02,52,F,4.1,2.9,2361,422,100,1341,551,17047,3
2024-11-15,66,M,2.2,4.6,8154,9,95,6677,255,35210,19
2024-11-02,66,M,4.1,4.0,6530,102,24,5830,11434,30454,40
2024-11-17,18,M,4.8,4.7,2845,47,41,907,7651,69120,40
2024-11-08,33,F,2.2,3.6,8564,334,88,4558,12273,23678,21
2024-10-22,47,M,4.4,1.2,8299,48,48,229,12164,44051,17
2024-10-29,22,F,2.6,1.3,3258,169,39,5422,6967,82698,19
2024-10-22,57,M,5.0,3.1,8084,259,26,5247,8914,25308,46
2024-11-17,19,M,2.0,4.6,5564,150,50,8361,9665,25816,28
2024-11-09,65,M,2.1,2.4,1638,204,93,814,3257,30891,24
2024-10-29,36,M,2.9,3.3,3723,319,11,2949,2335,52638,32
2024-11-17,56,M,2.0,2.9,8944,464,73,3594,3155,16672,27
2024-10-23,40,F,3.4,4.2,5525,437,78,4154,3793,63978,36
2024-10-20,25,F,4.7,2.1,2464,469,8,5040,1391,35837,32
2024-11-06,45,F,2.5,4.1,8607,334,14,7756,6864,51482,46
2024-10-23,55,M,2.5,4.8,6966,453,62,3157,11783,34215,31
2024-10-30,52,M,4.0,3.7,8055,114,98,1194,12865,44155,21
2024-11-10,62,F,3.0,1.7,6671,163,91,1467,5807,10165,34
2024-10-31,61,M,4.4,3.4,6932,399,95,2609,12184,45011,21
2024-11-09,23,M,3.5,1.6,3949,189,100,9277,12889,34054,35
2024-10-27,62,F,4.3,4.3,1433,51,59,5584,4919,53530,35
2024-11-03,56,F,1.6,1.3,9354,5,1,4863,1944,11429,19
2024-11-07,28,M,2.1,2.7,2494,415,97,1484,9416,12365,50
2024-11-06,39,M,1.1,2.7,4304,81,35,4377,3051,40581,26
2024-11-07,62,M,4.1,2.4,7421,372,7,1098,3057,88320,30
2024-11-19,55,M,1.3,3.8,7981,45,11,8642,8570,34344,37
2024-11-12,31,F,1.3,2.6,8779,463,11,6577,2329,51514,28
2024-10-22,32,F,4.2,2.3,7732,232,90,1085,14512,14874,22
2024-10-27,45,F,3.9,3.8,3631,11,72,2664,4719,92833,7
2024-11-18,23,M,3.0,2.6,4095,403,2,9126,5979,31147,6
2024-11-11,55,M,2.5,4.9,8311,359,23,6570,11357,96580,22
2024-11-13,38,M,2.7,1.4,5035,239,13,5313,13632,16608,21
2024-11-03,18,F,4.0,2.8,6588,200,6,7016,4911,81618,23
2024-11-05,47,F,2.2,3.7,9173,178,10,5702,6292,16468,34
2024-10-22,67,F,1.5,3.0,2720,259,19,6792,14822,24746,36
2024-10-30,31,M,3.8,3.4,7784,169,97,4836,10649,46155,27
2024-10-22,38,M,4.4,4.7,2142,201,88,2760,2643,98927,30
2024-10-20,40,F,2.2,1.2,2579,248,44,9714,6320,82854,37
2024-11-16,48,F,1.7,2.5,9406,23,95,185,5985,48496,33
2024-10-25,39,F,4.6,1.8,1237,39,37,9875,12564,46136,15
2024-11-14,58,F,3.3,3.4,6746,386,62,2047,1310,13181,20
2024-11-18,33,M,4.0,4.6,6627,163,83,1377,6309,70198,47
2024-11-19,32,M,4.2,1.3,8938,472,16,5275,640,78830,16
2024-11-03,49,F,4.0,2.3,6965,416,57,4435,3597,89063,6
2024-11-15,55,F,2.4,2.4,5039,284,55,8810,11423,94041,11
2024-11-19,57,M,3.4,2.0,4662,17,6,9011,4891,31850,21
2024-11-15,66,F,1.7,3.6,6912,61,76,3433,11677,84575,20
2024-10-30,37,F,3.5,3.8,9495,192,42,7386,10181,82650,48
2024-10-30,26,F,4.4,2.5,2577,219,74,1510,8719,86202,49
2024-10-26,57,F,3.9,4.3,5053,348,72,2951,10252,88563,13
2024-10-27,56,F,3.8,1.7,5815,454,24,545,14082,64591,24
2024-10-30,69,M,4.2,4.0,5937,8,35,3160,14960,88333,8
2024-11-03,37,M,2.1,4.2,1905,351,21,6109,8979,77162,16
2024-11-08,25,M,2.9,4.8,2009,378,86,3320,6417,22224,34
2024-11-02,22,M,2.8,2.3,7896,284,64,6510,5202,46974,5
2024-11-06,35,M,4.0,2.3,7072,346,44,1568,3723,64786,29
2024-11-10,54,M,2.1,2.5,4230,22,6,8067,13659,56989,25
2024-10-23,46,F,4.2,3.9,7625,293,97,2660,2023,22556,24
2024-11-01,27,F,4.5,3.5,4249,360,55,4431,3125,31533,14
2024-11-19,47,M,3.8,1.9,9703,301,88,309,13002,34824,6
2024-10-20,24,F,4.6,2.0,2119,445,52,6916,12519,26212,41
2024-11-12,39,M,3.5,1.2,7740,226,3,9877,1402,43862,21
2024-10-24,27,M,2.1,4.2,6299,479,96,4216,3045,21474,11
2024-11-03,60,F,1.7,4.1,9709,497,90,2406,10188,32385,21
2024-11-14,21,F,4.2,4.2,9545,116,22,610,12335,62197,23
2024-10-28,22,F,1.3,1.1,3591,62,63,4737,13554,52281,44
2024-11-07,56,M,3.0,3.4,8703,139,70,3257,4904,22971,7
2024-10-24,42,M,2.3,3.8,3747,12,67,6799,2500,44120,39
2024-10-31,40,M,4.5,2.9,3991,136,83,5974,1723,62703,13
2024-11-12,46,M,4.3,4.4,1540,238,81,4094,9319,51142,19
2024-10-22,67,F,4.6,3.4,1926,227,99,6494,12552,38211,39
2024-10-27,25,M,4.7,1.1,8725,91,23,7630,7131,73669,32
2024-11-07,18,M,2.3,2.3,9344,285,97,7416,10452,27436,24
2024-10-27,32,F,1.8,3.0,1781,260,23,3965,5879,35984,46
2024-10-28,19,M,4.2,4.6,2820,420,94,6796,14678,51256,10
2024-11-06,26,M,3.3,1.9,9680,289,68,8936,11914,72856,13
2024-10-31,26,F,2.8,4.6,6315,86,54,2814,6535,64279,39
2024-11-10,28,M,2.4,3.1,8485,319,59,7319,10169,33128,13
2024-10-24,62,M,4.6,1.4,2476,341,68,1850,12784,76930,0
2024-10-21,62,F,2.9,3.4,1157,61,29,743,7634,93648,1
2024-11-10,58,M,2.8,1.5,5219,145,22,5517,2079,68140,27
2024-11-04,55,F,4.8,1.8,8975,397,3,985,5306,55968,26
2024-10-27,47,M,5.0,1.7,5139,202,64,8136,548,48856,43
2024-11-20,51,F,1.9,2.8,6611,340,55,867,8576,74657,24
2024-11-01,68,F,2.3,1.2,2811,200,38,9657,11516,55619,18
2024-10-20,56,F,2.6,3.9,2522,10,62,5725,4953,82021,10
2024-10-24,20,M,3.5,2.4,4073,436,1,3577,7370,58043,33
2024-10-27,25,F,4.7,1.4,2050,59,38,6230,840,94587,24
2024-10-23,39,M,4.5,3.3,7508,43,20,5100,12485,59948,45
2024-10-26,24,F,4.0,2.1,1918,177,69,4167,8189,81239,35
2024-11-07,19,M,2.4,2.9,1070,142,16,4511,11790,46787,47
2024-11-20,42,M,4.7,3.6,3800,360,73,4487,9236,15686,47
2024-11-19,46,M,1.3,1.7,6016,239,26,124,441,35451,49
2024-11-13,57,M,4.4,2.2,6431,350,93,7218,8772,25663,33
2024-11-09,67,F,2.8,3.3,7161,20,2,3382,4701,18324,48
2024-10-21,51,F,2.6,2.2,6536,142,20,9803,9469,12633,6
2024-10-28,59,M,4.1,3.9,3833,492,96,1753,9500,95924,26
2024-11-05,53,F,3.8,4.1,8790,350,68,5558,614,69180,27
2024-10-30,66,F,2.2,3.2,3979,340,74,6181,10561,96350,20
2024-10-26,33,M,3.5,3.1,6319,49,39,4889,1144,68100,40
2024-11-07,57,F,2.8,4.8,3181,257,89,6603,11044,60827,21
2024-11-17,65,F,4.7,2.2,6761,139,31,2369,3371,15002,46
2024-10-29,64,F,2.4,2.4,2008,291,33,2565,7791,72509,45
2024-11-17,35,M,1.9,2.1,3966,471,37,3618,7429,39796,49
2024-11-16,55,M,4.3,3.5,3596,107,65,9075,1164,48936,23
2024-10-25,48,M,3.3,4.2,8778,265,33,2946,10014,60732,41
2024-10-27,32,M,3.1,4.7,9345,131,32,1313,10349,69134,39
2024-11-17,60,F,1.6,1.2,7754,459,27,4394,14921,48768,33
2024-10-23,35,M,2.8,3.2,9281,27,32,2356,8426,74069,17
2024-10-26,27,M,4.8,2.8,6674,38,43,4677,4058,76462,43
