"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Clics en el enlace","Clics de otro tipo","Consumo de segmentación del público coincidente (Photo Click)","Consumo de segmentación del público coincidente (Video Click)","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio","CPM del anuncio (USD)","Comentarios negativos de los usuarios: Ocultar"
1248840863949910,100064720237286,"Alcaldía de Tuluá","🚧✨ #ElPodcastdeVélez | Episodio 33. Cuando los sueños se vuelven realidad.","🚧✨ #ElPodcastdeVélez | Episodio 33. Cuando los sueños se vuelven realidad.

En este episodio, el alcalde Gustavo Vélez entrega a la Fuerza Pública vehículos, elementos e insumos que reconocen su labor incansable en la seguridad de nuestro municipio y recorre junto a algunos concejales las obras que avanzan en Tuluá, especialmente el Intercambiador de la 40, una transformación que marcará el futuro de la Tuluá. 🎧 Escúchalo y entérate de cómo seguimos construyendo juntos el progreso de nuestro municipio.",519,"09/27/2025 10:01",auto,https://www.facebook.com/AlcaldiaDeTulua/videos/793109093303571/,1,0,Videos,,,,,Total,1612,1376,118,78,15,25,44,,44,,,20402.004,14.012,0,0,0,
1248158000684863,100064720237286,"Alcaldía de Tuluá","📚💙 ¡Nuestros docentes son inspiración!

Más de 1.000 maestros del Corazón del Valle se reunieron en el Coliseo de Ferias Manuel Victoria Rojas, para un exaltar su labor y recordar que su trabajo transforma vidas. 🌱✨ Con la participación del speaker Jeison Aristizábal sobre empoderamiento y superación personal, reconocimos el compromiso y entrega para la formación de niños y niñas de nuestro municipio.

Gracias maestros por ser la fuerza que transforma el futuro de Tuluá. #ParaSerFelices 🙌👩‍🏫👨‍🏫",,0,"09/26/2025 15:08",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0aDEUPmehYDaVc6Eyi9JMM96TJfCycpLNVoa5LjJhehoqPMHrLhcRGzaiTygatZSvl,0,0,Fotos,,,,,Total,11900,6543,110,90,5,15,1254,,387,867,,,,,,,
1247908527376477,100064720237286,"Alcaldía de Tuluá","¡Visitamos las obras que Transforman a Tuluá!🤩💪🏼

👷‍♂️🚧 El alcalde Gustavo Vélez, junto a varios honorables concejales, recorrió las obras que avanzan en nuestro municipio 🏗️✨.
Verificamos el estado de cada proyecto, mostrando cómo se transforman los espacios de Tuluá con el apoyo del Concejo Municipal 💙.

🤝 Trabajando en equipo y con el apoyo del Concejo Municipal, hacemos realidad las obras que modernizan a Tuluá y nos acercan al futuro… #ParaSerFelices 🌟","¡Visitamos las obras que Transforman a Tuluá!🤩💪🏼

👷‍♂️🚧 El alcalde Gustavo Vélez, junto a varios honorables concejales, recorrió las obras que avanzan en nuestro municipio 🏗️✨.
Verificamos el estado de cada proyecto, mostrando cómo se transforman los espacios de Tuluá con el apoyo del Concejo Municipal 💙.

🤝 Trabajando en equipo y con el apoyo del Concejo Municipal, hacemos realidad las obras que modernizan a Tuluá y nos acercan al futuro… #ParaSerFelices 🌟",45,"09/26/2025 08:01",N/A,https://www.facebook.com/reel/1168575161755431/,1,0,Reels,,,,,Total,7987,5990,255,157,34,64,199,,199,,,91811.525,12.902,0,0,,
1247351454098851,100064720237286,"Alcaldía de Tuluá","🚧 Tumbamos “La Casona” 🚨

Un espacio que por años fue foco de microtráfico, inseguridad y violencia en Tuluá empieza a ser historia.
Con el apoyo de la Policía Nacional, iniciamos la demolición de esta infraestructura antigua y en riesgo de colapso, arrancando de raíz un problema que afectaba la tranquilidad ciudadana. ✅✌🏽#ParaSerFelices","🚧 Tumbamos “La Casona” 🚨

Un espacio que por años fue foco de microtráfico, inseguridad y violencia en Tuluá empieza a ser historia.
Con el apoyo de la Policía Nacional, iniciamos la demolición de esta infraestructura antigua y en riesgo de colapso, arrancando de raíz un problema que afectaba la tranquilidad ciudadana. ✅✌🏽#ParaSerFelices",48,"09/25/2025 16:21",N/A,https://www.facebook.com/reel/805960411843361/,1,0,Reels,,,,,Total,13170,10128,342,220,14,108,303,,303,,,121476.067,10.128,0,0,,
1247185817448748,100064720237286,"Alcaldía de Tuluá","#Seguridad #Obras | Demolición de La Casona: un sector de microtráfico e inseguridad

Con una intervención que busca arrancar de raíz un problema de expendio de drogas, la Administración Municipal, inició el proceso de verificación de condiciones para la posterior demolición del segundo tramo de este sector denominado “La Casona”, que por años funcionó como foco de microtráfico, inseguridad y violencia en el municipio.

Lee la noticia completa:⬇⬇⬇
",,0,"09/25/2025 11:03",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid04wft5W3txm78GrCmkBDG6kr4HZRyAGty3qSug2f4uJnLo295Bvf3Au29Ud3LU6DYl,0,0,Enlaces,,,,,Total,2382,1370,50,39,1,10,40,34,6,,,,,,,,
1247185017448828,100064720237286,"Alcaldía de Tuluá","#Obras | Alcalde y concejales recorren las obras que transforman a Tuluá

Durante la visita, el mandatario socializó los avances del intercambiador vial de la carrera 40, destacando que ya se superaron las principales intervenciones de redes de acueducto, alcantarillado, energía, gas y telecomunicaciones, lo que permitirá acelerar la construcción de esta obra estratégica.

Lee la noticia completa:⬇⬇⬇
",,0,"09/25/2025 11:02",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0VV1LAsWcQQyBrmH8WC8B1Pnjye4e6oxyERe9QuyiTrmPDM1oceKF6Z39Fa9DybNol,0,0,Enlaces,,,,,Total,1944,1189,50,40,3,7,48,25,23,,,,,,,,1
1247184724115524,100064720237286,"Alcaldía de Tuluá","#SEDAMA | Recolección de residuos electrónicos en el Tercer día de la Semana Ambiental

El tercer día de la Semana Ambiental se vivió con una jornada dedicada a la Recolección de Aparatos Eléctricos y Electrónicos (RAE) que ya no se encuentran en uso, logrando convocar a más de 200 personas.

Lee la noticia completa:⬇⬇⬇
",,0,"09/25/2025 11:01",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02hNZKjJ1ShTxwmzCVoRGC5nNVVpPitXGjoXjQeDrWAnG9QkaJK8761nwNirteiKXcl,0,0,Enlaces,,,,,Total,3122,1920,69,54,0,15,75,61,14,,,,,,,,
1247135704120426,100064720237286,"Alcaldía de Tuluá","🚨 ¡Adiós a “La Casona”: un sector de microtráfico e inseguridad!

Hoy iniciamos la demolición del segundo tramo de este lugar que por años fue foco de violencia y expendio de drogas en Tuluá.
Con esta acción arrancamos de raíz un problema que tanto daño le hizo a nuestros jóvenes y protegemos la vida de quienes habitaban en una estructura con alto riesgo de colapso.

Seguimos recuperando espacios para la comunidad, devolviendo la tranquilidad y resignificando sectores que merecen un mejor futuro. #ParaSerFelices 💪✨",,0,"09/25/2025 09:47",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid07jjnj2SLppyAnqr3PpbXxha25thue36JiReEBTuNWzFoBqSXzQbVKVUqkc1i8kKil,0,0,Fotos,,,,,Total,55774,26468,512,394,57,61,7411,,3179,4232,,,,,,,
1246589497508380,100064720237286,"Alcaldía de Tuluá","Escribiendo los sueños de Gabriela✍️✨ 

Esta joven tulueña, amante de la escritura, fue la ganadora del concurso Tejiendo Letras, organizado por la @ucevacol y apoyado por la Alcaldía de Tuluá.

Con el respaldo de la Administración Municipal, hoy su obra será publicada 📖💫 y su historia comenzará a inspirar a muchas personas. 🌟 #ParaSerFelices","Escribiendo los sueños de Gabriela✍️✨ 

Esta joven tulueña, amante de la escritura, fue la ganadora del concurso Tejiendo Letras, organizado por la @ucevacol y apoyado por la Alcaldía de Tuluá.

Con el respaldo de la Administración Municipal, hoy su obra será publicada 📖💫 y su historia comenzará a inspirar a muchas personas. 🌟 #ParaSerFelices",56,"09/24/2025 18:48",uploaded,https://www.facebook.com/reel/808507164983431/,1,0,Reels,,,,,Total,4656,3228,257,212,9,36,62,,62,,,47122.735,11.382,0,0,,
1246518384182158,100064720237286,"Alcaldía de Tuluá","🚧 Recorriendo las obras que transforman a Tuluá

El alcalde @gustavovelezr, junto a honorables concejales visitaron los avances del intercambiador de la carrera 40 y otras obras estratégicas que modernizan la ciudad con:

✅ Recursos 100% municipales
✅ Mano de obra tulueña
✅ Proyectos que generan desarrollo y competitividad

💪 Porque juntos construimos la Tuluá del futuro. #ParaSerFelices 🌟",,0,"09/24/2025 16:24",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0227RCsU2hGHNiQi9Aw2B67M8vCDN32xRF4pFuXhCLH74FtwyCoNa8SrGUXvkSPK16l,0,0,Fotos,,,,,Total,15943,8031,233,169,31,33,1617,,657,960,,,,,,,
1246322080868455,100064720237286,"Alcaldía de Tuluá","#Obras | Avanza un 30% primera fase del intercambiador de la carrera 40.

La obra del intercambiador de la carrera 40 avanza de manera continua, alcanzando el 30% de ejecución en su primera fase. 

Lee la noticia completa:⬇⬇⬇
",,0,"09/24/2025 10:22",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0fHfSSAR6RYvv6aoBgFyPKeRZhXy4P6Xxz3errPQJ3a1oXSbZ26qWJ949ivzbNkbJl,0,0,Enlaces,,,,,Total,3363,2060,47,36,1,10,88,77,11,,,,,,,,
1246321674201829,100064720237286,"Alcaldía de Tuluá","#BienestarSocial | Tuluá conmemora la Semana Internacional de las Personas Sordas con jornadas de sensibilización.

En el marco de la conmemoración de la Semana Internacional de las Personas Sordas, la Administración Municipal que lidera el ingeniero Gustavo Adolfo Vélez Román adelantó una campaña de sensibilización en diferentes Entidades Promotoras de Salud (EPS) de Tuluá, entre ellas Sanitas, Emssanar y Nueva EPS.

Lee la noticia completa:⬇⬇⬇
",,0,"09/24/2025 10:22",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0oXZqb38ryFe77nT1wNY36aY4AeUbsZStPrwhEuMA6c1A2tBwiVhbJqKafeKaJdgEl,0,0,Enlaces,,,,,Total,1406,892,29,22,0,7,10,9,1,,,,,,,,
1246321177535212,100064720237286,"Alcaldía de Tuluá","🎒✨ ¡Pusimos a estrenar a nuestros estudiantes de zona rural!

Más de 700 mesas y sillas y 22 tableros llegaron a las instituciones educativas Aguaclara, Julio César Zuluaga de Tres Esquinas y Jovita Santacoloma de Nariño. 🙌Gracias al compromiso del alcalde @gustavovelezr y la Secretaría de Educación, hoy nuestros niños y jóvenes cuentan con aulas más dignas y con mejores herramientas para recibir una educación de calidad. 📚💙

Con esta entrega ya son 4 instituciones educativas rurales beneficiadas… ¡y vamos por más! 🚀
Porque invertir en la educación rural es invertir en el futuro de Tuluá. 🌱
#ParaSerFelices","🎒✨ ¡Pusimos a estrenar a nuestros estudiantes de zona rural!

Más de 700 mesas y sillas y 22 tableros llegaron a las instituciones educativas Aguaclara, Julio César Zuluaga de Tres Esquinas y Jovita Santacoloma de Nariño. 🙌Gracias al compromiso del alcalde @gustavovelezr y la Secretaría de Educación, hoy nuestros niños y jóvenes cuentan con aulas más dignas y con mejores herramientas para recibir una educación de calidad. 📚💙

Con esta entrega ya son 4 instituciones educativas rurales beneficiadas… ¡y vamos por más! 🚀
Porque invertir en la educación rural es invertir en el futuro de Tuluá. 🌱
#ParaSerFelices",54,"09/24/2025 10:21",N/A,https://www.facebook.com/reel/772755262043559/,1,0,Reels,,,,,Total,1524,1029,87,64,2,21,14,,14,,,8775.28,6.304,0,0,,
1246319290868734,100064720237286,"Alcaldía de Tuluá","#Seguridad | Alcalde Gustavo Vélez invierte más de 1.800 millones en equipos de seguridad para la Fuerza Pública.

En un acto conmemorativo, el alcalde de Tuluá, Gustavo Adolfo Vélez Román, realizó la entrega de un importante parque automotriz y suministros a la Policía Nacional, el Ejército Nacional y la Fiscalía General de la Nación, con el propósito de fortalecer la seguridad y la convivencia ciudadana en el municipio.

Lee la noticia completa:⬇⬇⬇
",,0,"09/24/2025 10:18",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0378MRC9k91Mu2jE2rjKFcRGQcnj7h5xVR8gP7GVceuE52h83vhNoMKqK3jyv6BaWNl,0,0,Enlaces,,,,,Total,4636,2634,118,81,18,19,78,37,41,,,,,,,,
1245638410936822,100064720237286,"Alcaldía de Tuluá","🌟✨ ¡Llegó tu momento de brillar! ✨🌟

Si tienes más de 18 años, puedes hacer parte del Festival María Antonia Ruiz. Participa ahora del casting para AfroModel 2025, la primera versión del desfile de moda afro más grande de Tuluá. 🖤👗

📅 01 de octubre
🕓 4:00 p. m.
📍 Bienestar Social – Barrio Chiminangos

Demuestra tu talento, tu estilo y tu esencia afro. 🔥💃🏿 👉 Más info: 317 7289258",,0,"09/23/2025 15:59",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0zkZvV97QyoAd1Xu1zsFF9reJwJVCUeeB3KjJRgy9KhBumuQf78JAwBjBR9ikyzGNl,0,0,Fotos,,,,,Total,1865,1147,43,34,1,8,10,,5,5,,,,,,,
1245473430953320,100064720237286,"Alcaldía de Tuluá","🚔💪 Alcalde Gustavo Vélez entrega 4 vehículos a la Fuerza Pública para fortalecer la seguridad en Tuluá 

Hoy se realizó la primera entrega de este parque automotriz, combustible y dotación a la Fiscalía ⚖️, Ejército 🇨🇴 y Policía Nacional 👮, con el propósito de garantizar la tranquilidad y el bienestar de todos los tulueños. 👉 Todo esto, en pro de entregar herramientas e implementos que garanticen la seguridad de nuestro municipio. #ParaSerFelices 🌟",,0,"09/23/2025 10:42",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid087oJ3xtpMZ9L3wWvHH4XZHme6E41HtcfiBbdeMG5RBF8fPg7whnNxHBYAJvgWRjGl,0,0,Fotos,,,,,Total,42998,18836,664,341,116,207,4580,,2103,2477,,,,,,,
1244774274356569,100064720237286,"Alcaldía de Tuluá","#SEDAMA | La Décima Semana Ambiental inició con sembratón en el Parque de la Familia.

La Semana Ambiental, en su décima versión, dio inicio con una sembratón en el Parque de la Familia, con 30 especies ornamentales que estarán embelleciendo este espacio para los tulueños. 

Lee la noticia completa: ⬇⬇⬇
",,0,"09/22/2025 15:52",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0HMNAm5kgvBuD2iQUKZ4hjKPkCzNkqDDXNCfpkyDKAqHWRmy8bs6NqXXfwoubR9ccl,0,0,Enlaces,,,,,Total,2836,1808,51,38,3,10,49,25,24,,,,,,,,
1244770607690269,100064720237286,"Alcaldía de Tuluá","#Noticias | Tuluá refuerza la recolección de residuos con dos nuevos camiones.

Gracias al trabajo articulado entre la Administración Municipal, Empresas Municipales de Tuluá y la empresa Veolia, se entregaron al municipio dos nuevos vehículos recolectores de basura, con el fin de fortalecer la prestación del servicio de aseo y garantizar un entorno más limpio y saludable para todos los tulueños.

Lee la noticia completa:⬇⬇⬇
",,0,"09/22/2025 15:43",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid07Vm3AKUHqJveJyLJ1tNGUjA8t4JXoAYMhNGp3Wvj1e43ztCFinX5hurBdMctL7PJl,0,0,Enlaces,,,,,Total,5783,3860,71,47,15,9,122,35,87,,,,,,,,
1244770311023632,100064720237286,"Alcaldía de Tuluá","#SEDAMA | Tuluá celebra la 10ª Semana Ambiental

Del 22 al 27 de septiembre, Tuluá vivirá la décima Semana Ambiental, una agenda que reúne actividades académicas, culturales y comunitarias tanto en la zona urbana como en la rural, con actividades como sembratón, recolección de residuos, jornadas de limpieza en el campo y encuentros campesinos que fortalecen la conciencia y el compromiso con el medio ambiente.

Lee la noticia completa: ⬇⬇⬇
",,0,"09/22/2025 15:42",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02GgGSp527HshrZM9JqAF6zaPci4nku5jbD1AambWkLuyUL2yS89j9bh2xxGvyXQpSl,0,0,Enlaces,,,,,Total,953,628,25,21,0,4,5,5,,,,,,,,,
1244769841023679,100064720237286,"Alcaldía de Tuluá","#BienestarSocial | Tuluá realiza encuentro de nutrición y bienestar para 100 niños.

Cien niños y niñas de Tuluá, en compañía de sus madres cabeza de hogar, participaron de una jornada dedicada al cuidado de la salud y la nutrición en la primera infancia. 

Lee la noticia completa:⬇⬇⬇
",,0,"09/22/2025 15:42",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid03nwhBfubjHxEQ5ZSzvRrtig8oKXYT17PayzJgCDYrzCmB3ufUpEZ6KoqdaC1w1ohl,0,0,Enlaces,,,,,Total,1706,1121,34,27,0,7,1,,1,,,,,,,,
1244604434373553,100064720237286,"Alcaldía de Tuluá","🌿✨ ¡La Décima Semana Ambiental ya comenzó!

Iniciamos con una gran sembratón en el 📍Parque de la Familia, donde plantamos 30 especies ornamentales que embellecerán este espacio emblemático de Tuluá. 🌳💚 Este es solo el comienzo de una semana llena de actividades para cuidar nuestro planeta: conversatorios, jornadas de recolección de residuos, encuentros culturales y mucho más. 🌎♻️

👉 Súmate y vive con nosotros la Semana Ambiental 2025.  #ParaSerFelices 🌱🌍","🌿✨ ¡La Décima Semana Ambiental ya comenzó!

Iniciamos con una gran sembratón en el 📍Parque de la Familia, donde plantamos 30 especies ornamentales que embellecerán este espacio emblemático de Tuluá. 🌳💚 Este es solo el comienzo de una semana llena de actividades para cuidar nuestro planeta: conversatorios, jornadas de recolección de residuos, encuentros culturales y mucho más. 🌎♻️

👉 Súmate y vive con nosotros la Semana Ambiental 2025.  #ParaSerFelices 🌱🌍",48,"09/22/2025 10:24",auto,https://www.facebook.com/reel/1252844746611272/,1,0,Reels,,,,,Total,978,720,52,39,2,11,12,,12,,,5005.041,5.604,0,0,,
1243024911198172,100064720237286,"Alcaldía de Tuluá","#Noticias | Desde el @labssummit 2025 con la magia 🪄 de @frank.ilusionista te traemos las noticias más importantes de la semana en el nuevo episodio de 45 Segundos #ParaSerFelices 🤩✌🏽","#Noticias | Desde el @labssummit 2025 con la magia 🪄 de @frank.ilusionista te traemos las noticias más importantes de la semana en el nuevo episodio de 45 Segundos #ParaSerFelices 🤩✌🏽",98,"09/20/2025 16:18",N/A,https://www.facebook.com/reel/686139523848646/,1,0,Reels,,,,,Total,1338,1159,45,32,2,11,23,,23,,,9155.396,7.347,0,0,,
1242808591219804,100064720237286,"Alcaldía de Tuluá","🎙️#ElPodcastdeVélez | Episodio 32: Diciendo y Haciendo.","🎙️#ElPodcastdeVélez | Episodio 32: Diciendo y Haciendo. 

En este episodio, Santiago nos pone al día con todo lo que pasó en Tuluá durante la semana: la visita del alcalde Gustavo Vélez a la PTAP de Nariño, que permitirá a la comunidad acceder a agua potable 24/7, la participación de los tulueños en la actualización del Plan de Ordenamiento Territorial, la vibrante jornada del Labs Summit, un espacio que conectó lo mejor del eCommerce, el marketing digital y el networking y mucho más.",724,"09/20/2025 09:57",auto,https://www.facebook.com/AlcaldiaDeTulua/videos/1924443371735723/,0,0,Videos,,,,,Total,2076,1815,134,86,25,23,50,,50,,,24097.585,12.983,0,0,0,
