"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo",REELS_PLAYS:COUNT,"Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio"
935816938585639,100064720237286,"Alcaldía de Tuluá","¡ENCUENTROS CON EL ALCALDE!💙

Bienvenidos a este espacio de diálogo con nuestra comunidad #ParaSerFelices 🙌🏽","¡ENCUENTROS CON EL ALCALDE!💙

Bienvenidos a este espacio de diálogo con nuestra comunidad #ParaSerFelices 🙌🏽",0,"08/23/2024 11:08",N/A,https://www.facebook.com/reel/1219518385888051/,1,0,Reels,,,,,Total,941,800,23,19,2,2,0,,,5,9.162,3.054,0,0
1549356692681817,100064720237286,"Alcaldía de Tuluá","¡Encuentros con el alcalde! ✅💙🗣️","¡Encuentros con el alcalde! ✅💙🗣️

Bienvenidos a este espacio creado para la comunidad. Hoy hablaremos de diferentes temas e interactuaremos con nuestra comunidad tulueña. ¡Vamos a construir una Tuluá #ParaSerFelices! �@[783956240438377:49210:@seguidores]r@[815630467270954:49210:@fans destacados]dos",4111,"08/23/2024 10:08",uploaded,https://www.facebook.com/AlcaldiaDeTulua/videos/1549356692681817/,0,0,"En vivo",,,,,Total,,4150,569,378,140,51,,,,8036,342479.484,50.843,0,
935225378644795,100064720237286,"Alcaldía de Tuluá","¡Hoy se radica el proyecto de Papayazo Tributario!✅💪🏼

Desde la Administración Municipal se implementará a partir del mes de septiembre esta iniciativa para reducir las cargas tributarias de los tulueños y ofrecerles mayores beneficios. 🙌

Continuamos trabajando por una Tuluá #ParaSerFelices 💙","¡Hoy se radica el proyecto de Papayazo Tributario!✅💪🏼

Desde la Administración Municipal se implementará a partir del mes de septiembre esta iniciativa para reducir las cargas tributarias de los tulueños y ofrecerles mayores beneficios. 🙌

Continuamos trabajando por una Tuluá #ParaSerFelices 💙",60,"08/22/2024 15:08",uploaded,https://www.facebook.com/reel/519030307271705/,1,0,Reels,,,,,Total,1719,1556,115,79,12,24,0,,,2945,35163.096,13.719,0,0
934283092072357,100064720237286,"Alcaldía de Tuluá","¡Una nueva era para Tuluá! 🙌🏽💙

Con el liderazgo del alcalde Gustavo Vélez, estamos escribiendo un nuevo capítulo en la historia de nuestro municipio. Desde la Administración Municipal, hemos iniciado con la ejecución de las obras y proyectos que transformarán la vida de nuestros ciudadanos. ✅

¡Estamos construyendo un futuro mejor, con más oportunidades para todos! #ParaSerFelices 💪🏼💙","¡Una nueva era para Tuluá! 🙌🏽💙

Con el liderazgo del alcalde Gustavo Vélez, estamos escribiendo un nuevo capítulo en la historia de nuestro municipio. Desde la Administración Municipal, hemos iniciado con la ejecución de las obras y proyectos que transformarán la vida de nuestros ciudadanos. ✅

¡Estamos construyendo un futuro mejor, con más oportunidades para todos! #ParaSerFelices 💪🏼💙",66,"08/21/2024 07:08",uploaded,https://www.facebook.com/reel/966225541970224/,1,0,Reels,,,,,Total,2753,2559,277,213,37,27,0,,,5201,93362.233,20.825,0,0
933683392132327,100064720237286,"Alcaldía de Tuluá","¡Tuluá Avanza con Esperanza, Justicia y Seguridad en Marcha!🙌🏽💙

El alcalde, @gustavovelezr, comparte el esfuerzo incansable de la Administración Municipal y autoridades para recuperar la tranquilidad que merecemos. 🙌 Con la captura de 15 individuos responsables de diferentes actos atroces a lo largo de este año, la justicia está avanzando y la seguridad de nuestros ciudadanos está siendo priorizada. Continuaremos trabajando para mostrar más resultados y mejorar las condiciones para nuestra comunidad tulueña.

💪 Juntos, seguimos trabajando por una Tuluá más segura y en paz. 🌟✨#ParaSerFelices 💙","¡Tuluá Avanza con Esperanza, Justicia y Seguridad en Marcha!🙌🏽💙

El alcalde, @gustavovelezr, comparte el esfuerzo incansable de la Administración Municipal y autoridades para recuperar la tranquilidad que merecemos. 🙌 Con la captura de 15 individuos responsables de diferentes actos atroces a lo largo de este año, la justicia está avanzando y la seguridad de nuestros ciudadanos está siendo priorizada. Continuaremos trabajando para mostrar más resultados y mejorar las condiciones para nuestra comunidad tulueña.

💪 Juntos, seguimos trabajando por una Tuluá más segura y en paz. 🌟✨#ParaSerFelices 💙",144,"08/20/2024 10:08",uploaded,https://www.facebook.com/reel/1054848706292938/,1,0,Reels,,,,,Total,2606,2480,134,102,14,18,0,,,4412,61357.886,17.158,0,0
932359672264699,100064720237286,"Alcaldía de Tuluá","¡El arte y la cultura se tomaron a Tuluá este fin de semana!🎭💃🏽🎶

Este sábado, se llevó a cabo la jornada ""Corazón del Paraíso"", donde nuestro municipio tuvo un derroche de conversatorios con la comunidad, presentaciones artísticas y culturales en diferentes categorías.💪🏼

Con estos espacios, fortalecemos el poder del arte en nuestra comunidad tulueña para convertirla en un lugar #ParaSerFelices 💙","¡El arte y la cultura se tomaron a Tuluá este fin de semana!🎭💃🏽🎶

Este sábado, se llevó a cabo la jornada ""Corazón del Paraíso"", donde nuestro municipio tuvo un derroche de conversatorios con la comunidad, presentaciones artísticas y culturales en diferentes categorías.💪🏼

Con estos espacios, fortalecemos el poder del arte en nuestra comunidad tulueña para convertirla en un lugar #ParaSerFelices 💙",42,"08/18/2024 14:08",uploaded,https://www.facebook.com/reel/1458315144849045/,0,0,Reels,,,,,Total,1572,1418,45,34,1,10,0,,,1876,9796.53,5.695,0,0
931686935665306,100064720237286,"Alcaldía de Tuluá","Diálogos Vallecaucanos: Uniendo voces en Tuluá 🗣️

La @gobvalle llegó a Tuluá para escuchar y compartir con todos los tulueños🤝. Juntos, exploramos ideas y soluciones para impulsar el progreso  del corazón del Valle❤️💡

Trabajamos codo a codo para abordar desafíos y aprovechar oportunidades, fortaleciendo así el tejido social y económico de nuestra querida Tuluá 🙌🏽🫶🏽

¡Juntos podemos hacer la diferencia #ParaSerFelices !💙",,0,"08/17/2024 16:08",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0uS3g1Jns45Ra5NkU6SGRs3trug5kYnR2Vb8BJyQDSUfUYWu2jGpVQfod52TThRhdl,0,0,Fotos,,,,,Total,7709,7031,124,92,12,20,976,755,221,,,,,
930974839069849,100064720237286,"Alcaldía de Tuluá","¡Tuluá más limpia!🫧💙 

Desde la Administración Municipal, en cabeza del alcalde Gustavo Vélez, iniciamos las jornadas de limpieza y embellecimiento de nuestro municipio de la mano de EMTULUÁ, SEDAMA y Secretaría de Hábitat e Infraestructura.

Con estas jornadas, re afirmamos nuestro compromiso por mantener nuestro hogar limpio y seguro para todos #ParaSerFelices 💪🏼✅","¡Tuluá más limpia!🫧💙 

Desde la Administración Municipal, en cabeza del alcalde Gustavo Vélez, iniciamos las jornadas de limpieza y embellecimiento de nuestro municipio de la mano de EMTULUÁ, SEDAMA y Secretaría de Hábitat e Infraestructura.

Con estas jornadas, re afirmamos nuestro compromiso por mantener nuestro hogar limpio y seguro para todos #ParaSerFelices 💪🏼✅",33,"08/16/2024 14:08",N/A,https://www.facebook.com/reel/1039856874299656/,1,0,Reels,,,,,Total,1483,1295,83,58,15,10,0,,,2220,12025.588,5.869,0,0
1039567081060568,100064720237286,"Alcaldía de Tuluá","¡Encuentros con el Alcalde!🙌","Bienvenidos a este espacio de diálogo con nuestro alcalde @[100050197852350:2048:Gustavo Vélez], para interactuar con nuestra comunidad. #ParaSerFelices 💙💪",3087,"08/16/2024 10:08",uploaded,https://www.facebook.com/AlcaldiaDeTulua/videos/1039567081060568/,0,0,"En vivo",,,,,Total,,4734,778,524,159,95,,,,8224,398573.096,57.572,0,
929462335887766,100064720237286,"Alcaldía de Tuluá","¡Estamos transformando a Tuluá!💙✅🚀💪🏼

Desde la Administración Municipal iniciamos con la ejecución de las acciones dentro del Plan de Desarrollo, hoy continuamos impulsando el cambio positivo, mejorando la calidad de vida de los ciudadanos y conectando a nuestro municipio, convirtiéndolo en un lugar más seguro y próspero.

 Un futuro mejor es posible en una Tuluá #ParaSerFelices ✅💙",,0,"08/14/2024 12:08",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0Yu14aFHt6ZxgWsJBZm2YVo8gdjmjC9nduW5FvAPZUA8oJGQhRPECADcm9F5y4YJrl,0,0,Fotos,,,,,Total,6605,6532,271,187,30,54,3643,3047,596,,,,,
925915452909121,100064720237286,"Alcaldía de Tuluá","Alcaldía de Tuluá actualizó su foto de portada.",,0,"08/09/2024 08:08",N/A,https://www.facebook.com/photo.php?fbid=925915452909121&set=a.404265015074170&type=3,0,0,Fotos,,,,,Total,1003,947,88,63,16,9,17,5,12,,,,,
924166033084063,100064720237286,"Alcaldía de Tuluá","¡Apertura de vías en nuestro municipio!✅

Desde la Administración Municipal a través de la Secretaría de Gobierno y el Departamento Administrativo de Movilidad y Seguridad Vial en trabajo articulado con la Policía Nacional, se da apertura a partir de la fecha a las vías que se encontraban cerradas por seguridad. Después de un gran análisis, se reactivará la movilidad por dichas vías devolviendo estos espacios totalmente iluminados y limpios para el uso de nuestra comunidad. 

Continuamos trabajando por una Tuluá#ParaSerFelices 💪🏼💙","¡Apertura de vías en nuestro municipio!✅

Desde la Administración Municipal a través de la Secretaría de Gobierno y el Departamento Administrativo de Movilidad y Seguridad Vial en trabajo articulado con la Policía Nacional, se da apertura a partir de la fecha a las vías que se encontraban cerradas por seguridad. Después de un gran análisis, se reactivará la movilidad por dichas vías devolviendo estos espacios totalmente iluminados y limpios para el uso de nuestra comunidad. 

Continuamos trabajando por una Tuluá#ParaSerFelices 💪🏼💙",78,"08/06/2024 18:08",uploaded,https://www.facebook.com/reel/1622215735347244/,0,0,Reels,,,,,Total,2604,2041,118,90,13,15,0,,,4281,54083.89,13.864,0,0
923472076486792,100064720237286,"Alcaldía de Tuluá","¡No más barreras en nuestro municipio!✅💪🏼

Llegan los Equipos Básicos de Salud (EBS) a Tuluá, ofreciendo servicios de calidad para las comunidad vulnerables. ⚕️💉🩺🥼

Tu salud es nuestra prioridad #ParaSerFelices 💙","¡No más barreras en nuestro municipio!✅💪🏼

Llegan los Equipos Básicos de Salud (EBS) a Tuluá, ofreciendo servicios de calidad para las comunidad vulnerables. ⚕️💉🩺🥼

Tu salud es nuestra prioridad #ParaSerFelices 💙",39,"08/05/2024 17:08",uploaded,https://www.facebook.com/reel/1016785766719797/,1,0,Reels,,,,,Total,1675,1232,65,43,5,17,0,,,2608,12591.984,5.22,0,0
