"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Reacciones,Comentarios,"Veces que se compartió","Total de clics",Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",REELS_PLAYS:COUNT,"Segundos reproducidos","Segundos en promedio reproducidos","Impresiones del anuncio","Clics de otro tipo","Consumo de segmentación del público coincidente (Photo Click)","Ingresos estimados (USD)","CPM del anuncio (USD)"
875024794664854,106810189450788,"Alcaldía de Tuluá",,"¡Te invitamos al Mercado Campesino!🎉💪🏼

Es hora de apoyar a nuestros comerciantes tulueños cada martes y viernes en un espacio para todos.💙🍓🍅🍌🐔 ¡Te esperamos!✅ #ParaSerFelices",28,"05/23/2024 17:05",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02NigFY65nsWKPMbdNU9fHF58G1mRshzfkMTkFNKP4SsPdsE1z6bQx7MJzzzwt2Fwdl,1,0,"Reel de Facebook",,,,,Total,79,2,24,0,1999,1845,105,3492,20323.788,6.257,0,,,,
874736831360317,106810189450788,"Alcaldía de Tuluá",,"Queremos recuperar la confianza de la institucionalidad y lo hacemos con hechos. Con el apoyo de cada ciudadano, lograremos sacar adelante a nuestro municipio #ParaSerFelices 💙✅💪",39,"05/23/2024 06:05",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02ZFvh6RLNxJkt5xwf8NDg9RHPHrd6b5MH3ZbZ6ZZWwaYYvJ4M23C8ptwYmq5CDs6yl,0,0,"Reel de Facebook",,,,,Total,200,26,21,0,1973,1811,247,4462,45254.78,11.237,0,,,,
873616824805651,106810189450788,"Alcaldía de Tuluá",,"¡Ven y conoce el Centro Comercial Bicentenario Plaza! ✅
Te invitamos a que nos visites y conozcas toda la variedad a precios excelentes. Aquí lo encuentras TODO. Estamos ubicados en la calle 28 # 19-38 
¡Te esperamos!💪🏼 #ParaSerFelices💙",38,"05/21/2024 12:05",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0BwT51oV7YjwjcjNxnACT441Ae3C7V7DhCcYxHxb677xzrCVKavmXfqijfDpxR5jMl,1,0,"Reel de Facebook",,,,,Total,64,8,18,0,1886,1666,90,2793,17011.229,6.596,0,,,,
872952654872068,106810189450788,"Alcaldía de Tuluá",,"¡La educación es primero #ParaSerFelices!💙
En un trabajo liderado desde la Secretaría de Educación Municipal y en alianza con PISA, en este #LunesdelCampo, se realizó la entrega de kits escolares a los niños y niñas estudiantes de las Instituciones Educativas de la zona rural de nuestro municipio.💪✅ #Tuluá",25,"05/20/2024 12:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid026L18ndUZaCSfcZpaYcjdvneg4qnCRnFqa3hPsBhKKFJSD49FXHufhZ5pqfbBpa42l,0,0,"Reel de Facebook",,,,,Total,37,0,11,0,1353,1177,48,2275,10334.761,4.861,0,,,,
872759571558043,106810189450788,"Alcaldía de Tuluá",,"¡Nuestro compromiso con la población más saludable continúa!💙💪
Por medio del Instituto Municipal del Deporte y la Recreación, IMDER, llevamos a cabo con éxito, los diferentes programas con deportes disponibles para la población de todas las edades. ¿Qué esperas para hacer parte de estos espacios creados #ParaSerFelices?✅ #Tuluá",53,"05/20/2024 06:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0tJG3V27a4ScsTXXMYjf1urjf4HcQjYECw7nGdnoX1U7FeGBMxXSvMe5RfpuKqwckl,0,0,"Reel de Facebook",,,,,Total,26,2,12,0,1164,1011,40,1546,5554.524,3.781,0,,,,
871634468337220,106810189450788,"Alcaldía de Tuluá",,"En un despliegue institucional entre la Administración Municipal, Unidades Especiales de la Policía y el Ejército Nacional, se llevan a cabo unas estrategias operativas  en las zonas de la Balastrera y La Playita. 
Continuamos ratificando nuestro compromiso de garantizar la seguridad de todos los tulueños #ParaSerFelices ✅💪🏼",58,"05/18/2024 18:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0tLLPksTHhUeCqst4wx6wcfk65QLeP5BhBQCBBm9KJ8W43EV3nV6fpbaVodHMnJYdl,1,0,"Reel de Facebook",,,,,Total,152,12,20,0,3023,2843,184,5344,85240.779,18.713,0,,,,
871410101692990,106810189450788,"Alcaldía de Tuluá",,,0,"05/18/2024 10:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02anH3nNv41BnbhMaC9EXuURvQw2bUk4AVKQZVvh3wvMN8q4W9TEyB5daq8XE1cj5al,1,0,"Reel de Facebook",,,,,Total,85,15,5,0,1570,1390,105,0,0,0,0,,,,
871287918371875,106810189450788,"Alcaldía de Tuluá",,"Continuamos con este trabajo incansable por devolverle a nuestra población estos importantes espacios.✅💪🏼 Queremos transformar a Tuluá #ParaSerFelices 💙",44,"05/18/2024 06:05",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02ZfQYPzbvZAp6Zr1XdhTz9F4MdjDNEMbRGHXQcGKiLa2TTwFDXu6fK5D8gYXkH2ZRl,1,0,"Reel de Facebook",,,,,Total,50,0,5,0,1354,1301,55,1846,15992.661,9.418,0,,,,
870694428431224,106810189450788,"Alcaldía de Tuluá",,"""Vení Hablemos"" es una estrategia de Primeros Auxilios Psicológicos (PAP) que se crea con el fin de proteger la salud mental de los tulueños con espacios de escucha y diálogo con un equipo de profesionales de la salud, desde la Administración Municipal, a través de la Secretaría de Bienestar Social y en trabajo interinstitucional con el IMDER, Secretaria de Salud y el Departamento Administrativo de Arte y Cultura ¡Nuestro trabajo continúa incansablemente #ParaSerFelices! 💙✅💪",36,"05/17/2024 10:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02i4bKerqSAp4NVkPYAaDWwwpeo1u8GUEdGSwJAz6Q1MzzKRsrmESTVY7JtoaRgxTSl,1,0,"Reel de Facebook",,,,,Total,29,0,5,0,1194,1117,34,1784,11009.402,6.737,0,,,,
870036041830396,106810189450788,"Alcaldía de Tuluá",,"La Administración Municipal, llevó a cabo el sepelio colectivo de 12 cuerpos que nunca fueron reclamados y que, por mucho tiempo, reposaron en el Instituto de Medicina Legal de Tuluá, en un acto solemne y altamente significativo para la dignidad humana, se realizó con el acompañamiento de Jairo Antonio Silva, director regional del Instituto de Medicina Legal y Ciencias Forenses y Juan Carlos Medina Salcedo, subdirector de Libertad de Culto y Conciencia de la Gobernación del Valle, todo esto, en el Parque Memorial Valle del Descanso💪🤍",65,"05/16/2024 14:05",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid021w7AkqZgbZf9LwRQJKzwmwRp9hgyBzqLz6cQX7C8Q9e5ppdr5fW8eyWYqtfYWeKJl,0,0,Video,,,,,Total,104,9,16,204,2538,2294,129,3712,56566.9,16.72,0,204,,0,0
869304355236898,106810189450788,"Alcaldía de Tuluá",,"En trabajo articulado con el @col_ejercito y @policiavalledelcauca, se lleva a cabo una estrategia táctica en contra de las organizaciones delincuenciales del municipio, con grupos de inteligencia e investigación policial que podrán garantizar la seguridad y convivencia ciudadana en nuestro municipio. Continuamos trabajando #ParaSerFelices 💙",60,"05/15/2024 14:05",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0RDGmqeFZTuuhcapxkw4m9b9o6ZiryEkD1DRhKJvRbQWkQaqoPkBw8q46htavt3Nol,1,0,"Reel de Facebook",,,,,Total,89,8,11,0,2293,2115,108,3152,45939.277,16.56,0,,,,
868513088649358,106810189450788,"Alcaldía de Tuluá",,"¡Únete a los cursos de capacitación que el Departamento Administrativo de las TIC tiene para ti! 🙌🏽🤓
Aprende ofimática, inglés para el trabajo y programación para niños. ¡No te pierdas esta oportunidad de adquirir nuevas habilidades y conocimientos! ¡Inscríbete ya!💥👩🏽‍💻👏🏽",35,"05/14/2024 09:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0hfzCt8WFRuGQ7Qv45LSqehQreX77v3eiZdt8xFp63ZPo2NqpMHy62kwHvSM5dVo4l,1,0,"Reel de Facebook",,,,,Total,51,6,14,0,3091,2711,71,3744,22544.038,6.582,0,,,,
867057215461612,106810189450788,"Alcaldía de Tuluá",,"¡FELIZ DÍA DE LA MADRE! 💐♥️

En el corazón de la sociedad, la madre es la fuerza que impulsa el amor, la compasión y el cuidado🙌🏽. Su labor es incansable, su dedicación inigualable🫶🏽. Hoy celebramos a todas las madres, quienes con su valentía y sacrificio, construyen un mundo mejor para las generaciones futuras🤱🏽🌷. 

#felizdiadelamadre #mamá #12demayo",26,"05/12/2024 05:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0brraAVdyZ9WH7BqRGtTNnEdtgxYjG1Hnvs8ZNQ9E1ifdySa6vacKfc4xqwFMbEAnl,1,0,"Reel de Facebook",,,,,Total,23,0,7,0,1997,1639,30,2346,5332.375,2.385,0,,,,
866629658837701,106810189450788,"Alcaldía de Tuluá",,"¡Atención jóvenes colombianos mayores de 18 años! 📣

La Fuerza Aérea Colombiana te invita a formar parte como oficial, suboficial o soldado. No dejes pasar esta oportunidad única. ¡Presenta tu solicitud totalmente gratis este 14 de mayo🫡👏🏽",45,"05/11/2024 14:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid028kmvf6yA5k9vZL7P3g9LhaWGwi9uaPGSYSoBX7fmGLfjti53XUyQBqjaEdwuKD85l,1,0,"Reel de Facebook",,,,,Total,63,3,21,0,4199,3808,87,4769,38365.827,8.613,0,,,,
866089465558387,106810189450788,"Alcaldía de Tuluá",,"Después de un extenso Consejo de Seguridad presidido por el Señor Presidente Gustavo Petro Urrego y diferentes miembros de su gabinete, además del acompañamiento de la señora gobernadora Dilian Francisco Toro y la Fuerza Pública, se dio a conocer la situación de seguridad en nuestro municipio. El Gobierno Nacional ratifica su compromiso de trabajar de manera articulada con el municipio para devolver la tranquilidad a todos los tulueños. 

Desde la Administración Municipal continuamos reforzando la seguridad, para garantizar el bienestar de nuestra ciudadanía #ParaSerFelices",344,"05/10/2024 18:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02s5vmVHAYky3uZwQwyXQgs5SjJpUmuHpAAaxNKsLMkJ1VaLKrdFiRPYBe9M6xGyCsl,1,0,"Reel de Facebook",,,,,Total,213,21,37,0,4426,3854,271,7449,344450.22,55.646,0,,,,
865357175631616,106810189450788,"Alcaldía de Tuluá",,"*¡ATENCIÓN TULUÁ!* ⚠️

A partir de mañana, viernes 10 de mayo, hasta el sábado, 11 de mayo, a la medianoche, regirá el decreto con las restricciones para la conservación del orden público durante la visita del Señor Presidente de la República, Gustavo Petro Urrego, en nuestro municipio. Te invitamos a leer el decreto completo en el link de nuestra historia. ⬆️🔗",91,"05/09/2024 17:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02t4wDK58uNEPEJbrjV6us3Y88hMraUs2fH8dWVEzhXgreUgft9RTkz4rS1wzBtjAgl,1,0,"Reel de Facebook",,,,,Total,81,32,11,0,3105,2765,124,4916,100060.549,27.717,0,,,,
863803645786969,106810189450788,"Alcaldía de Tuluá",,"¡Ahora estamos más cerca de ti!✅ Desde la Secretaría de Hábitat e Infraestructura, invitamos a nuestra ciudadanía a realizar sus peticiones o a denunciar sus quejas o reclamos respecto a las luminarias en la línea de atención al público que hemos habilitado para ello. Seguimos trabajando #ParaSerFelices 💙",0,"05/07/2024 08:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02qdBSS1VSLqKX5VqJfiwy4N7QxvPTSQqcegn3ydUnmH4TBCSBx52e2tPSWwaRsHLKl,0,0,Foto,,,,,Total,31,2,15,21,3832,3221,48,,,,,15,6,,
863348829165784,106810189450788,"Alcaldía de Tuluá",,"¡En Tuluá, cuidamos y apoyamos los humedales, pues están llenos de vida y biodiversidad!🌳💧 Hoy es #LunesdelCampo y te enseñaremos qué son los Humedales, y cuántos tenemos en nuestro municipio. ✅💙💪 #ParaSerFelices",48,"05/06/2024 15:05",uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0yPtfJQYPKG5q7iFYeSvqp41HYdfBUbrEYTqabTJ9d15X4u6cFqovJhW93Axne59Ll,1,0,"Reel de Facebook",,,,,Total,25,5,7,0,1636,1337,37,1984,6995.082,3.77,0,,,,
863288322505168,106810189450788,"Alcaldía de Tuluá",,"Con el fin de brindar un mejor servicio de calidad a la comunidad tulueña de la zona rural, desde la Secretaría de Salud y en trabajo conjunto con el @hospitalrubencruzvelez, se realizó una visita a los diferentes puestos de salud de los corregimientos rurales para revisar el estado de estas instalaciones y fortalecer los programas de promoción y mantenimiento. ✅ #ParaSerFelices",54,"05/06/2024 12:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02Hg6wZuWTvp6uoRydJLirYdYV6FsTz87XumL9iR5EoT5tfvmbLtMrovf5Bech2Tiql,1,0,"Reel de Facebook",,,,,Total,39,4,14,0,1963,1742,57,2756,20603.97,7.995,0,,,,
862645942569406,106810189450788,"Alcaldía de Tuluá",,"¡Bienvenidos! El Municipio de Tuluá celebra la incorporación de 36 nuevos auxiliares de Policía, comprometidos con fortalecer la convivencia y seguridad en nuestra ciudad. Felicitamos a estos jóvenes por su decisión de servir a nuestra patria. 🎉👮‍♂️👮‍♀️ #ParaSerFelices",59,"05/05/2024 13:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0377enmMhJ3J2kzQn2cLAd2wD5LsSvwFTvYJKDBZX2AoskXa4vth7Mr5VCih22FPAjl,1,0,"Reel de Facebook",,,,,Total,106,14,18,0,3087,2753,138,5387,79588.592,17.086,0,,,,
860695062764494,106810189450788,"Alcaldía de Tuluá",,"¡Seguimos fortaleciendo la tecnología en Tuluá!✅
Desde el Departamento Administrativo de las TIC y de Planeación Municipal, se realiza esta visita con el fin de fortalecer el aprendizaje en tecnología de todo nuestro equipo de trabajo para brindar servicios y herramientas de calidad a nuestra ciudadanía. #ParaSerFelices 💙",34,"05/02/2024 15:05",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0cuMjg1QDi9mTL4zf2uGQMUyJqzVyeaSCS8MzLM7UEkVrLT8tvmVao1U1yRa4uRLBl,0,0,"Reel de Facebook",,,,,Total,30,0,12,0,1993,1604,42,2837,16453.166,6.265,0,,,,
