Identificador de la publicación,Identificador de la página,Nombre de la página,Título,Descripción,Duración (segundos),Hora de publicación,Tipo de subtítulo,Enlace permanente,Es una publicación cruzada,Es una publicación compartida,Tipo de publicación,Idiomas,Etiquetas personalizadas,Estado de contenido financiado,Comentario sobre los datos,Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,Veces que se compartió,Total de clics,Consumo de segmentación del público coincidente (Photo Click),Clics de otro tipo,Clics en el enlace,Reproducciones de reels,Segundos reproducidos,Segundos en promedio reproducidos,Impresiones del anuncio,Ingresos estimados (USD),CPM del anuncio (USD)
827971902703477,106810189450788,Alcaldía de Tuluá,,"Desde la Alcaldía Municipal, a través de la Secretaría de Desarrollo Agropecuario y Medio Ambiente, SEDAMA, estamos hoy creando conciencia con los estudiantes de las diferentes facultades de la @ucevacol con la iniciativa ""Día de Movilidad Sostenible"" para la prevención del cambio climático con un espacio pedagógico y dinámico que permita que la comunidad estudiantil se apropie de dicha iniciativa.  ✅💙",67,03/13/2024 14:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0xsPpDaPijMVdqnvPuauhT5SX6fiHcrBXZJSSki1kzu8tdZQR7s4idJWNEwdRCrGcl,0,0,Video,,,,,Total,1786,1573,190,160,9,21,109,,109,,,"34410,242","12,103",0,0,0
828000502700617,106810189450788,Alcaldía de Tuluá,,"Desde la Alcaldía Municipal, a través de la Secretaría de Gobierno y la Inspección de Policía se están realizando las diferentes gestiones para la recuperación y el control del espacio público en diferentes sectores de nuestro municipio. Con el apoyo de la Policía Nacional y el Departamento Administrativo de Movilidad y Seguridad Vial ¡Seguimos trabajando por Tuluá!✅💙",95,03/13/2024 15:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02BuZikrBEm4EJjpCSP71FvyVTaDHkGC6Gp6DjqGBqNpurbPB1GuNEgUP4AapR8YG5l,0,0,Video,,,,,Total,5401,4859,306,248,32,26,382,,382,,,"129850,669","23,587",0,0,0
828367519330582,106810189450788,Alcaldía de Tuluá,,"¡El deporte se toma a Tuluá!💙⚽🏊🏻♀️♟️
Desde la Alcaldía Municipal, a través del Instituto Municipal del Deporte y la Recreación, IMDER, extendemos una invitación muy especial a nuestra ciudadanía tulueña para que inscriban de forma gratuita a sus niños y niñas de 6 años en adelante, en nuestros Programas de Iniciación. ¡Inscríbete ahora! ¡Te esperamos!💪",43,03/14/2024 06:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02kCBzGkyfg1xDh8Wwfbqyy7qLmdhjxTWbNc3MviDvXocqLdDvyeuV18BQzNLag7HAl,0,0,Reel de Facebook,,,,,Total,2226,2041,159,117,8,34,0,,,,5095,"53408,171","12,154",0,,
828393685994632,106810189450788,Alcaldía de Tuluá,,"Desde el Departamento Administrativo de Arte y Cultura te presentamos la Escuela Municipal de Arte🖌️🎼, en donde podrás encontrar diferentes tipos de arte como: Música🎶, Teatro🎭, Artes Plásticas🎨. Esta iniciativa es totalmente gratuita para que nuestra ciudadanía pueda formarse como artista en estas carreras técnicas. ¡Inscríbete ahora!💪🏼💙",60,03/14/2024 07:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02ZhTFxKiznMJptv1N5zDrVBomGrKP1kpUvnXU72WFbX7nXC9wNfPPjwChXQxQWUspl,0,0,Reel de Facebook,,,,,Total,1718,1569,82,64,4,14,0,,,,2406,"15683,593","7,051",0,,
828556442645023,106810189450788,Alcaldía de Tuluá,,"¡Gran Vacunatón contra el VPH! 
Desde la Secretaría de Salud hacemos una invitación muy especial este sábado, 16 de marzo, a la Jornada de Vacunación💉 para niños y niñas entre 9 a 17 años, contra el Virus del Papiloma Humano ¡Recuerda que la vacunación, salva vidas!💪💙",46,03/14/2024 13:03,uploaded,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0mkHmzRAzrFmHJ6MZ4zGV9Ug2u6kSYBgc2vZz698m96sdpsVa4cYm76aCBUibJpu4l,0,0,Reel de Facebook,,,,,Total,1700,1554,114,93,7,14,0,,,,3466,"27630,777","8,562",0,,
828557715978229,106810189450788,Alcaldía de Tuluá,,"¡Gran Vacunatón contra el Virus del Papiloma Humano!💉💪🏼
Aquí te dejamos los puntos habilitados para que te acerques con tus niñas entre los 9 a 17 años y niños de 9 años. ¡Te esperamos!",0,03/14/2024 13:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0Txh2anJmde1PLEWw3LgSVKuPuoYDpnKNyE2UzuKEBNKaeK5WqNWbMCRVUENufTSHl,0,0,Foto,,,,,Total,8256,7395,67,41,5,21,517,449,68,,,,,,,
828965499270784,106810189450788,Alcaldía de Tuluá,,"Al contribuir con tu aporte,cada ciudadano tulueño está colaborando con el desarrollo y  el bienestar de nuestro municipio. Así,  aseguramos que todos los recursos estén disponibles para atender las necesidades de todos los ciudadanos. ¡Aprovecha ahora y haz tu aporte hasta el 31 de marzo sin recargo!💪💙",0,03/15/2024 06:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0xpzSMt9aTy8tfUqaYXbHoRqQrXGvzvrottXNpnZM6cReFCx79uzU1SvSsjtashDbl,0,0,Foto,,,,,Total,2019,1835,37,29,0,8,5,2,3,,,,,,,
829048449262489,106810189450788,Alcaldía de Tuluá,,"Desde la Secretaría de Bienestar Social y la Coordinación de Discapacidad se realiza la convocatoria a la ciudadanía tulueña con Discapacidad de la Comuna 7 para la Caracterización y Orientación de Programas que ofreceremos, este lunes, 18 de marzo en la Ciudadela de Occidente. ¡Los esperamos!💪✅",0,03/15/2024 09:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02QtTaNogR6nP7RNv7k767fn7DjrKiWt1LzcfFAK5qohpcUCiTPgR4Bra89WyrjMbzl,0,0,Foto,,,,,Total,2790,2514,48,33,3,12,52,23,29,,,,,,,
829152352585432,106810189450788,Alcaldía de Tuluá,,"Desde el Departamento Administrativo de Arte y Cultura, la Secretaría de Bienestar Social y el Instituto Municipal para el Deporte y la Recreación, IMDER, se realizó un Homenaje especial a la Mujer Tulueña en el cual se reconocieron a 18 mujeres que han dejado en alto el nombre del municipio en el ámbito social, deportivo, cultural, gastronómico, entre otras, con el acompañamiento de la Gestora Social, Luz Elena Londoño y algunas concejales del municipio.✅💙",71,03/15/2024 13:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0247mAfBCWFjvTRWvzTVgJTVJgw3x86fJGk8iHw3EA4wtCGCA8YsjJjhmJFs8P98kTl,0,0,Video,,,,,Total,1631,1456,88,76,0,12,52,,52,,,"27098,882","13,762",0,0,0
829219765912024,106810189450788,Alcaldía de Tuluá,,"Hoy, 15 de marzo, desde las Secretarías de Gobierno y de Salud, se realizaron los controles de sanidad en los establecimientos de comida en la carrera 30, con el apoyo de la @policiavalledelcauca. Esto, con el fin de revisar y dar cumplimiento a las normas de salubridad para velar por la salud y el bienestar de los ciudadanos. ✅💙",38,03/15/2024 16:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0FyndESZvFiSDdZPrYPazszsDRawLPAoufKHLZAaM2ZRJivam9HMtYe3EfQ3j8wV8l,1,0,Reel de Facebook,,,,,Total,3258,2984,189,161,6,22,0,,,,5406,"76337,174","16,818",0,,
829596592541008,106810189450788,Alcaldía de Tuluá,,"Desde la Alcaldía Municipal, a través de la Secretaría de Desarrollo Institucional, reactivamos el convenio interinstitucional con la Unidad Central del Valle, UCEVA, con el fin de abrir las puertas y ofrecer la oportunidad a los estudiantes dentro de nuestra Administración para sus prácticas profesionales. ✅💙",46,03/16/2024 08:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02c6b1eXFsXHXJ5cnwBRyeu8f2h5rs7NyctoFiNZkyncDPwNXUAhVXGRprxaNhEBj9l,1,0,Reel de Facebook,,,,,Total,1964,1732,72,62,3,7,0,,,,1986,"16186,434","8,859",0,,
829743769192957,106810189450788,Alcaldía de Tuluá,,"A partir de este lunes, 18 de marzo, tendremos disponible un nuevo punto SISBÉN, en el cual se brindará atención desde las 8:00a.m. hasta las 4:00p.m. en jornada continua. ¡Te esperamos!✅💙",0,03/16/2024 13:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02JVuhxPWCyyuQemnmUJD6zcPuz5CYEGCVVPmPT8UJC25B7aWiJsQtRYxFUWXngz4Zl,0,0,Foto,,,,,Total,9256,8040,209,145,31,33,495,233,262,,,,,,,
830817032418964,106810189450788,Alcaldía de Tuluá,,"Hoy es #LunesdelCampo, y desde la Alcaldía Municipal a través de la SEDAMA, se realiza la entrega de insumos para la producción de diferentes especies de guayabas que lograrán beneficiar a familias tulueñas productoras que devengan un sustento con esta actividad. 💙✅💪 ¡Continuamos trabajando por nuestra zona rural!👨🏼🌾🍁",58,03/18/2024 06:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0YoFZ1SDnccpPPfD89AQxQDuBFRUu56dWb1ugePt59L7MPrJJ6Dn5BHMDK5Tj2XxVl,0,0,Reel de Facebook,,,,,Total,1894,1704,116,94,9,13,0,,,,2410,"23431,996","10,418",0,,
830897619077572,106810189450788,Alcaldía de Tuluá,,Desde la Secretaría de Salud continuamos invitando a nuestra ciudadana para que traigan sus mascotas a la segunda semana de la Jornada de Vacunación Antirrábica de Caninos y Felinos. Aquí podrán encontrar las fechas y horarios de esta semana. 🐕🐈💉 ¡Ellos también hacen parte de nuestra familia!💙,0,03/18/2024 08:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0njWs9P1oUfJRkgkiFgojhtprB9tzMqGL4ePwMaHrohs3aDfvwH6J7ofX96uFUrssl,0,0,Foto,,,,,Total,2019,1875,34,24,1,9,20,15,5,,,,,,,
831053622395305,106810189450788,Alcaldía de Tuluá,,"¡La Casa de Justicia ahora está al alcance de todos!💙 Llega la Casa de Justicia Móvil en donde podrás participar de la Yincana de la Justicia.💪 Te esperamos este jueves, 21 de marzo, desde las 9:00a.m. en el Parque Recreacional de Aguaclara.✅",0,03/18/2024 15:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0yxQe6WsgQ7F7mwNTA7nR6Y3agAb2HYNUBzzAsyMAjLb5gtQ2uQyAWKRMYzmTnEERl,0,0,Foto,,,,,Total,4360,3927,68,53,3,12,54,25,29,,,,,,,
831515015682499,106810189450788,Alcaldía de Tuluá,,"Desde la Secretaría Privada y el Departamento Administrativo de las TIC, extendemos una invitación muy especial a los Presidentes de las Juntas de Acción Comunal de la zona rural y urbana a la Inscripción del Registro Único TIC del Programa de Comunidades de Conectividad este viernes, 22 de marzo, desde las 9:00 a.m. 

¡Te esperamos! 💙✅",0,03/19/2024 08:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid028bMZ29qtq2apdrqv24kcBYTASv8wvD7n5UMBF7heBgt3tCREDmSXwUeMzwG52w3tl,0,0,Foto,,,,,Total,1741,1601,26,21,0,5,6,5,1,,,,,,,
831628562337811,106810189450788,Alcaldía de Tuluá,,"Desde la Alcaldía Municipal, a través del Departamento Administrativo de Movilidad y Seguridad Vial y la Secretaría de Gobierno, estamos realizando un apoyo a la ciudadanía con el acompañamiento permanente de la Policía Nacional para brindar seguridad a quienes realizan deporte en estos sectores. ✅💙",56,03/19/2024 13:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0hcTuMMmv9mSCWhnAf7suMVCREHs8n3X7B1mVnGaP5MDeH7aKYanetaurQeDBhJPVl,0,0,Video,,,,,Total,2245,1980,123,109,5,9,105,,105,,,"35583,541","13,342",0,0,0
831680082332659,106810189450788,Alcaldía de Tuluá,,"¡Atención Tuluá!⚠️
Si eres beneficiario del programa de Renta Ciudadana en la línea 1 de Valoración de Cuidado: Hogares del Grupo A del Sisbén IV, acércate a la Secretaria de Bienestar Social o ingreso a la página y consúltalo ahora.  ¡Te esperamos!💪🏼✅",0,03/19/2024 15:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02Jxmv8FAmMxvVWXRrVFteWDxAeW1FncZ5w9ZTN2HFvYbee1Z8D18vdVrc6hrWAx63l,0,0,Foto,,,,,Total,2658,2401,33,22,0,11,90,75,15,,,,,,,
832030182297649,106810189450788,Alcaldía de Tuluá,,"Desde la Secretaría de Bienestar Social hacemos un llamado a la ciudadanía para que se acerquen y consulten si son beneficiarios del Programa de Renta Ciudadana en la línea 1 de Valoración de Cuidado, el cual está dirigido a hogares del Grupo A del Sisbén IV. También puedes consultarlo ingresando a la página rentaciudadana.prosperidadsocial.gov.co  💪🏼✅",31,03/20/2024 06:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid08JKUmm1DSETDsUK9pp8CEtzhEG6s1ypMum1Us91Y7ggpVntq9WvikYAfpVNPMzFCl,0,0,Reel de Facebook,,,,,Total,1796,1623,91,74,1,16,0,,,,3480,"28153,732","9,084",0,,
832070715626929,106810189450788,Alcaldía de Tuluá,,"¡Continuamos trabajando por la empleabilidad!✅💪 Desde la Secretaría de Bienestar Social, en trabajo articulado con la Agencia Pública de empleo de SENA y Comfandi, hacemos una invitación muy especial a la ciudadanía a la Feria de Empleabilidad, donde se brindará atención desde los diferentes programas nacionales, el Sisbén y la Secretaría de Salud. ¡Los esperamos!✅💙",0,03/20/2024 08:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid032XNPLVo1RaYGMufztatAdyn3etj5kDjYcF5YkcddqJaSRVTu7SD2qNatYMk2kDchl,0,0,Foto,,,,,Total,2644,2389,44,35,0,9,50,38,12,,,,,,,
832182608949073,106810189450788,Alcaldía de Tuluá,,¡No esperes más!💪 Cumple ahora con tus responsabilidades como ciudadano y contribuye al desarrollo de Tuluá hasta el 31 de marzo ¡sin recargo!. Sé parte de la transformación de nuestro municipio. ¡Tu aporte hace la diferencia!✅💙,0,03/20/2024 12:03,N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid022RyGUEA7GGaKCzsiaq4FRpUcEKqfsS9jMezDacWGNAwEETYs6kWoAb9THKXghUil,0,0,Foto,,,,,Total,1979,1735,27,20,1,6,9,5,4,,,,,,,
