"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio","Total de clics","Clics de otro tipo","Clics en el enlace","CPM del anuncio (USD)","Consumo de segmentación del público coincidente (Photo Click)"
1191780806322583,100064720237286,"Alcaldía de Tuluá","#Salud | Tres Esquinas tiene renovado puesto de Salud

Con una remodelación total y dotación completamente nueva, el Puesto de Salud del corregimiento Tres Esquinas volvió a abrir sus puertas, tras permanecer cerrado durante cuatro años. Este centro, ahora en óptimas condiciones, brindará atención médica continua en medicina general, odontología y otros servicios básicos para la población rural de esta zona de Tuluá.

Lee la noticia completa: ⬇⬇⬇
",,0,"07/21/2025 10:36",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02vtsDsgwkgk9iEhGd22s7Rfc9begigBtoMXescuyeT4HeNbN16doo7PDaiQG6kf84l,0,0,Enlaces,,,,,Total,1059,720,23,16,0,7,,,,,10,2,8,,
1191780449655952,100064720237286,"Alcaldía de Tuluá","#Planeación | Más de 80 familias de La Estrella inician proceso de legalización

Más de 80 familias del asentamiento La Estrella, ubicado en la vía a Tres Esquinas, comenzaron el proceso de legalización urbanística gracias a la primera jornada de atención integral y caracterización social, liderada por la Alcaldía de Tuluá a través del Departamento Administrativo de Planeación Municipal.

Lee la noticia completa: ⬇⬇⬇
",,0,"07/21/2025 10:35",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0E2u5fahdjHCUicXUayKc8uTLpo3ADQfagQ5THDZeD4YYyL6nEk6rkk6b9vSLPVTEl,0,0,Enlaces,,,,,Total,1119,773,25,16,0,9,,,,,8,2,6,,
1191692129664784,100064720237286,"Alcaldía de Tuluá","🐾 Un día lleno de huellas, amor y esperanza 💙🤩

Este fin de semana celebramos  el Día Mundial del Perro en el Parque de la Familia📍. Una jornada cargada de emociones, donde tulueños y tulueñas se unieron para honrar la vida de nuestros peludos con amor y compromiso. 🐾🐶

Durante el evento, realizamos vacunación antirrábica gratuita tanto a perritos como gatitos, desparasitación, asesorías sobre tenencia responsable, rifas y actividades para toda la familia. Además, muchos animalitos encontraron una nueva oportunidad de vida gracias a la jornada de adopción liderada por la Fundación Huellitas En La Calle.  🤩🐾💙

¡Porque cada vida cuenta y cada ladrido también merece un hogar! 🐶🏡 #ParaSerFelices",,0,"07/21/2025 08:19",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0NpUPqEJ3W5gpPagHTDts5NdVLdwQafQjTPenMHWAzjXRQfL3ewe7hf7Csxpcrf6rl,0,0,Fotos,,,,,Total,6833,3954,85,63,6,16,,,,,491,141,,,350
1191147766385887,100064720237286,"Alcaldía de Tuluá","➡️Conoce las noticias más importantes de la semana en nuestro resumen semanal “45 segundos” #*ParaSerFelices* 💙✅ 😎","➡️Conoce las noticias más importantes de la semana en nuestro resumen semanal “45 segundos” #*ParaSerFelices* 💙✅ 😎",63,"07/20/2025 16:14",N/A,https://www.facebook.com/reel/1255790266585375/,1,0,Reels,,,,,Total,785,640,33,23,1,9,6814.719,9.977,0,0,6,6,,,
1190924196408244,100064720237286,"Alcaldía de Tuluá","🇨🇴✨ Hoy celebramos con orgullo el Día de la Independencia💪🏼

La Plaza Cívica Boyacá se llenó de honor y patriotismo en el homenaje a nuestros símbolos patrios.🎶 Con presentaciones artísticas y culturales vivimos la conmemoración del Grito de Independencia. 🙌 Exaltando la labor de nuestras fuerzas armadas quienes se encargan de la seguridad de nuestro municipio y del país.

¡Viva nuestra historia, viva nuestra gente, viva Colombia! 💛💙❤️ #ParaSerFelices",,0,"07/20/2025 09:33",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0nqzcRGiHVzecDp2bwqJbnp8C43vHxJhvBrpsYr6kBpswy5wyDhbprSyExnhQoBvYl,0,0,Fotos,,,,,Total,26905,13713,444,337,43,64,,,,,2876,908,,,1968
1190166333150697,100064720237286,"Alcaldía de Tuluá","‼️🚨 ¡El podcast de Vélez llegó a la Radio Tulueña! En minutos, no te lo pierdas por las emisoras Mundo 89 Tuluá y La Cariñosa ✌🏽😎",,0,"07/19/2025 10:02",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0zqLNjf7LRpDwvTvDaLxQAKXZwZeDykQ3QsQ1qcLKTMPoDd3xhdwbtPZsnjPpKqrGl,0,0,Texto,,,,,Total,6346,3795,74,65,2,7,,,,,79,79,,,
1190164453150885,100064720237286,"Alcaldía de Tuluá","🎙️ #ElPodcastdeVélez | Episodio 23: Comer con dignidad: una obra con sentido social.

En esta entrega del podcast, el alcalde Gustavo Vélez conversa con Felipe Laborda,  un invitado muy especial sobre cómo avanzan tanto las obras civiles como las sociales que están transformando a Tuluá.
💙 Conoce cómo el comedor comunitario “Sazón para ser Felices” ahora brinda alimento, dignidad y esperanza a 250 personas cada día.
#ParaSerFelices","🎙️ #ElPodcastdeVélez | Episodio 23: Comer con dignidad: una obra con sentido social.

En esta entrega del podcast, el alcalde Gustavo Vélez conversa con Felipe Laborda,  un invitado muy especial sobre cómo avanzan tanto las obras civiles como las sociales que están transformando a Tuluá.
💙 Conoce cómo el comedor comunitario “Sazón para ser Felices” ahora brinda alimento, dignidad y esperanza a 250 personas cada día.
#ParaSerFelices",903,"07/19/2025 10:00",N/A,https://www.facebook.com/AlcaldiaDeTulua/videos/1256000175575033/,1,0,Videos,,,,,Total,4247,3350,458,285,34,139,91818.17,24.795,0,0,100,100,,0,
1189579429876054,100064720237286,"Alcaldía de Tuluá","🍽️ ¡Ahora 250 personas podrán acceder a alimentación digna y balanceada! 💙✨

El alcalde @gustavovelezr visitó el comedor comunitario del programa “Sazón para Ser Felices” y anunció la ampliación del cupo para beneficiar a niños, adultos mayores y personas vulnerables 👵👦👨‍🦳 Esta estrategia, liderada por la Secretaría de Bienestar Social, se mantendrá hasta el 30 de diciembre de 2025, garantizando acceso a comida saludable para quienes más lo necesitan 🥗🙌

✅ Lucha contra el hambre
✅ Bienestar social
✅ Atención con enfoque humano

¡Así construimos una Tuluá más justa y solidaria! #ParaSerFelices 💙🍲","🍽️ ¡Ahora 250 personas podrán acceder a alimentación digna y balanceada! 💙✨

El alcalde @gustavovelezr visitó el comedor comunitario del programa “Sazón para Ser Felices” y anunció la ampliación del cupo para beneficiar a niños, adultos mayores y personas vulnerables 👵👦👨‍🦳 Esta estrategia, liderada por la Secretaría de Bienestar Social, se mantendrá hasta el 30 de diciembre de 2025, garantizando acceso a comida saludable para quienes más lo necesitan 🥗🙌

✅ Lucha contra el hambre
✅ Bienestar social
✅ Atención con enfoque humano

¡Así construimos una Tuluá más justa y solidaria! #ParaSerFelices 💙🍲",27,"07/18/2025 15:41",auto,https://www.facebook.com/reel/632863379828682/,1,0,Reels,,,,,Total,3972,2313,206,144,27,35,28171.609,8.242,0,0,94,94,,,
1189437666556897,100064720237286,"Alcaldía de Tuluá","🔵 ¡+2.000 personas beneficiadas en Tres Esquinas! 🏥🙌

Con la apertura del Puesto de Salud en este corregimiento, los tulueños tendrán acceso a servicios médicos de calidad, más cerca de sus hogares 💙 El alcalde @gustavovelezr entregó este renovado espacio con atención integral y personal capacitado del Hospital Rubén Cruz Vélez, mejorando la calidad de vida en la zona rural de Tuluá 🌿

¡Seguimos transformando la salud para quienes más lo necesitan! #ParaSerFelices 💙✨","🔵 ¡+2.000 personas beneficiadas en Tres Esquinas! 🏥🙌

Con la apertura del Puesto de Salud en este corregimiento, los tulueños tendrán acceso a servicios médicos de calidad, más cerca de sus hogares 💙 El alcalde @gustavovelezr entregó este renovado espacio con atención integral y personal capacitado del Hospital Rubén Cruz Vélez, mejorando la calidad de vida en la zona rural de Tuluá 🌿

¡Seguimos transformando la salud para quienes más lo necesitan! #ParaSerFelices 💙✨",45,"07/18/2025 10:44",mixed,https://www.facebook.com/reel/1938802600190195/,1,0,Reels,,,,,Total,2900,1586,219,169,8,42,20613.482,7.882,0,0,69,69,,,
1188809166619747,100064720237286,"Alcaldía de Tuluá","🔵 Tres Esquinas tiene renovado Puesto de Salud 🏥✨

El alcalde Gustavo Vélez, reabrió este centro con espacios dignos, personal calificado y atención continua para la comunidad rural 💙

📅 Martes y sábados
🕖 De 7:00 a. m. a 4:00 p. m.

🩺 Servicios:
✅ Medicina general
✅ Odontología
✅ Enfermería
✅ Programas de promoción y prevención

¡Seguimos llevando salud de calidad a todos los rincones de Tuluá!  #ParaSerFelices 💙🤩",,0,"07/17/2025 16:19",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02Q3Zv1BNGHFCrTXoYwQy3XMFtdxqAwVoxkavCzpguFLWs9P4mt57sRugS4EiLEMugl,0,0,Fotos,,,,,Total,14791,7680,307,201,5,101,,,,,813,219,,,594
1188588906641773,100064720237286,"Alcaldía de Tuluá","🏡✨ 📝 Más de 80 familias en proceso de legalización en La Estrella 
🏡

Con una jornada de atención integral,🐶 vacunación para mascotas, 🧑‍💼 atención social y 📋 caracterización puerta a puerta, inicia el proceso de legalización urbanística en este asentamiento ubicado en la vía a Tres Esquinas, donde las familias de este sector, comienzan a ver hecha realidad la esperanza de una vivienda digna, servicios públicos legalizados y beneficios del Estado. 💧🏠📑

¡Seguimos transformando a Tuluá en un municipio más humano! 💙
#ParaSerFelices",,0,"07/17/2025 08:49",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0gMz1RVAF8CG8LrqDTXQBgjmtoRZ5CZwpnpbSEErpPKC3d4NRXU2FgYxj86TcygT5l,0,0,Fotos,,,,,Total,4607,2719,46,34,1,11,,,,,212,56,,,156
1188441876656476,100064720237286,"Alcaldía de Tuluá","🧼🔍 ¡Reforzamos el control sanitario en Tuluá!

Hoy con Secretaría de Salud, realizamos nuevamente operativos de Inspección, Vigilancia y Control 🍽️

✅ Revisamos productos y espacios de manipulación
✅ Sensibilizamos a comerciantes sobre normas sanitarias
✅ Invitamos a tener la documentación al día y cumplir la ley

¡Comer bien también es transformar la salud de Tuluá! #ParaSerFelices 💙","🧼🔍 ¡Reforzamos el control sanitario en Tuluá!

Hoy con Secretaría de Salud, realizamos nuevamente operativos de Inspección, Vigilancia y Control 🍽️

✅ Revisamos productos y espacios de manipulación
✅ Sensibilizamos a comerciantes sobre normas sanitarias
✅ Invitamos a tener la documentación al día y cumplir la ley

¡Comer bien también es transformar la salud de Tuluá! #ParaSerFelices 💙",35,"07/17/2025 05:03",uploaded,https://www.facebook.com/reel/1944064523096670/,1,0,Reels,,,,,Total,970,634,23,18,0,5,4826.527,5.516,0,0,4,4,,,
1188006806699983,100064720237286,"Alcaldía de Tuluá","#Salud | Alcaldía refuerza operativos de control sanitario en establecimientos de alimentos.

Con verificación de las condiciones higiénico-sanitarias en la manipulación y venta de alimentos y bebidas para consumo humano y animal, la Administración Municipal, a través de la Secretaría de Salud, inició nuevamente los operativos de Inspección, Vigilancia y Control (IVC) en establecimientos comerciales del municipio. 

Lee la noticia completa: ⬇⬇⬇
",,0,"07/16/2025 15:09",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0KQ3BGywYf5soGtFSKh9TS7pzHvKdQDpTAtZQ228y9eLoDPFLtNc58FLUQbnq2rrYl,0,0,Enlaces,,,,,Total,2194,1420,42,30,6,6,,,,,21,9,12,,
1188004850033512,100064720237286,"Alcaldía de Tuluá","🏥🌿 Atención Primaria en Salud sigue recorriendo la zona rural de Tuluá

Los Equipos Básicos de Salud del @hospitalrubencruzvelez, continúan su recorrido por nuestros corregimientos, llevando atención integral a las comunidades que más lo necesitan. 👩‍⚕️🚑

Esta semana, llegaron al corregimiento de Quebradagrande, donde ofrecieron servicios médicos, odontológicos, psicológicos, de enfermería y trabajo social, con el respaldo de la comunidad y el compromiso de la Administración Municipal. 💙

✅ Más de 150 familias atendidas
✅ Jornadas en Altaflor, El Recreo, El Rocío, El Retiro y ahora Quebradagrande
✅ Salud con enfoque rural, humano y oportuno

¡Seguimos construyendo una Tuluá con bienestar #ParaSerFelices!",,0,"07/16/2025 15:04",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0WygRXPZW8UJCtCvHxc6Rt2zbNCDXD43kNBG6E3rNff8or28ekMJbBiUFWZ2tkBbdl,0,0,Fotos,,,,,Total,4194,2542,47,34,1,12,,,,,134,31,,,103
1187879860046011,100064720237286,"Alcaldía de Tuluá","🎥✨ Conoce a Carolina y su marca ALISK💙 

Una emprendedora tulueña con un talento innato para las manualidades y la moda circular, que transforma el arte en oportunidades. 🧵👜

Su emprendimiento fue el ganador del pabellón de artesanías en la Feria de Emprendimiento Impulsando Comunidades, una iniciativa de @fundacionlevapan, @camaratulua y @alcaldiadetulua. 🏆💼

Descubre su historia y cómo, con sus manos y su creatividad, Carolina está dejando huella en Tuluá. #ParaSerFelices 💙🤩","🎥✨ Conoce a Carolina y su marca ALISK💙 

Una emprendedora tulueña con un talento innato para las manualidades y la moda circular, que transforma el arte en oportunidades. 🧵👜

Su emprendimiento fue el ganador del pabellón de artesanías en la Feria de Emprendimiento Impulsando Comunidades, una iniciativa de @fundacionlevapan, @camaratulua y @alcaldiadetulua. 🏆💼

Descubre su historia y cómo, con sus manos y su creatividad, Carolina está dejando huella en Tuluá. #ParaSerFelices 💙🤩",121,"07/16/2025 10:46",uploaded,https://www.facebook.com/reel/656577640732664/,1,0,Reels,,,,,Total,1629,1266,63,45,9,9,19000.224,12.726,0,0,67,67,,,
1187281896772474,100064720237286,"Alcaldía de Tuluá","🚧 ¡Jarillón artesanal beneficiará las familias de Zabaletas! 🌊🏡

Gracias a una alianza entre la comunidad, la empresa privada, los ingenios y la Administración Municipal, hoy ejecutamos una obra de mitigación del riesgo en la vereda Zabaletas, zona rural plana de Tuluá. Con maquinaria y trabajo conjunto, construimos un jarillón artesanal que evitará desbordamientos del río y desastres en temporada de lluvias, protegiendo la vida y los hogares de las familias tulueñas. 🙌💪

Seguimos transformando la zona rural con obras que brindan seguridad y bienestar a los tulueños. #ParaSerFelices 💙🌱","🚧 ¡Jarillón artesanal beneficiará las familias de Zabaletas! 🌊🏡

Gracias a una alianza entre la comunidad, la empresa privada, los ingenios y la Administración Municipal, hoy ejecutamos una obra de mitigación del riesgo en la vereda Zabaletas, zona rural plana de Tuluá. Con maquinaria y trabajo conjunto, construimos un jarillón artesanal que evitará desbordamientos del río y desastres en temporada de lluvias, protegiendo la vida y los hogares de las familias tulueñas. 🙌💪

Seguimos transformando la zona rural con obras que brindan seguridad y bienestar a los tulueños. #ParaSerFelices 💙🌱",38,"07/15/2025 16:55",auto,https://www.facebook.com/reel/1990015081740249/,1,0,Reels,,,,,Total,2108,1345,104,75,10,19,21308.762,11.53,0,0,47,47,,,
1187262243441106,100064720237286,"Alcaldía de Tuluá","#SEDAMA | Alcaldía entregó biofábrica para fortalecer el agro en Puerto Frazadas.

La Alcaldía de Tuluá, a través de la Secretaría de Desarrollo Agropecuario y Medio Ambiente SEDAMA, entregó insumos clave para poner en marcha biofábricas comunitarias en La Moralia y Puerto Frazadas. Con esta iniciativa, liderada por el alcalde Gustavo Adolfo Vélez Román, se busca fortalecer la producción limpia y sostenible en el campo tulueño.

Lee la noticia completa: ⬇⬇⬇
",,0,"07/15/2025 16:12",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02CmWSxAcvS7itjE2VvzJLGZ6iK6BgGuMTJh8DjuU2LEE889J33mL7yP8PJjT5JQyil,0,0,Enlaces,,,,,Total,3389,2110,58,45,3,10,,,,,46,13,33,,
1187033336797330,100064720237286,"Alcaldía de Tuluá","🌱 Entregamos una biofábrica en Puerto Frazadas 🚜

Con la SEDAMA, brindamos insumos clave que fortalecerán la producción limpia en el campo tulueño, para que los productores rurales elaboren sus propios biofertilizantes y abonos orgánicos, cuidando el ambiente y reduciendo costos en La Moralia y Puerto Frazadas. 💚♻️

✅ Melaza, azufre y sulfato
✅ Canecas plásticas
✅ Medidor de pH

Agricultura sostenible para #ParaSerFelices 💙","🌱 Entregamos una biofábrica en Puerto Frazadas 🚜

Con la SEDAMA, brindamos insumos clave que fortalecerán la producción limpia en el campo tulueño, para que los productores rurales elaboren sus propios biofertilizantes y abonos orgánicos, cuidando el ambiente y reduciendo costos en La Moralia y Puerto Frazadas. 💚♻️

✅ Melaza, azufre y sulfato
✅ Canecas plásticas
✅ Medidor de pH

Agricultura sostenible para #ParaSerFelices 💙",53,"07/15/2025 08:59",auto,https://www.facebook.com/reel/1207791977765460/,1,0,Reels,,,,,Total,1905,920,124,96,5,23,16973.119,10.067,0,0,43,43,,,
1186455286855135,100064720237286,"Alcaldía de Tuluá","#Deporte | Más de 4.000 niños ya viven la experiencia del fútbol en el estadio Doce de Octubre

Más de 4.000 niños de 300 clubes y equipos deportivos de Tuluá, Andalucía, Bugalagrande, La Marina, Trujillo, Ríofrío, Buga, San Pedro y otros municipios cercanos al corazón del Valle, disfrutan hoy de la experiencia única de jugar en el estadio Doce de Octubre, un escenario emblemático que está siendo adecuado especialmente para ellos.

Lee la noticia completa: ⬇⬇⬇
",,0,"07/14/2025 16:14",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid022BCegAEeMcPDByFsA8fuMcHxhuz36TgFNLapmA9vYdZvo5wfKWf5YpNE7oziuKEKl,0,0,Enlaces,,,,,Total,4571,2954,91,70,8,13,,,,,74,17,57,,
